报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,
货币资金(万元),88680,26728,16496,15638,6838,5145,2270,
结算备付金(万元),--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,
应收票据(万元),1120,528,750,1806,345,238,5,
应收账款(万元),33023,21214,21464,17257,8293,9232,5425,
预付款项(万元),3134,1377,461,904,1321,1911,635,
应收保费(万元),--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,
应收利息(万元),--,--,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,
其他应收款(万元),650,55,213,162,1133,809,661,
应收出口退税(万元), --,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,
存货(万元),26353,22703,18681,16872,16197,14637,10235,
待摊费用(万元),--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,
其他流动资产(万元),538,963,530,--,--,--,--,
流动资产合计(万元),153497,73568,58596,52638,34127,31970,19233,
发放贷款及垫款(万元),--,--,--,--,--,--,--,
可供出售金融资产(万元),--,--,--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,--,
长期股权投资(万元),--,--,--,--,--,--,--,
其他长期投资(万元),--,--,--,--,--,--,--,
投资性房地产(万元),--,--,--,--,--,--,--,
固定资产原值(万元),41352,38375,--,--,14742,13261,11942,
累计折旧(万元),12612,9580,--,--,3723,2413,1337,
固定资产净值(万元),28740,28795,--,--,11019,10848,10605,
固定资产减值准备(万元),--,--,--,--,--,--,--,
固定资产(万元),28740,28795,22630,19159,11019,10848,10605,
在建工程(万元),867,23,3414,2250,856,216,--,
工程物资(万元),--,--,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,
无形资产(万元),5672,5747,5843,5876,3939,2294,2302,
开发支出(万元),--,--,--,--,--,--,--,
商誉(万元),--,--,--,--,--,--,--,
长期待摊费用(万元),324,413,176,88,166,140,16,
股权分置流通权(万元),--,--,--,--,--,--,--,
递延所得税资产(万元),526,328,340,160,97,87,126,
其他非流动资产(万元),--,--,--,--,--,--,--,
非流动资产合计(万元),36128,35306,32404,27533,16077,13585,13048,
资产总计(万元),189625,108874,90999,80171,50205,45555,32281,
短期借款(万元),--,--,--,6000,9300,8200,5530,
向中央银行借款(万元),--,--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,--,--,--,
衍生金融负债(万元),--,--,--,--,--,--,--,
应付票据(万元),24920,13520,8184,4105,5355,5710,2563,
应付账款(万元),25660,28910,24740,23660,15299,18284,13539,
预收账款(万元),4824,3872,3279,2025,961,1253,715,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,--,--,
应付职工薪酬(万元),2302,1744,1622,1651,740,483,230,
应交税费(万元),800,683,608,-75,9,60,-280,
应付利息(万元),--,5,8,16,16,16,11,
应付股利(万元),--,--,--,--,--,--,--,
其他应交款(万元),--,--,--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,--,--,
其他应付款(万元),1524,415,225,253,1930,1080,2007,
预提费用(万元),--,--,--,--,--,--,--,
预计流动负债(万元),--,--,--,--,--,--,--,
应付分保账款(万元),--,--,--,--,--,--,--,
保险合同准备金(万元),--,--,--,--,--,--,--,
代理买卖证券款(万元),--,--,--,--,--,--,--,
代理承销证券款(万元),--,--,--,--,--,--,--,
国际票证结算(万元),--,--,--,--,--,--,--,
国内票证结算(万元),--,--,--,--,--,--,--,
递延收益(万元),--,--,--,--,--,--,--,
应付短期债券(万元),--,--,--,--,--,--,--,
一年内到期的非流动负债(万元),--,3000,1500,--,--,--,--,
其他流动负债(万元),39,--,--,--,--,--,--,
流动负债合计(万元),60068,52148,40167,37635,33611,35087,24315,
长期借款(万元),--,--,3000,4300,--,--,--,
应付债券(万元),--,--,--,--,--,--,--,
长期应付款(万元),--,--,--,--,--,--,--,
专项应付款(万元),--,--,--,--,--,--,--,
预计非流动负债(万元),--,--,--,--,--,--,--,
长期递延收益(万元),231,--,--,--,--,--,--,
递延所得税负债(万元),--,--,--,--,--,--,--,
其他非流动负债(万元),--,--,--,--,--,--,--,
非流动负债合计(万元),231,0,3000,4300,0,0,0,
负债合计(万元),60299,52148,43167,41935,33611,35087,24315,
