报告日期,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,
营业总收入(万元),3460762,2281928,1087267,4029084,2863535,1883745,839842,2827610,2007997,1226693,602167,3976553,3366393,2205462,1048824,3292616,2302932,1475791,693839,2698655,1918889,1234931,570867,
营业收入(万元),3460762,2281928,1087267,4029084,2863535,1883745,839842,2827610,2007997,1226693,602167,3976553,3366393,2205462,1048824,3292616,2302932,1475791,693839,2698655,1918889,1234931,570867,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,--,--,0,0,--,--,0,0,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,--,--,0,0,--,--,0,0,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,--,--,0,0,--,--,0,0,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,--,--,0,--,--,--,0,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,--,--,0,--,--,--,0,--,
营业总成本(万元),3435272,2261163,1083694,4024617,2863929,1860239,821302,2803722,2019800,1281626,657268,3965620,3259456,2116344,1006921,3133728,2181865,1399605,657638,2583025,1835928,1193616,568236,
营业成本(万元),3324559,2184665,1044765,3847491,2736891,1772715,781713,2617694,1875594,1176103,601463,3667754,3011071,1953650,923269,2876944,1998373,1286952,620848,2403241,1698995,1099334,537433,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,--,--,0,0,--,--,0,0,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,--,--,0,0,--,--,0,0,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,--,--,0,--,--,--,0,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,--,--,0,--,--,--,0,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,--,--,0,0,--,--,0,0,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,--,--,0,0,--,--,0,0,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,--,--,0,0,--,--,0,0,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,--,--,0,0,--,--,0,0,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,--,--,0,0,--,--,0,0,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,--,--,0,--,--,--,0,--,
营业税金及附加(万元),6978,4475,2874,10178,7075,4720,3009,10531,7545,4298,2155,42336,37253,20297,8339,38927,25082,11085,4087,13834,9989,7141,3110,
销售费用(万元),10707,7578,3595,15389,11417,7411,2995,14067,10560,7149,4283,53285,44168,31260,15354,54252,41012,27004,12946,44279,34224,21778,10543,
管理费用(万元),69109,49268,23325,106677,77057,53365,25093,117373,95136,71895,38373,118610,132858,90507,47323,127027,90867,60158,12013,87504,67494,43348,11268,
财务费用(万元),23833,15159,9134,44218,30074,19854,8494,44178,30818,22034,10994,61141,35453,21977,12637,34526,25574,13461,7744,21366,16182,12970,5882,
资产减值损失(万元),86,18,--,664,1413,2173,-2,-120,146,146,0,22493,-1347,-1347,0,2051,957,944,0,12800,9044,9044,0,
