报告日期,2007-03-31,2006-03-31,
营业总收入(万元),525,2109,
营业收入(万元),525,2109,
利息收入(万元),0,0,
已赚保费(万元),0,0,
手续费及佣金收入(万元),0,0,
房地产销售收入(万元),--,--,
其他业务收入(万元),--,--,
营业总成本(万元),3109,4067,
营业成本(万元),362,998,
利息支出(万元),0,0,
手续费及佣金支出(万元),0,0,
房地产销售成本(万元),--,--,
研发费用(万元),--,--,
退保金(万元),0,0,
赔付支出净额(万元),0,0,
提取保险合同准备金净额(万元),0,0,
保单红利支出(万元),0,0,
分保费用(万元),0,0,
其他业务成本(万元),--,--,
营业税金及附加(万元),0,14,
销售费用(万元),176,368,
管理费用(万元),794,1156,
财务费用(万元),1777,1476,
资产减值损失(万元),0,55,
公允价值变动收益(万元),0,0,
投资收益(万元),-4,-446,
对联营企业和合营企业的投资收益(万元),-4,-446,
汇兑收益(万元),0,0,
期货损益(万元),--,--,
托管收益(万元),--,--,
补贴收入(万元),--,--,
其他业务利润(万元),--,--,
营业利润(万元),-2588,-2403,
营业外收入(万元),28,12,
营业外支出(万元),158,14,
非流动资产处置损失(万元),157,-6,
利润总额(万元),-2718,-2404,
所得税费用(万元),0,0,
未确认投资损失(万元),--,--,
净利润(万元),-2718,-2404,
归属于母公司所有者的净利润(万元),-2542,-2232,
被合并方在合并前实现净利润(万元),--,--,
少数股东损益(万元),-176,-172,
基本每股收益,-0.07,0,
稀释每股收益,-0.07,0,
