报告日期,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,
营业总收入(万元),431076,339674,238720,121377,379913,284271,203437,112291,331686,264196,180044,99785,279511,204615,137089,74742,263587,201624,168882,91535,295921,202818,141967,73046,281588,192600,133220,70758,
营业收入(万元),431076,339674,238720,121377,379913,284271,203437,112291,331686,264196,180044,99785,279511,204615,137089,74742,263587,201624,168882,91535,295921,202818,141967,73046,281588,192600,133220,70758,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,--,--,
营业总成本(万元),393658,310184,215703,111014,353834,262134,186593,103232,312133,248072,168325,93256,274313,200675,131786,71625,260663,195491,160738,86952,285221,191905,135313,69726,273451,185291,127816,67543,
营业成本(万元),273981,214373,149878,76910,251455,185112,133901,74834,215581,171249,114151,64517,182823,133308,89840,50061,177652,134505,105977,57094,185744,131948,93873,47185,184889,130038,88394,45136,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,--,--,
营业税金及附加(万元),4104,3273,2500,1420,3439,2662,1825,1023,2408,1944,1259,709,2520,1898,1339,741,2181,1707,1269,778,2160,1574,1097,579,2005,1559,1080,516,
销售费用(万元),61244,51981,36488,18681,50718,39945,27965,14936,51282,40707,28976,15877,47081,35146,21764,10597,39949,30005,29727,16007,50075,30107,21573,11859,47186,27312,19821,11702,
管理费用(万元),49615,37251,24380,12665,43171,30653,20404,11200,37301,29968,21033,10647,33744,24862,15485,8214,29822,22329,19020,10623,37322,21976,14973,7926,31721,21086,14779,8206,
财务费用(万元),4519,3656,2563,1278,5126,3818,2572,1266,5221,3972,2725,1390,6386,5086,3423,1862,9533,6967,4686,2333,7740,5757,3799,1946,7463,5651,3703,1796,
资产减值损失(万元),195,-351,-107,59,-75,-56,-74,-28,340,232,180,117,1760,375,-65,150,1526,-21,59,118,2180,543,-3,232,187,-355,39,188,
公允价值变动收益(万元),616,527,527,--,-70,--,--,--,301,--,--,--,188,--,--,--,787,--,--,--,2856,--,--,0,3750,--,--,--,
投资收益(万元),5387,4485,3478,1546,5397,3699,2890,1519,3997,3900,2908,1540,3087,2559,1960,1019,3586,2397,111,100,5972,7156,2430,1306,90,2351,1703,707,
对联营企业和合营企业的投资收益(万元),--,4482,3478,1546,5394,3696,2890,1519,3618,3899,2531,1540,3085,2557,1959,1019,3207,2105,--,--,0,1730,1634,829,0,2252,1584,721,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,--,--,
营业利润(万元),43421,34501,27022,11909,31406,25835,19735,10578,23851,20024,14626,8068,8472,6500,7263,4136,7297,8530,8254,4684,19528,18070,9084,4626,11978,9660,7106,3921,
营业外收入(万元),1559,957,739,111,2452,744,367,60,2387,808,524,102,3999,2820,116,33,4860,451,390,226,575,201,19,9,493,74,50,21,
营业外支出(万元),961,772,589,115,1029,160,83,29,529,217,78,12,709,602,216,34,561,389,359,82,760,349,191,50,1137,637,201,53,
非流动资产处置损失(万元),111,13,8,7,392,--,38,4,197,14,21,1,424,428,80,11,127,27,22,--,149,13,15,0,293,39,28,11,
利润总额(万元),44019,34686,27172,11906,32829,26419,20018,10609,25709,20616,15072,8159,11762,8718,7163,4135,11597,8591,8286,4828,19343,17922,8912,4585,11333,9098,6955,3888,
所得税费用(万元),6656,4765,3818,1660,4808,3782,2844,1485,3803,2525,1733,1066,-355,1186,1055,699,3198,1514,1707,1237,4053,5653,2429,1235,3426,3053,2086,1002,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,--,--,
净利润(万元),37362,29921,23354,10246,28022,22637,17174,9124,21906,18090,13339,7093,12117,7533,6108,3436,8399,7078,6579,3591,15290,12269,6483,3350,7907,6045,4869,2887,
归属于母公司所有者的净利润(万元),34895,27951,21799,9460,26109,21006,15952,8454,20474,16828,12412,6638,10777,6664,5561,3234,7641,6503,6146,3365,14451,11671,6075,3172,7390,5672,4550,2707,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
少数股东损益(万元),2467,1970,1555,786,1913,1631,1222,670,1432,1262,927,455,1340,869,547,202,758,575,433,226,839,598,408,178,517,373,319,180,
基本每股收益,0.74,0.6,0.46,0.2,0.56,0.45,0.34,0.18,0.44,0.36,0.26,0.14,0.23,0.14,0.12,0.07,0.16,0.14,0.13,0.07,0.31,0.25,0.13,0.07,0.16,0.12,0.1,0.07,
稀释每股收益,0.74,0.6,0.46,0.2,0.56,0.45,0.34,0.18,0.44,0.36,0.26,0.14,0.23,0.14,0.12,0.07,0.16,0.14,0.13,0.07,0.31,0.25,0.13,0.07,0.16,0.12,0.1,0.07,
