报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,
营业总收入(万元),0,0,0,0,0,0,0,34,0,0,0,2,0,0,0,4001,3199,1869,609,5623,4562,2947,1053,5320,3334,2213,2173,7914,6844,3879,2173,12350,9966,4643,1169,19268,18666,16501,9018,54594,38618,24763,11764,
营业收入(万元),0,0,0,0,0,0,0,34,0,0,0,2,0,0,0,4001,3199,1869,609,5623,4562,2947,1053,5320,3334,2213,2173,4323,6844,3879,2173,12350,9966,4643,1169,19268,18666,16501,9018,54594,38618,24763,11764,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,3591,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,
营业总成本(万元),7,128,54,145,8,95,14,707,69,45,23,1284,1097,738,377,14122,5616,3498,1459,9093,7123,4657,1896,9718,6714,4534,3225,11827,9921,6048,3225,15320,13254,6981,2375,32733,28988,23062,12118,65799,45088,29015,13952,
营业成本(万元),--,64,0,0,0,47,0,40,0,0,0,3,0,--,0,3819,3046,1774,590,5397,4385,2834,1016,5111,3190,2135,2081,4197,6544,3722,2081,11840,9534,4454,1106,21925,21338,18000,9766,55916,39640,25477,12074,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,3300,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,
营业税金及附加(万元),--,--,--,--,--,--,--,1,--,--,--,0,--,--,--,8,4,1,0,4,2,1,0,3,3,2,--,4,3,1,--,18,18,7,5,6,-131,-131,-131,46,46,46,--,
销售费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,25,22,13,3,-1,-1,-29,6,107,34,72,6,82,70,61,10,843,842,752,408,1883,1419,947,469,
管理费用(万元),7,64,54,147,8,48,15,665,69,45,23,144,109,81,49,1297,1304,886,453,1977,1449,969,461,2386,1718,1216,509,2050,1507,1021,509,2211,1522,1023,485,4935,3328,1896,1033,3340,2506,1678,853,
财务费用(万元),-0,-0,-0,-1,-0,-0,-0,-0,0,0,-0,1128,988,656,328,2949,1262,837,416,1688,1264,840,417,2350,1805,1210,628,2468,1845,1244,628,2699,2081,1435,770,4237,3292,2227,1073,4686,2030,1344,625,
资产减值损失(万元),--,--,--,-2,--,--,--,1,--,--,--,9,--,--,--,6049,0,--,0,3,--,--,--,-131,--,--,0,-300,-12,-12,0,-1529,30,0,0,787,320,319,341,-72,-554,-479,-68,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,
投资收益(万元),--,--,--,--,--,--,--,-2200,--,--,--,-335,-335,-335,--,-258,0,--,0,3,3,1,1,--,0,--,0,--,0,--,0,0,--,--,0,373,373,373,373,--,--,--,--,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,
营业利润(万元),-7,-64,-54,-145,-8,-47,-14,-2873,-69,-45,-23,-1616,-1431,-1072,-377,-10379,-2417,-1630,-851,-3467,-2558,-1709,-842,-4397,-3380,-2321,-1052,-3913,-3076,-2169,-1052,-2970,-3288,-2338,-1206,-13093,-9949,-6188,-3100,-11205,-6470,-4252,-2188,
营业外收入(万元),--,--,--,0,--,0,0,120,--,--,--,18,--,--,--,844,--,--,--,256,256,250,--,--,--,--,--,646,4,4,--,1841,1482,8,7,3370,1571,926,561,940,21,0,--,
营业外支出(万元),--,6,2,0,0,--,--,2,1,1,--,0,--,--,--,75,1,1,--,255,0,--,--,--,--,--,--,1,1,--,--,276,276,53,40,10766,307,3,0,7,7,0,0,
非流动资产处置损失(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,23,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,10763,--,--,--,--,--,--,--,
利润总额(万元),-7,-70,-56,-145,-8,-47,-14,-2755,-70,-46,-23,-1598,-1431,-1072,-377,-9609,-2418,-1630,-851,-3466,-2302,-1459,-842,-4397,-3380,-2321,-1052,-3267,-3073,-2165,-1052,-1406,-2082,-2384,-1239,-20489,-8685,-5266,-2539,-10271,-6456,-4252,-2188,
所得税费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,3,--,--,--,2,--,--,--,0,--,--,--,--,--,--,--,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,
净利润(万元),-7,-70,-56,-145,-8,-47,-14,-2755,-70,-46,-23,-1598,-1431,-1072,-377,-9609,-2418,-1630,-851,-3466,-2302,-1459,-842,-4397,-3380,-2321,-1052,-3270,-3073,-2165,-1052,-1407,-2082,-2384,-1239,-20489,-8685,-5266,-2539,-10271,-6456,-4252,-2188,
归属于母公司所有者的净利润(万元),-7,-70,-56,-145,-8,-47,-14,-2755,-70,-46,-23,-1596,-1431,-1072,-377,-9282,-2393,-1613,-839,-3426,-2275,-1444,-834,-4365,-3360,-2313,-1050,-3273,-3073,-2157,-1050,-1350,-2008,-2366,-1237,-19747,-8049,-4931,-2359,-9922,-6342,-4251,-2184,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,
少数股东损益(万元),--,--,--,--,--,--,--,-0,-0,-0,-0,-2,-0,-0,-0,-328,-25,-17,-12,-40,-27,-15,-8,-32,-20,-8,-2,3,0,-8,-2,-57,-74,-18,-2,-741,-636,-335,-180,-349,-114,-1,-4,
基本每股收益,-0,-0,-0,-0,-0,-0,-0,-0.08,-0,-0,0,-0.05,-0.04,-0.03,-0.01,-0.26,-0.07,-0.05,-0.02,-0.1,-0.06,-0.04,-0.02,-0.12,-0.1,-0.07,-0.03,-0.09,-0.09,-0.06,-0.03,-0.04,-0.06,-0.07,-0.04,-0.56,-0.23,-0.14,-0.07,-0.28,-0.18,-0.12,-0.06,
稀释每股收益,--,-0,--,-0,--,-0,--,-0.08,-0,-0,0,-0.05,-0.04,-0.03,-0.01,-0.26,-0.07,-0.05,-0.02,-0.1,-0.06,-0.04,-0.02,-0.12,-0.1,-0.07,-0.03,-0.09,-0.09,-0.06,-0.03,-0.04,-0.06,-0.07,-0.04,-0.56,-0.23,-0.14,-0.07,-0.28,-0.18,-0.12,-0.06,
