报告日期,2007-09-30,2007-06-30,2007-03-31,2006-09-30,2006-06-30,2006-03-31,
营业总收入(万元),811603,530586,251056,834629,549583,280738,
营业收入(万元),811603,530586,251056,834629,549583,280738,
利息收入(万元),--,0,0,--,0,0,
已赚保费(万元),--,0,0,--,0,0,
手续费及佣金收入(万元),--,0,0,--,0,0,
房地产销售收入(万元),--,0,0,--,0,--,
其他业务收入(万元),--,0,0,--,0,--,
营业总成本(万元),759483,495832,231931,778962,512990,254322,
营业成本(万元),706667,459748,217297,740509,487389,246833,
利息支出(万元),--,0,0,--,0,0,
手续费及佣金支出(万元),--,0,0,--,0,0,
房地产销售成本(万元),--,0,0,--,0,--,
研发费用(万元),--,0,0,--,0,--,
退保金(万元),--,0,0,--,0,0,
赔付支出净额(万元),--,0,0,--,0,0,
提取保险合同准备金净额(万元),--,0,0,--,0,0,
保单红利支出(万元),--,0,0,--,0,0,
分保费用(万元),--,0,0,--,0,0,
其他业务成本(万元),--,0,0,--,0,--,
营业税金及附加(万元),2793,1837,1429,1352,709,263,
销售费用(万元),8441,5875,1465,3825,1595,523,
管理费用(万元),21646,12988,6336,23620,13621,5946,
财务费用(万元),-1496,-978,-412,-3905,-2236,-665,
资产减值损失(万元),21432,16363,5817,13561,11912,1421,
公允价值变动收益(万元),--,0,0,--,0,0,
投资收益(万元),1069,732,603,2023,1584,388,
对联营企业和合营企业的投资收益(万元),1069,732,603,2023,1584,388,
汇兑收益(万元),--,0,0,--,0,0,
期货损益(万元),--,0,0,--,0,--,
托管收益(万元),--,0,0,--,0,--,
补贴收入(万元),--,0,0,--,0,--,
其他业务利润(万元),--,0,0,--,0,--,
营业利润(万元),53189,35485,19728,57690,38177,26804,
营业外收入(万元),669,532,106,120,46,25,
营业外支出(万元),672,538,48,1095,1091,9,
非流动资产处置损失(万元),0,0,0,--,0,0,
利润总额(万元),53185,35478,19786,56715,37132,26820,
所得税费用(万元),7651,5057,2679,7906,5149,4095,
未确认投资损失(万元),--,0,0,--,0,--,
净利润(万元),45535,30421,17107,48808,31984,22726,
归属于母公司所有者的净利润(万元),44228,29487,16594,47269,31157,22416,
被合并方在合并前实现净利润(万元),--,--,0,--,--,--,
少数股东损益(万元),1306,934,514,1539,827,309,
基本每股收益,1.1,0.73,0.41,1.18,0.78,0.56,
稀释每股收益,1.1,0.73,0.41,1.18,0.78,0.56,
