报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2016-12-31,2016-09-30,2016-06-30,2015-12-31,2011-03-31,2010-12-31,2010-09-30,
营业总收入(万元),60897,36650,6064,68005,39970,25732,3121,71809,37480,34028,41131,19104,786,986,193,1867,1243,
营业收入(万元),60897,36650,6064,68005,39970,25732,3121,71809,37480,34028,41131,19104,786,986,193,1867,1243,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
营业总成本(万元),57267,34288,5874,64761,35788,23959,2969,66137,35407,32298,38520,17997,1494,972,368,3326,2636,
营业成本(万元),53477,31735,4831,59060,32935,22301,2011,62557,33417,31240,36508,16376,559,591,111,1175,830,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
研发费用(万元),--,--,--,94,--,--,--,--,--,--,--,--,--,--,0,0,0,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
营业税金及附加(万元),337,244,73,514,334,227,69,323,106,16,45,10,6,12,1,1,0,
销售费用(万元),550,398,192,802,428,258,89,558,268,32,67,47,31,113,52,294,192,
管理费用(万元),2519,1577,682,3586,1641,1011,729,2029,1136,658,1372,889,645,203,96,525,356,
财务费用(万元),384,334,96,567,450,162,82,620,251,119,522,123,97,0,109,1331,1259,
资产减值损失(万元),--,--,-1,137,--,--,--,49,229,232,6,553,156,54,0,0,0,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
投资收益(万元),29,--,--,49,--,--,--,-1116,-949,-947,3887,1500,1119,4451,0,0,0,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,--,-1116,--,--,2679,--,--,--,0,0,0,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
营业利润(万元),3662,2355,189,3592,4184,1773,141,4555,1125,783,6498,2607,412,4465,-175,-1459,-1394,
营业外收入(万元),113,34,8,9,487,487,0,2469,2913,2983,1,0,0,117197,0,142,0,
营业外支出(万元),17,1,1,21,73,71,71,96,16,0,2,0,0,13796,0,5891,2,
非流动资产处置损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,
利润总额(万元),3758,2388,197,3580,4598,2189,70,6928,4022,3765,6497,2607,412,107866,-175,-7208,-1396,
所得税费用(万元),1032,633,121,247,926,273,18,1905,1093,935,1043,547,-38,12,0,32,7,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,-10,-130,-200,
净利润(万元),2724,1755,75,3333,3672,1915,53,5023,2929,2831,5454,2060,450,107855,-166,-7111,-1203,
归属于母公司所有者的净利润(万元),2148,1441,119,2413,2655,1506,22,4542,3378,3293,4715,1668,196,107960,-156,-7125,-1208,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
少数股东损益(万元),577,314,-44,920,1017,410,31,481,-449,-463,738,392,254,-105,-10,14,5,
基本每股收益,0.09,0.06,0.01,0.1,0.11,0.06,0,0.19,0.14,0.14,0.2,0.09,0.01,4.51,-0.01,-0.54,-0.09,
稀释每股收益,--,0.06,0.01,0.1,0.11,0.06,0,0.19,--,--,0.2,0.09,0.01,4.51,0,-0.54,0,
