报告日期,2010-09-30,2010-06-30,2009-12-31,2009-09-30,2008-12-31,2007-12-31,
营业总收入(万元),14129,10106,15967,10703,12282,8693,
营业收入(万元),14129,10103,15928,10703,12242,8685,
利息收入(万元),0,0,0,0,0,0,
已赚保费(万元),0,0,0,0,0,0,
手续费及佣金收入(万元),0,0,0,0,0,0,
房地产销售收入(万元),0,0,0,0,0,0,
其他业务收入(万元),0,3,39,0,40,8,
营业总成本(万元),10399,7454,12705,8146,9540,6081,
营业成本(万元),6734,4914,7961,5523,6339,3959,
利息支出(万元),0,0,0,0,0,0,
手续费及佣金支出(万元),0,0,0,0,0,0,
房地产销售成本(万元),0,0,0,0,0,0,
研发费用(万元),0,0,0,0,0,0,
退保金(万元),0,0,0,0,0,0,
赔付支出净额(万元),0,0,0,0,0,0,
提取保险合同准备金净额(万元),0,0,0,0,0,0,
保单红利支出(万元),0,0,0,0,0,0,
分保费用(万元),0,0,0,0,0,0,
其他业务成本(万元),0,0,0,0,4,1,
营业税金及附加(万元),341,265,414,282,264,112,
销售费用(万元),1459,1024,1801,1036,1460,746,
管理费用(万元),1189,770,1717,853,745,711,
财务费用(万元),671,477,710,481,734,532,
资产减值损失(万元),5,2,101,-30,-5,21,
公允价值变动收益(万元),0,0,0,0,0,0,
投资收益(万元),0,0,0,0,0,0,
对联营企业和合营企业的投资收益(万元),0,0,0,0,0,0,
汇兑收益(万元),0,0,0,0,0,0,
期货损益(万元),0,0,0,0,0,0,
托管收益(万元),0,0,0,0,0,0,
补贴收入(万元),0,0,0,0,0,0,
其他业务利润(万元),0,0,0,0,0,0,
营业利润(万元),3730,2652,3262,2557,2742,2613,
营业外收入(万元),3,3,273,77,841,5,
营业外支出(万元),0,0,0,0,7,5,
非流动资产处置损失(万元),0,0,0,0,0,0,
利润总额(万元),3733,2655,3534,2634,3576,2613,
所得税费用(万元),537,375,570,433,552,863,
未确认投资损失(万元),0,0,0,0,0,0,
净利润(万元),3196,2280,2965,2201,3024,1751,
归属于母公司所有者的净利润(万元),3196,2280,2965,2201,3024,1751,
被合并方在合并前实现净利润(万元),0,0,0,0,0,0,
少数股东损益(万元),0,0,0,0,0,0,
基本每股收益,0.63,0.45,0.6,0.46,0.71,0.55,
稀释每股收益,0.63,0.45,0.6,0.46,0.71,0.55,
