报告日期,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,
营业总收入(万元),769551,467374,1284396,931180,661203,392929,1027369,751309,534858,315328,917737,678400,488877,292852,842853,602114,423593,244287,875208,679616,492643,278267,
营业收入(万元),769551,467374,1284396,931180,661203,392929,1027369,751309,534858,315328,917737,678400,488877,292852,842853,602114,423593,244287,875208,679616,492643,278267,
利息收入(万元),--,--,0,0,0,0,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,
已赚保费(万元),--,--,0,0,0,0,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,
手续费及佣金收入(万元),--,--,0,0,0,0,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,
房地产销售收入(万元),--,--,0,0,0,0,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,
其他业务收入(万元),--,--,0,0,0,0,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,
营业总成本(万元),711504,432712,1205971,870950,616037,363955,974521,707988,499497,292881,866692,636400,455260,270381,787941,567417,396421,226581,828689,649285,470170,261039,
营业成本(万元),580335,359747,960612,693919,494526,299506,758346,552233,394653,235816,662843,488765,354458,216023,620494,441628,312857,181772,667249,524751,382045,214982,
利息支出(万元),--,--,0,0,0,0,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,
手续费及佣金支出(万元),--,--,0,0,0,0,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,
房地产销售成本(万元),--,--,0,0,0,0,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,
研发费用(万元),--,--,0,0,0,0,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,
退保金(万元),--,--,0,0,0,0,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,
赔付支出净额(万元),--,--,0,0,0,0,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,
提取保险合同准备金净额(万元),--,--,0,0,0,0,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,
保单红利支出(万元),--,--,0,0,0,0,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,
分保费用(万元),--,--,0,0,0,0,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,
其他业务成本(万元),--,--,0,0,0,0,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,
营业税金及附加(万元),11623,7536,16013,11454,8497,4873,13519,8508,6054,3995,11098,7213,4938,3164,7896,4556,3020,1690,6737,3649,2498,1394,
销售费用(万元),59036,32877,109076,77188,53125,25809,87550,56961,37989,20574,77225,53588,37971,20507,70614,49367,33944,19427,81554,64752,47015,25938,
管理费用(万元),52706,28718,105281,76623,51775,30092,95741,75234,50262,26870,89335,67256,44150,22818,76482,60053,42840,22016,68394,51237,35204,16598,
财务费用(万元),7967,4005,15512,11940,8062,3777,18816,15389,10837,5710,25001,19320,13463,8004,11432,11911,3863,1674,4735,4614,3225,2002,
资产减值损失(万元),-163,-172,-524,-173,52,-103,549,-338,-297,-84,1190,258,281,-135,1022,-98,-103,2,20,283,183,125,
公允价值变动收益(万元),--,--,0,0,0,0,--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,0,
投资收益(万元),34467,30974,17223,17200,4914,84,8509,8009,192,41,1684,2077,1752,567,6756,6324,5900,3567,-124,-3,-9,24,
对联营企业和合营企业的投资收益(万元),-115,-94,-358,-226,79,84,261,204,114,22,-374,45,45,-22,154,245,--,0,385,198,--,-90,
汇兑收益(万元),--,--,0,0,0,0,--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,--,
期货损益(万元),--,--,0,0,0,0,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,
托管收益(万元),--,--,0,0,0,0,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,
补贴收入(万元),--,--,0,0,0,0,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,
其他业务利润(万元),--,--,0,0,0,0,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,
营业利润(万元),92514,65636,95648,77430,50081,29058,61357,51331,35552,22487,52730,44077,35369,23038,61668,41021,33072,21152,46396,30327,22464,17251,
营业外收入(万元),426,130,4324,3325,1857,177,3659,1882,558,16,4538,961,175,14,1351,68,39,8,2130,835,776,119,
营业外支出(万元),228,15,279,119,32,6,920,49,12,5,1096,638,601,9,1587,214,274,43,2016,1174,1110,187,
