报告日期,2017-06-30,2016-12-31,2015-12-31,2014-12-31,2013-09-30,2013-06-30,2012-12-31,2011-12-31,2010-12-31,2009-12-31,
营业总收入(万元),25546,43649,81823,97079,101847,64651,104858,79337,47340,34029,
营业收入(万元),25546,43649,81823,97079,101847,64651,104858,79337,47340,34029,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),19537,42062,71566,92774,84756,54299,91323,70735,42800,30866,
营业成本(万元),11256,26978,53854,72270,76719,48831,82148,64180,38940,28010,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),57,108,159,131,--,149,270,176,101,84,
销售费用(万元),135,370,701,770,727,406,881,664,378,352,
管理费用(万元),642,1892,2444,3074,2198,1338,2738,2561,1567,1398,
财务费用(万元),4044,8312,12666,14318,5112,3202,4894,3069,1048,653,
资产减值损失(万元),3403,4402,1742,2210,--,373,392,84,765,369,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,
投资收益(万元),--,--,--,--,--,--,--,--,--,--,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,
营业利润(万元),6009,1587,10256,4305,16512,10352,13536,8602,4540,3163,
营业外收入(万元),36,366,1182,787,--,23,355,185,30,58,
营业外支出(万元),2,2,0,5,--,21,1,205,84,10,
非流动资产处置损失(万元),--,--,--,--,--,--,--,202,--,4,
利润总额(万元),6042,1951,11438,5088,16636,10354,13890,8583,4486,3210,
所得税费用(万元),915,315,1830,1225,--,1566,1980,1352,-225,0,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,
净利润(万元),5128,1636,9608,3863,14115,8788,11910,7231,4711,3210,
归属于母公司所有者的净利润(万元),5128,1636,9608,3863,14115,8788,11910,7231,4711,3210,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,
少数股东损益(万元),--,--,--,--,--,--,--,--,--,--,
基本每股收益,0.22,0.07,0.52,0.3,--,0.68,0.92,0.56,0.4,0.33,
稀释每股收益,0.22,0.07,0.52,0.3,--,0.68,0.92,0.56,0.4,0.33,
