报告日期,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,
营业总收入(万元),1278230,710635,344202,1830532,1562789,1010376,473993,1460910,1057531,642184,302334,840603,652610,434063,190640,
营业收入(万元),1278230,662690,344202,1713360,1562789,1010376,473993,1460910,1057531,642184,302334,840603,652610,434063,190640,
利息收入(万元),--,0,--,--,--,--,--,--,--,0,0,--,--,0,--,
已赚保费(万元),--,0,--,--,--,--,--,--,--,0,0,--,--,0,--,
手续费及佣金收入(万元),--,0,--,--,--,--,--,--,--,0,0,--,--,0,--,
房地产销售收入(万元),--,0,--,--,--,--,--,--,--,0,--,--,--,0,--,
其他业务收入(万元),--,47945,--,117171,--,--,--,--,--,0,--,--,--,0,--,
营业总成本(万元),1274165,723000,355245,1829747,1524923,976338,467067,1415548,1013432,614576,292809,797044,615373,408111,188310,
营业成本(万元),1208370,634549,335982,1615105,1445075,927082,445612,1332532,965510,583305,277390,736555,570393,378086,171249,
利息支出(万元),--,0,--,--,--,--,--,--,--,0,0,--,--,0,--,
手续费及佣金支出(万元),--,0,--,--,--,--,--,--,--,0,0,--,--,0,--,
房地产销售成本(万元),--,0,--,--,--,--,--,--,--,0,--,--,--,0,--,
研发费用(万元),--,0,--,--,--,--,--,--,--,0,--,--,--,0,--,
退保金(万元),--,0,--,--,--,--,--,--,--,0,0,--,--,0,--,
赔付支出净额(万元),--,0,--,--,--,--,--,--,--,0,0,--,--,0,--,
提取保险合同准备金净额(万元),--,0,--,--,--,--,--,--,--,0,0,--,--,0,--,
保单红利支出(万元),--,0,--,--,--,--,--,--,--,0,0,--,--,0,--,
分保费用(万元),--,0,--,--,--,--,--,--,--,0,0,--,--,0,--,
其他业务成本(万元),--,50117,--,109364,--,--,--,--,--,0,--,--,--,0,--,
营业税金及附加(万元),1067,984,966,3152,2591,1807,942,10725,5413,3705,1968,2758,2248,1960,1238,
销售费用(万元),5517,3486,1773,13475,11252,4665,1790,7254,4994,3972,2099,7843,6050,4993,3530,
管理费用(万元),23616,16994,5823,35753,24323,18013,7599,32496,14591,8471,5563,29974,22544,15236,7745,
财务费用(万元),36403,17454,10702,45466,39801,22892,11124,33252,23687,15883,5789,19962,14830,8528,4549,
资产减值损失(万元),-809,-585,--,7432,1879,1879,--,-710,-762,-761,0,-48,-691,-691,--,
公允价值变动收益(万元),--,0,--,--,--,--,--,--,487,98,0,--,--,0,--,
投资收益(万元),29,-685,62,2061,2666,1680,872,2898,3371,2444,800,1884,1063,715,369,
对联营企业和合营企业的投资收益(万元),--,0,--,1981,--,--,--,--,--,0,0,--,--,0,--,
汇兑收益(万元),--,0,--,--,--,--,--,--,--,0,0,--,--,0,--,
期货损益(万元),--,0,--,--,--,--,--,--,--,0,--,--,--,0,--,
托管收益(万元),--,0,--,--,--,--,--,--,--,0,--,--,--,0,--,
补贴收入(万元),--,0,--,--,--,--,--,--,--,0,--,--,--,0,--,
其他业务利润(万元),--,0,--,--,--,--,--,--,--,0,--,--,--,0,--,
营业利润(万元),4094,-13051,-10981,2846,40532,35718,7798,48260,47957,30151,10324,45443,38301,26666,2699,
营业外收入(万元),1124,162,22,951,86,16,7,99,34,30,3,70,39,1,--,
营业外支出(万元),111,94,11,2699,2865,2621,2,480,10,1,0,161,157,25,--,
非流动资产处置损失(万元),--,67,--,1790,2013,2013,--,--,--,0,0,--,--,0,--,
利润总额(万元),5106,-12983,-10971,1098,37753,33113,7803,47879,47981,30180,10328,45353,38183,26641,2699,
所得税费用(万元),3137,-2975,-2697,-1703,8401,7723,1579,3028,14796,8296,3217,12523,7449,7278,1359,
未确认投资损失(万元),--,0,--,--,--,--,--,--,--,0,--,--,--,0,--,
净利润(万元),1969,-10007,-8274,2801,29352,25389,6224,44851,33184,21884,7111,32830,30733,19363,1340,
归属于母公司所有者的净利润(万元),1334,-9599,-8159,2808,26598,23345,5820,43361,30276,19792,5794,30724,26796,15769,1802,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
少数股东损益(万元),635,-408,-115,-7,2755,2045,404,1490,2908,2093,1317,2106,3937,3594,-462,
基本每股收益,0.01,-0.1,-0.08,0.03,0.27,0.24,0.06,0.44,0.31,0.2,0.06,0.37,0.27,0.21,0.02,
稀释每股收益,0.01,-0.1,-0.08,0.03,0.27,0.24,0.06,0.44,0.31,0.2,0.06,0.37,0.27,0.21,0.02,
