报告日期,2019-06-30,2018-12-31,2017-12-31,2016-12-31,2016-06-30,2015-12-31,2014-12-31,
营业总收入(万元),48991,88585,76754,61920,27674,52313,38534,
营业收入(万元),48991,88585,76754,61920,27674,52313,38534,
利息收入(万元),--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,
营业总成本(万元),43617,78710,68435,54350,24558,47009,35831,
营业成本(万元),38540,69765,60317,48695,21583,40723,31262,
利息支出(万元),--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,
营业税金及附加(万元),265,582,492,1316,1136,2945,2173,
销售费用(万元),811,1338,883,392,82,166,118,
管理费用(万元),3930,6852,6536,3719,1611,3063,2172,
财务费用(万元),70,96,-63,-6,-7,7,-32,
资产减值损失(万元),--,76,270,233,153,105,138,
公允价值变动收益(万元),--,--,--,--,--,--,--,
投资收益(万元),120,-46,-40,224,185,354,332,
对联营企业和合营企业的投资收益(万元),-9,-10,-56,-2,-10,10,-3,
汇兑收益(万元),--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,
营业利润(万元),5480,10355,8755,7794,3300,5658,3035,
营业外收入(万元),21,95,213,663,124,668,648,
营业外支出(万元),9,19,366,47,22,635,16,
非流动资产处置损失(万元),--,--,--,4,2,587,1,
利润总额(万元),5492,10431,8602,8410,3402,5692,3666,
所得税费用(万元),710,1577,1468,1328,475,1024,560,
未确认投资损失(万元),--,--,--,--,--,--,--,
净利润(万元),4782,8854,7134,7082,2926,4668,3106,
归属于母公司所有者的净利润(万元),4751,8808,7066,7026,2893,4953,3141,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,
少数股东损益(万元),31,47,68,56,34,-285,-35,
基本每股收益,0.88,1.64,1.35,1.41,5.85,9.34,6.21,
稀释每股收益,0.88,1.64,1.35,1.41,5.85,9.34,6.21,
