报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,--,--,0,--,--,--,--,--,0,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,--,--,0,--,--,--,--,--,0,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,--,--,0,--,--,--,--,--,0,--,--,
营业利润(万元),9931,47086,35817,22295,8006,39261,34706,21725,6981,16325,20885,17912,7515,30842,29704,21517,6250,35222,26996,16004,4448,24594,23236,17754,6112,31983,23236,17426,5765,32046,27607,20248,8751,37351,30686,21697,8024,33814,29919,24557,11672,45768,35805,21952,9121,38609,25726,15247,7096,
营业外收入(万元),61,727,234,179,117,520,388,329,301,5324,3223,1669,1612,1015,727,638,400,1274,343,202,20,1616,310,237,20,988,818,280,208,843,273,104,42,665,97,4,3,1,1,1,1,5,5,1,1,5,5,5,1,
营业外支出(万元),32,237,182,115,33,487,240,138,70,331,372,217,94,552,249,155,70,607,322,230,75,393,284,144,61,609,439,176,80,418,298,206,88,785,126,126,120,8,7,6,0,5,4,0,0,47,27,26,18,
非流动资产处置损失(万元),--,--,5,3,2,230,32,32,--,60,15,15,--,140,24,18,--,140,31,31,--,8,4,4,--,121,--,--,--,8,8,8,--,280,126,126,120,8,--,--,0,--,--,0,0,--,0,0,--,
利润总额(万元),9960,47577,35869,22359,8090,39294,34854,21916,7212,21319,23735,19365,9033,31305,30181,22000,6580,35889,27017,15976,4393,25817,23261,17847,6072,32362,23615,17530,5892,32471,27583,20145,8705,37231,30657,21574,7907,33806,29913,24552,11673,45768,35806,21954,9122,38567,25705,15227,7079,
所得税费用(万元),1881,7869,6137,3729,1539,7733,7020,4162,1518,6084,4566,3168,1646,6673,6688,4819,1602,9448,6680,3959,1137,6922,5609,4207,1466,7738,5202,3739,1439,7790,6590,4773,2216,8272,6998,4459,1517,8799,7472,6218,2947,14477,10852,6922,2457,11281,7340,4168,2311,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,--,--,0,--,--,--,--,--,0,--,--,
净利润(万元),8079,39707,29732,18630,6551,31560,27835,17754,5693,15235,19170,16197,7387,24632,23494,17180,4978,26441,20337,12017,3256,18896,17652,13639,4606,24624,18413,13791,4453,24682,20992,15372,6489,28959,23659,17115,6391,25007,22441,18334,8726,31291,24953,15032,6665,27286,18364,11058,4768,
归属于母公司所有者的净利润(万元),7779,37719,28070,17427,6166,30001,26788,17095,5423,13580,17455,15033,6896,22752,21969,16155,4894,26962,20500,12197,3298,20260,17763,13670,4630,24803,18542,13988,4579,24257,21109,15521,6602,28986,23746,17239,6477,25199,22540,18554,8767,31214,25216,15143,6728,26465,18186,11113,4791,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,
少数股东损益(万元),300,1988,1663,1203,384,1559,1047,659,271,1654,1715,1164,491,1879,1525,1025,85,-521,-163,-180,-42,-1364,-111,-31,-24,-178,-128,-197,-126,425,-116,-148,-112,-27,-87,-123,-86,-192,-99,-220,-41,76,-263,-111,-64,821,179,-55,-23,
基本每股收益,0.07,--,0.26,0.16,0.06,0.28,0.25,0.16,0.05,0.12,0.16,0.14,0.06,0.21,0.2,0.15,0.04,0.25,0.19,0.11,0.03,0.19,0.16,0.13,0.04,0.23,0.17,0.13,0.04,0.22,0.19,0.14,0.06,0.27,0.22,0.16,0.06,0.23,0.21,0.17,0.08,0.29,0.23,0.14,0.06,0.24,0.17,0.1,0.04,
稀释每股收益,0.07,--,0.26,0.16,0.06,0.28,0.25,0.16,0.05,0.12,0.16,0.14,0.06,0.21,0.2,0.15,0.04,0.25,0.19,0.11,0.03,0.19,0.16,0.13,0.04,0.23,0.17,0.13,0.04,0.22,0.19,0.14,0.06,0.27,0.22,--,0.06,0.23,0.21,0.17,0.08,0.29,0.23,0.14,0.06,0.24,0.17,0.1,0.04,
