报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,
营业总收入(万元),67,52,18,93,67,61,30,83,45,40,40,71,
营业收入(万元),67,52,18,93,67,61,30,83,45,40,40,71,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),3614,2418,1178,5565,4177,2565,1284,5637,4140,2521,1232,5230,
营业成本(万元),0,0,0,--,0,0,--,--,0,0,0,0,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),0,--,--,190,0,0,--,281,0,--,--,178,
销售费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,
管理费用(万元),259,198,79,776,674,238,127,710,639,203,47,571,
财务费用(万元),3355,2220,1099,4604,3504,2327,1157,4645,3501,2318,1185,4633,
资产减值损失(万元),--,--,--,-5,--,--,--,2,--,--,--,-152,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,
投资收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,
营业利润(万元),-3547,-2366,-1160,2034,-4111,-2505,-1255,-5554,-4095,-2481,-1192,-5158,
营业外收入(万元),0,0,--,3,7509,7508,0,0,0,0,--,2,
营业外支出(万元),1,0,--,288,280,280,0,3,--,--,--,--,
非流动资产处置损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,
利润总额(万元),-3547,-2366,-1160,1749,3117,4724,-1255,-5557,-4095,-2481,-1192,-5157,
所得税费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,
净利润(万元),-3547,-2366,-1160,1749,3117,4724,-1255,-5557,-4095,-2481,-1192,-5157,
归属于母公司所有者的净利润(万元),-3547,-2363,-1160,1755,3117,4724,-1255,-5550,-3506,-2481,-410,-5150,
被合并方在合并前实现净利润(万元),--,--,-1160,--,--,--,--,--,--,--,--,--,
少数股东损益(万元),--,-3,--,-7,--,--,--,-7,-7,-7,-7,-7,
基本每股收益,-0.31,-0.21,-0.1,0.15,0.27,0.41,-0.11,-0.49,-0.36,-0.22,-0.1,-0.45,
稀释每股收益,-0.31,--,-0.1,0.15,--,--,--,--,--,--,--,--,
