报告日期,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,
货币资金(万元),210343,251199,177663,112263,98182,77983,87377,106300,78184,66224,54674,73681,40329,85394,76466,67522,61243,63913,103437,
结算备付金(万元),--,--,--,--,0,--,0,--,0,--,--,--,0,--,0,--,0,--,0,
拆出资金(万元),--,--,--,--,0,--,0,--,0,--,--,--,0,--,0,--,0,--,0,
交易性金融资产(万元),--,--,--,--,0,--,0,--,0,--,--,--,0,--,0,--,0,0,0,
衍生金融资产(万元),--,--,--,--,0,--,0,--,0,--,--,--,0,--,0,--,--,--,0,
应收票据(万元),372,228,234,69,0,--,51,--,0,--,--,--,0,--,0,--,0,0,200,
应收账款(万元),6520,7668,9099,11858,7859,9200,10887,8380,6417,9731,7219,14570,9810,10283,11344,8315,8076,8870,5251,
预付款项(万元),957,1583,5269,6293,1985,987,1441,1258,544,680,676,1680,1332,1406,1227,4420,3721,5743,3886,
应收保费(万元),--,--,--,--,0,--,0,--,0,--,--,--,0,--,0,--,0,--,0,
应收分保账款(万元),--,--,--,--,0,--,0,--,0,--,--,--,0,--,0,--,0,--,0,
应收分保合同准备金(万元),--,--,--,--,0,--,0,--,0,--,--,--,0,--,0,--,0,--,0,
应收利息(万元),--,--,--,--,0,--,0,--,0,--,--,--,0,--,0,--,0,0,0,
应收股利(万元),3385,0,16,1,4291,0,17,0,0,70,85,0,0,120,111,28,48,197,55,
其他应收款(万元),3702,3884,3264,22113,16723,23467,17709,20775,18062,26713,22350,78268,43962,19633,14012,16612,105621,12184,4009,
应收出口退税(万元), --,--,--,--,0,--,0,--,0,--,--,--,0,--,0,--,--,--,0,
应收补贴款(万元),--,--,--,--,0,--,0,--,0,--,--,--,0,--,0,--,--,--,0,
应收保证金(万元),--,--,--,--,0,--,0,--,0,--,--,--,0,--,0,--,--,--,0,
内部应收款(万元),--,--,--,--,0,--,0,--,0,--,--,--,0,--,0,--,--,--,0,
买入返售金融资产(万元),--,--,--,--,0,--,0,--,0,--,--,--,0,--,0,--,0,--,0,
存货(万元),26654,16615,16612,15324,14521,14547,15030,13449,13012,12671,13815,14349,13728,12401,13339,16010,14218,14788,15400,
待摊费用(万元),--,--,--,--,0,--,0,--,0,--,--,--,0,--,0,--,--,--,0,
待处理流动资产损益(万元),--,--,--,--,0,--,0,--,0,--,--,--,0,--,0,--,--,--,0,
一年内到期的非流动资产(万元),--,--,--,--,0,--,0,--,0,--,--,--,0,--,0,--,0,0,0,
其他流动资产(万元),500,500,500,--,1006,--,0,0,-0,0,--,--,0,0,0,-0,88,74,0,
流动资产合计(万元),252434,281677,212657,167922,144567,126184,132512,150162,116219,116089,98819,182548,109162,129237,116500,112908,193016,105768,132238,
发放贷款及垫款(万元),--,--,--,--,0,--,0,--,0,--,--,--,0,--,0,--,49464,--,0,
可供出售金融资产(万元),200067,222727,213661,195957,182601,310593,322626,203037,229448,177736,99721,198255,188930,112967,132192,14584,8313,8439,10047,
持有至到期投资(万元),--,--,--,--,0,--,0,--,0,0,--,--,0,--,0,--,0,0,0,
长期应收款(万元),--,--,--,--,0,--,0,--,0,0,--,--,0,--,0,49464,0,0,0,
