报告日期,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,
货币资金(万元),26960,26471,33287,21973,30131,23375,22417,25011,28327,50798,48544,50450,53294,44164,44090,46145,52776,39783,40231,42861,46555,40530,39096,46897,49468,42116,42650,45708,45655,40383,43851,36263,39562,35295,38127,38268,38048,35475,34733,36914,33456,34125,33920,32157,30627,30838,31339,29124,25447,22845,24704,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,--,--,--,--,--,--,--,--,--,0,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,--,--,--,--,--,--,--,--,--,0,
交易性金融资产(万元),10,18654,18004,--,5,2,3,14,--,--,--,--,--,--,--,--,--,--,--,3,2,3,3,4,3,4,4,5,6,6,6,9,12,15,--,30,0,0,0,5,0,--,--,--,--,--,--,32,--,0,0,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,--,--,--,--,--,--,--,--,--,0,
应收票据(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,--,10,4,5,4,5,--,4,0,1,
应收账款(万元),10713,12213,--,10469,--,7050,10314,6583,6069,4131,7975,4314,5118,3206,6395,5252,3853,5396,6692,6597,5939,2984,4456,5099,4932,3676,5639,5052,5968,1944,3928,4191,4729,3059,6924,5482,5902,2642,4106,4584,3185,3323,4399,5155,6140,3590,6694,5737,7257,5367,6218,
预付款项(万元),10932,6540,7543,5972,4693,4194,3817,9914,8525,5838,6715,15375,12266,9447,7011,19979,16615,12783,8923,18788,14234,9004,7015,16406,13090,9418,7166,17532,15923,9664,6709,17487,10078,8930,5710,12746,13263,6030,4594,4962,4071,4222,3735,5933,5900,3983,3637,3874,2588,2711,2881,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,--,--,--,--,--,--,--,--,--,0,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,--,--,--,--,--,--,--,--,--,0,
