报告日期,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-06-30,2009-03-31,2008-12-31,2007-12-31,
货币资金(万元),1747795,3058420,1400728,1597818,1104279,933205,535214,723302,777566,902511,537867,790420,1283767,603781,566308,503814,868594,525288,611442,753844,584098,1136301,291098,199715,252691,356894,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,
交易性金融资产(万元),558,438,395,366,371,491,1089,1228,1901,1965,2031,2486,3092,3092,2833,3550,5305,3999,231,--,--,--,--,0,--,0,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,
应收票据(万元),218296,227581,134096,126513,146202,153430,142838,136310,111896,88802,86499,93783,83383,83931,50155,29813,62063,60280,64786,44421,33139,46990,40511,36088,54928,46092,
应收账款(万元),2601294,2568999,3842142,3806833,3231436,3038497,3248947,2569429,2488120,2182990,3053894,2660019,1722493,1592856,2449544,1742669,1848166,1027426,1181276,1406411,1410429,1176459,775319,654209,698094,780551,
预付款项(万元),495998,595211,594123,645433,655621,481663,622098,546825,595182,541286,746983,692513,844002,758229,902840,881635,1091706,960932,1284144,942010,1017373,664782,517649,482027,418786,379378,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,
应收利息(万元),4537,5184,6276,4196,2361,1624,1396,1076,1460,174,71,51,94,162,63,110,112,36,--,--,--,--,--,0,--,0,
应收股利(万元),1189,1189,193,5347,4069,2069,4040,4040,2420,2420,7095,6890,7626,6227,352,5377,--,202,5499,5460,235,234,3486,291,235,506,
其他应收款(万元),130537,95777,172342,140440,142092,144425,119115,117576,88704,92166,87980,108800,82001,67408,73168,92324,72986,66040,45089,56804,38843,35142,46260,110351,51371,89589,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,
存货(万元),3493413,2900357,3460753,2914725,2371974,1864016,2600243,2572577,2464160,2464622,2948395,3006952,3290977,3105441,3533210,3588256,3196144,2416148,2014352,1689562,1538239,1293450,1078376,1018923,934594,704317,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,
一年内到期的非流动资产(万元),228719,232027,485455,476410,429907,423902,154968,149843,104047,104026,93199,47460,37327,40247,35604,36932,23382,23401,7406,15859,5867,5786,2,3,4,134,
其他流动资产(万元),64953,64066,75089,82030,61717,29620,61545,61904,39883,40491,40352,45650,66141,52511,61575,83109,88531,53163,102048,81778,52937,38029,42759,17087,27694,0,
流动资产合计(万元),8987289,9749249,10171591,9800111,8150029,7072941,7491492,6884109,6675339,6421453,7604365,7455025,7420902,6313886,7675651,6967587,7256989,5136913,5316273,4996147,4681159,4397172,2795460,2518693,2438395,2357461,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,
可供出售金融资产(万元),13992,11745,11708,8685,7816,9083,8930,7973,6830,7435,6327,7051,6632,6842,7916,13487,17418,21980,7750,10530,9308,7536,22949,16596,16749,26246,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,
长期应收款(万元),584207,622867,727091,773384,728552,706938,692018,604452,534843,415540,222205,177808,120675,93342,86577,49320,42675,47017,71473,38086,14087,15168,8201,0,--,0,
长期股权投资(万元),225317,219881,210691,200971,207984,202750,194777,185489,191928,185434,180258,175564,182596,181638,148573,143695,145614,118708,147341,94373,90920,85416,71817,69463,71033,61066,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,
投资性房地产(万元),6647,7421,16621,8228,8345,8427,9179,9418,9441,9639,10921,9228,9482,9414,9444,9544,9629,9753,10129,8912,8269,8101,9059,11667,9382,9602,
固定资产原值(万元),--,3741426,--,3504652,--,3362496,--,3069289,--,2897820,--,2479462,--,2332468,--,2104353,--,1884636,--,1635888,--,1566902,1485399,1376359,1378469,1178249,
累计折旧(万元),--,1255849,--,1161115,--,1071183,--,981885,--,898358,--,833582,--,769485,--,720310,--,682453,--,645592,--,610424,579447,555467,544472,492888,
固定资产净值(万元),--,2485578,--,2343537,--,2291313,--,2087404,--,1999462,--,1645880,--,1562983,--,1384043,--,1202184,--,990297,--,956478,905952,820892,833997,685360,
固定资产减值准备(万元),--,19733,--,20313,--,20619,--,20479,--,20665,--,21074,--,21180,--,21571,--,21682,--,22358,--,22962,23010,23003,23077,23907,
固定资产(万元),2442599,2465845,2304254,2323224,2265533,2270694,2134209,2066926,2030420,1978798,1704920,1624806,1504286,1541803,1359175,1362472,1316906,1180502,985459,967939,921943,933516,882942,797890,810920,661454,
在建工程(万元),539268,520750,586908,533941,565560,518482,596419,558750,511382,527009,664626,688985,734243,639155,609272,508453,459945,389538,378183,282570,282058,209815,118346,146622,134622,154879,
工程物资(万元),4769,4997,4412,4476,4834,1730,9096,6947,10754,10196,12089,13955,11785,11537,55171,78461,71975,66540,93881,72459,60545,52891,39635,47229,37582,7693,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,--,--,--,58,--,157,--,22,--,--,--,--,--,--,18,--,0,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,
无形资产(万元),976668,983248,970409,967070,956259,960948,864679,857646,857779,856652,835441,820621,801624,803296,727599,715736,707038,671621,670646,615613,602470,606445,594885,596352,600586,599180,
开发支出(万元),--,--,--,--,--,--,184,--,--,--,0,--,--,22,93,70,897,862,957,693,836,693,683,825,608,0,
商誉(万元),1356,1356,1356,1356,1356,1356,1356,1356,1356,1356,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,
长期待摊费用(万元),3481,3820,557,566,471,488,478,539,592,612,534,559,176,264,350,418,693,797,760,822,837,856,929,578,624,568,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,
递延所得税资产(万元),77403,77452,53968,52784,47474,45134,30466,30179,27959,28609,25037,24396,24527,25210,19299,17879,15964,16707,16159,21233,15727,16500,13972,11113,14355,12066,
其他非流动资产(万元),284456,246598,233497,219261,227937,216922,281827,247549,202484,200930,103411,111189,102608,99563,77939,83457,56659,55282,--,--,--,--,--,0,--,0,
非流动资产合计(万元),5160163,5165980,5121471,5093946,5022121,4942951,4823615,4577222,4385768,4222207,3765769,3654162,3498691,3412087,3101563,2982992,2845435,2579307,2382736,2113231,2006999,1936938,1763420,1698353,1696461,1532753,
资产总计(万元),14147452,14915228,15293062,14894056,13172150,12015892,12315107,11461331,11061107,10643660,11370134,11109187,10919593,9725973,10777213,9950580,10102424,7716220,7699009,7109378,6688157,6334110,4558879,4217046,4134857,3890214,
