报告日期,2007-09-30,2007-06-30,2007-03-31,2006-12-31,
货币资金(万元),23290,16045,11753,18029,
结算备付金(万元),--,0,--,0,
拆出资金(万元),--,0,--,0,
交易性金融资产(万元),--,0,0,0,
衍生金融资产(万元),--,0,--,0,
应收票据(万元),22063,23491,40058,16498,
应收账款(万元),8476,15219,14689,9111,
预付款项(万元),13193,17010,17380,19583,
应收保费(万元),--,0,--,0,
应收分保账款(万元),--,0,--,0,
应收分保合同准备金(万元),--,0,--,0,
应收利息(万元),--,0,0,0,
应收股利(万元),--,0,0,0,
其他应收款(万元),519,331,369,268,
应收出口退税(万元), --,0,--,0,
应收补贴款(万元),--,0,--,0,
应收保证金(万元),--,0,--,0,
内部应收款(万元),--,0,--,0,
买入返售金融资产(万元),--,0,--,0,
存货(万元),98180,99820,99069,97550,
待摊费用(万元),--,0,--,0,
待处理流动资产损益(万元),--,0,--,0,
一年内到期的非流动资产(万元),--,0,0,0,
其他流动资产(万元),--,0,0,0,
流动资产合计(万元),165720,171915,183318,161039,
发放贷款及垫款(万元),--,0,--,0,
可供出售金融资产(万元),--,0,0,0,
持有至到期投资(万元),--,0,0,0,
长期应收款(万元),--,0,0,0,
长期股权投资(万元),--,30,50,48,
其他长期投资(万元),--,0,--,0,
投资性房地产(万元),--,0,0,0,
固定资产原值(万元),--,336804,--,0,
累计折旧(万元),--,102438,--,0,
固定资产净值(万元),--,234367,--,0,
固定资产减值准备(万元),--,--,--,0,
固定资产(万元),230306,234367,237863,244199,
在建工程(万元),3809,3724,4026,5316,
工程物资(万元),72,90,48,48,
固定资产清理(万元),--,0,0,0,
生产性生物资产(万元),--,0,0,0,
公益性生物资产(万元),--,0,--,0,
油气资产(万元),--,0,0,0,
无形资产(万元),--,0,0,0,
开发支出(万元),--,0,0,0,
商誉(万元),--,0,0,0,
长期待摊费用(万元),--,0,0,0,
股权分置流通权(万元),--,0,--,0,
递延所得税资产(万元),1511,1500,1134,1466,
其他非流动资产(万元),--,0,0,0,
非流动资产合计(万元),235698,239711,243122,251077,
资产总计(万元),401418,411626,426440,412116,
短期借款(万元),59000,57000,80000,88500,
向中央银行借款(万元),--,0,--,0,
吸收存款及同业存放(万元),--,0,--,0,
拆入资金(万元),--,0,--,0,
交易性金融负债(万元),--,0,0,0,
衍生金融负债(万元),--,0,--,0,
应付票据(万元),16000,16000,13800,8000,
应付账款(万元),31316,31155,40361,40606,
预收账款(万元),3786,1940,2502,4290,
卖出回购金融资产款(万元),--,0,--,0,
应付手续费及佣金(万元),--,0,--,0,
应付职工薪酬(万元),10350,10550,8284,10165,
应交税费(万元),7280,5879,7293,4959,
应付利息(万元),834,306,1814,60,
应付股利(万元),--,0,0,0,
其他应交款(万元),--,0,--,0,
应付保证金(万元),--,0,--,0,
内部应付款(万元),--,0,--,0,
其他应付款(万元),2181,4824,5595,2385,
预提费用(万元),--,0,--,0,
预计流动负债(万元),--,0,--,0,
应付分保账款(万元),--,0,--,0,
保险合同准备金(万元),--,0,--,0,
代理买卖证券款(万元),--,0,--,0,
代理承销证券款(万元),--,0,--,0,
国际票证结算(万元),--,0,--,0,
国内票证结算(万元),--,0,--,0,
递延收益(万元),--,0,--,0,
应付短期债券(万元),--,0,--,0,
一年内到期的非流动负债(万元),7252,22500,54264,52514,
其他流动负债(万元),--,0,0,0,
流动负债合计(万元),138000,150153,213913,211479,
长期借款(万元),48918,53314,29068,32574,
应付债券(万元),--,0,0,0,
长期应付款(万元),--,0,0,0,
专项应付款(万元),35,35,35,35,
预计非流动负债(万元),--,0,0,0,
长期递延收益(万元),--,--,--,0,
递延所得税负债(万元),--,0,0,0,
其他非流动负债(万元),--,0,0,0,
非流动负债合计(万元),48953,53349,29103,32609,
负债合计(万元),186953,203502,243016,244088,
实收资本(或股本)(万元),43100,43100,43100,43100,
资本公积(万元),58726,58686,58686,58666,
减:库存股(万元),--,0,0,0,
专项储备(万元),--,--,--,0,
盈余公积(万元),23785,23785,23701,23801,
一般风险准备(万元),--,0,--,0,
未确定的投资损失(万元),--,0,--,0,
未分配利润(万元),88800,82501,57886,42370,
拟分配现金股利(万元),--,0,--,0,
外币报表折算差额(万元),--,0,--,0,
归属于母公司股东权益合计(万元),214411,208072,183373,167937,
少数股东权益(万元),54,53,51,90,
所有者权益(或股东权益)合计(万元),214465,208124,183424,168027,
负债和所有者权益(或股东权益)总计(万元),401418,411626,426440,412116,		
  
