报告日期,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,
货币资金(万元),41995,46058,46969,43484,43804,53584,56438,38525,61048,59650,74950,52689,55428,55201,75558,63961,78219,71560,88646,87670,106065,104032,83409,91002,92020,95333,75936,117567,103089,87291,70479,70644,59793,74402,64095,54090,44834,44951,63227,39287,30177,29303,41651,40020,30625,40868,53437,50127,48422,50133,36863,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,0,0,0,--,--,0,0,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,0,0,0,--,--,0,0,
交易性金融资产(万元),70,290,144,1,--,545,393,187,188,--,--,--,3,--,--,47,748,391,261,--,--,--,2112,1527,699,16,--,93,0,568,464,1196,1610,1459,230,--,0,74,159,0,0,40,0,0,499,4291,2303,1234,1475,26,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,0,0,0,--,--,--,--,
应收票据(万元),5,15,20,69,--,--,--,--,99,143,134,118,339,335,148,121,241,491,200,343,279,230,247,211,528,444,336,293,420,555,298,491,482,404,430,208,481,532,585,230,481,371,582,413,262,243,408,1101,679,314,6866,
应收账款(万元),29510,22665,28060,35891,20840,16605,27005,35582,24258,22666,27309,35236,21251,16463,21961,39047,22684,24112,24734,30314,19380,19785,25382,34581,24656,20821,30213,36531,29938,25222,41855,53984,54459,41813,45874,52199,48161,40350,38983,37875,30758,27519,39716,69978,74809,58210,54458,65793,75956,66425,86443,
预付款项(万元),623,227,267,2170,1268,1306,1094,2632,2478,706,696,1223,1200,964,1686,640,1020,1030,1276,1685,581,558,429,497,503,272,335,512,592,786,692,936,678,673,866,850,731,520,438,455,176,219,891,358,2227,2844,2535,5153,11815,6927,6636,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,0,0,0,--,--,0,0,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,0,0,0,--,--,0,0,
