报告日期,2007-12-31,2006-12-31,2005-12-31,
货币资金(万元),9009,4851,3288,
结算备付金(万元),0,0,--,
拆出资金(万元),0,0,--,
交易性金融资产(万元),0,0,0,
衍生金融资产(万元),0,0,--,
应收票据(万元),1680,768,398,
应收账款(万元),10345,5655,8837,
预付款项(万元),8386,4223,1036,
应收保费(万元),0,0,--,
应收分保账款(万元),0,0,--,
应收分保合同准备金(万元),0,0,--,
应收利息(万元),0,0,0,
应收股利(万元),0,0,--,
其他应收款(万元),247,89,207,
应收出口退税(万元), 0,0,--,
应收补贴款(万元),0,0,--,
应收保证金(万元),0,0,--,
内部应收款(万元),0,0,--,
买入返售金融资产(万元),0,0,--,
存货(万元),12392,12619,12552,
待摊费用(万元),0,0,--,
待处理流动资产损益(万元),0,0,--,
一年内到期的非流动资产(万元),0,0,0,
其他流动资产(万元),0,0,0,
流动资产合计(万元),42059,28205,26317,
发放贷款及垫款(万元),0,0,--,
可供出售金融资产(万元),0,0,--,
持有至到期投资(万元),0,0,--,
长期应收款(万元),0,0,--,
长期股权投资(万元),0,0,--,
其他长期投资(万元),0,0,--,
投资性房地产(万元),0,0,0,
固定资产原值(万元),50957,47514,--,
累计折旧(万元),26411,20592,--,
固定资产净值(万元),24546,26922,--,
固定资产减值准备(万元),0,0,0,
固定资产(万元),24546,26922,28871,
在建工程(万元),3911,210,1274,
工程物资(万元),23,244,377,
固定资产清理(万元),0,0,0,
生产性生物资产(万元),0,0,0,
公益性生物资产(万元),0,0,--,
油气资产(万元),0,0,0,
无形资产(万元),1317,1353,1387,
开发支出(万元),0,0,0,
商誉(万元),0,0,0,
长期待摊费用(万元),35,44,0,
股权分置流通权(万元),0,0,--,
递延所得税资产(万元),486,513,929,
其他非流动资产(万元),0,0,0,
非流动资产合计(万元),30317,29284,32838,
资产总计(万元),72376,57489,59155,
短期借款(万元),20224,11326,12086,
向中央银行借款(万元),0,0,--,
吸收存款及同业存放(万元),0,0,--,
拆入资金(万元),0,0,--,
交易性金融负债(万元),0,0,0,
衍生金融负债(万元),0,0,--,
应付票据(万元),0,0,0,
应付账款(万元),2268,1722,3485,
预收账款(万元),754,524,18,
卖出回购金融资产款(万元),0,0,--,
应付手续费及佣金(万元),0,0,--,
应付职工薪酬(万元),443,711,762,
应交税费(万元),674,288,224,
应付利息(万元),51,41,46,
应付股利(万元),0,0,21,
其他应交款(万元),0,0,--,
应付保证金(万元),0,0,--,
内部应付款(万元),0,0,--,
其他应付款(万元),703,458,919,
预提费用(万元),0,0,--,
预计流动负债(万元),0,0,--,
应付分保账款(万元),0,0,--,
保险合同准备金(万元),0,0,--,
代理买卖证券款(万元),0,0,--,
代理承销证券款(万元),0,0,--,
国际票证结算(万元),0,0,--,
国内票证结算(万元),0,0,--,
递延收益(万元),0,0,--,
应付短期债券(万元),0,0,--,
一年内到期的非流动负债(万元),4261,3767,7635,
其他流动负债(万元),0,0,0,
流动负债合计(万元),29378,18837,25195,
长期借款(万元),3150,6937,9467,
应付债券(万元),0,0,--,
长期应付款(万元),0,0,--,
专项应付款(万元),0,0,--,
预计非流动负债(万元),0,0,--,
长期递延收益(万元),--,--,--,
递延所得税负债(万元),0,0,--,
其他非流动负债(万元),3493,2346,1900,
非流动负债合计(万元),6643,9283,11367,
负债合计(万元),36021,28119,36562,
实收资本(或股本)(万元),7708,7708,7108,
资本公积(万元),6649,6649,5378,
减:库存股(万元),0,0,0,
专项储备(万元),--,--,--,
盈余公积(万元),2075,1709,1709,
一般风险准备(万元),0,0,--,
未确定的投资损失(万元),0,0,--,
未分配利润(万元),19518,12913,8104,
拟分配现金股利(万元),0,0,--,
外币报表折算差额(万元),0,0,--,
归属于母公司股东权益合计(万元),35951,28980,22299,
少数股东权益(万元),405,390,294,
所有者权益(或股东权益)合计(万元),36355,29370,22593,
负债和所有者权益(或股东权益)总计(万元),72376,57489,59155,		
  
