报告日期,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,
货币资金(万元),52495,69668,112454,143239,69179,73026,101884,87042,73323,148338,108918,72165,164193,141501,303661,122932,68130,92673,82585,89468,
结算备付金(万元),--,--,--,--,--,0,--,0,--,0,0,--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,0,--,0,--,0,0,--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,0,--,0,--,0,0,--,--,--,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,0,--,0,--,0,0,--,--,--,--,--,--,--,--,--,
应收票据(万元),232067,196759,37243,43808,140300,112736,94465,86834,127804,71035,158643,226702,120926,94960,123080,94163,64139,46958,49321,24900,
应收账款(万元),14554,11377,19306,10518,21611,25720,7261,5533,6202,8839,6950,12593,104516,35758,46233,59977,59491,36717,26449,20202,
预付款项(万元),23472,20266,52000,58363,51859,48175,51045,41432,24379,30577,24175,12952,30717,41504,52276,51315,41730,34491,31889,34129,
应收保费(万元),--,--,--,--,--,0,--,0,--,0,0,--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,0,--,0,--,0,0,--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,0,--,0,--,0,0,--,--,--,--,--,--,--,--,--,
应收利息(万元),--,--,--,--,--,0,--,0,--,0,0,--,--,--,--,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,0,--,0,--,0,0,--,--,--,--,--,--,--,--,--,
其他应收款(万元),602,611,831,1065,1230,798,777,1189,3358,2466,1395,1022,1503,1365,1001,866,1754,1279,1448,1859,
应收出口退税(万元), --,--,--,--,--,0,--,0,--,0,0,--,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,0,--,0,--,0,0,--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,0,--,0,--,0,0,--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,0,--,0,--,0,0,--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,0,--,0,--,0,0,--,--,--,--,--,--,--,--,--,
存货(万元),237714,305398,333756,315742,293798,332721,254351,235674,222077,184949,232193,277905,480961,511058,411672,343063,335062,306474,381087,296875,
待摊费用(万元),--,--,--,--,--,0,--,0,--,0,0,--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,0,--,0,--,0,0,--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,0,--,0,--,0,0,--,--,--,--,--,--,--,--,--,
其他流动资产(万元),5166,--,7422,--,3242,0,1909,0,--,0,0,--,--,--,--,--,--,--,298,--,
流动资产合计(万元),566069,604079,563012,572735,581221,593175,511692,457704,457143,446204,532276,603339,902817,826145,937923,672316,570305,518592,573077,467433,
发放贷款及垫款(万元),--,--,--,--,--,0,--,0,--,0,0,--,--,--,--,--,--,--,--,--,
可供出售金融资产(万元),--,--,--,--,--,0,--,0,--,0,0,0,0,--,--,--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,0,--,0,--,0,0,--,--,--,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,0,--,0,--,0,0,--,--,--,--,--,--,--,--,--,
