报告日期,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,
商誉(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,--,--,0,--,--,--,--,--,--,
长期待摊费用(万元),2212,2412,2516,2629,1965,2052,2126,2192,2269,2452,2514,2514,--,0,--,0,6,13,103,194,487,779,1072,1364,1657,1949,2242,2458,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,--,--,0,--,--,--,--,--,--,
递延所得税资产(万元),3034,3188,4419,5250,5903,11320,11343,11810,11226,10317,10422,11859,13203,14221,13704,13646,6763,9171,11437,11560,2116,2173,2173,2173,4025,4025,4025,4025,
其他非流动资产(万元),9161,7736,10033,7779,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,--,--,0,--,--,--,--,--,--,
非流动资产合计(万元),1349463,1354870,1404234,1409295,1344170,1323769,1276450,1285111,1268468,1327697,1379056,1377569,1382720,1384178,1469503,1511126,1489816,1538511,1424432,1380039,1427537,1510267,1652041,1859483,1202177,1170945,1116067,1176618,
资产总计(万元),1556123,1575409,1588762,1620881,1563838,1511389,1477452,1479147,1467201,1512587,1530213,1516570,1527554,1515269,1591678,1643063,1654646,1693699,1592454,1563776,1634312,1665538,1814460,2009991,1384404,1306277,1280745,1302332,
短期借款(万元),80500,79500,121500,137700,211500,215000,122000,124500,103000,88000,84000,84000,102500,102500,61500,71500,85000,121997,131997,129997,116997,110000,110000,100000,80000,33000,13000,23000,
向中央银行借款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,--,--,0,--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,--,--,0,--,--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,--,--,0,--,--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,--,0,--,--,--,--,--,--,
衍生金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,--,--,0,--,--,--,--,--,--,
应付票据(万元),30000,30000,--,--,25000,20000,10000,10000,--,--,--,--,--,13000,23000,10000,20000,15000,0,20000,30000,10000,--,15000,--,--,--,--,
应付账款(万元),58562,70237,60213,76880,11178,21792,38958,33394,26143,51723,18357,36350,27360,40744,24257,37405,35732,30072,18332,26580,12741,25299,30316,37590,55080,63654,62129,41550,
预收账款(万元),67,71,106,124,96,88,33,29,33,38,24,27,25,7,12,27,--,0,0,1,--,0,--,--,--,--,--,--,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,--,--,0,--,--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,--,--,0,--,--,--,--,--,--,
应付职工薪酬(万元),16487,15142,12264,14106,13739,12265,10863,11378,11214,10914,10047,12068,13078,12580,12432,15171,12306,11833,11759,12296,15097,14490,12295,13930,16515,16597,14144,14299,
应交税费(万元),16503,12182,6106,9040,3923,-2968,10712,7711,7383,4858,7955,8790,7483,3864,3070,9989,12948,5096,5056,3664,1558,4336,13138,10068,15156,13594,14143,17625,
应付利息(万元),357,590,351,795,447,446,441,768,312,368,425,713,335,390,434,754,386,406,456,1308,595,525,584,1012,--,--,--,709,
应付股利(万元),187,77,77,77,77,77,77,77,77,218,1021,1021,1021,1993,1993,1993,--,0,0,--,--,0,--,--,--,--,--,--,
其他应交款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,--,--,0,--,--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,--,--,0,--,--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,--,--,0,--,--,--,--,--,--,
其他应付款(万元),14925,10316,9264,8879,51249,8235,7760,6272,8517,9668,5777,7267,23897,22235,21231,18854,34921,40488,42582,44575,48398,51240,23494,19441,20819,15971,10412,4395,
预提费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,--,--,0,--,--,--,--,--,--,
预计流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,--,--,0,--,--,--,--,--,--,
应付分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,--,--,0,--,--,--,--,--,--,
保险合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,--,--,0,--,--,--,--,--,--,
代理买卖证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,--,--,0,--,--,--,--,--,--,
代理承销证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,--,--,0,--,--,--,--,--,--,
国际票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,--,--,0,--,--,--,--,--,--,
国内票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,--,--,0,--,--,--,--,--,--,
递延收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,--,--,0,--,--,--,--,--,--,
应付短期债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,--,--,0,--,--,--,--,--,--,
一年内到期的非流动负债(万元),2500,56000,68500,72500,34000,46600,89640,114930,29230,37500,43000,48000,13000,13000,32000,36000,13000,23000,38000,43000,30000,30000,45500,45500,13524,19032,29044,29000,
其他流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,1477,4535,4535,--,--,--,--,--,--,
流动负债合计(万元),220087,274116,278381,320099,351208,321535,290484,309059,185910,203287,170606,198236,188699,210313,179930,201692,214293,247892,248182,282898,259920,250425,235327,242541,201094,161849,142871,130579,
长期借款(万元),206250,206250,207000,207000,199500,191500,191500,191500,300430,300430,300430,300430,344430,360330,360330,361330,409525,414525,456525,457525,488525,433025,408025,417025,460449,443747,401500,370175,
应付债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,--,--,0,--,--,--,--,--,--,
长期应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,--,--,0,--,--,--,--,--,--,
专项应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,--,38,38,--,--,--,--,1928,1920,
预计非流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,--,--,0,--,--,--,--,--,--,
长期递延收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,--,--,--,--,--,--,--,
递延所得税负债(万元),44066,48560,61605,62184,43695,48689,51472,50890,49868,59320,68552,61199,59692,53143,77326,85410,71500,80312,51302,33588,45578,65294,100585,151775,--,--,--,24816,
其他非流动负债(万元),3273,3378,3162,3261,3087,2999,3094,3189,3284,3379,3475,3570,4003,4125,3773,3876,3979,4082,3917,4014,4158,4238,4334,4100,1949,2536,--,--,
非流动负债合计(万元),253590,258188,271767,272446,246283,243188,246066,245579,353582,363129,372457,365199,408126,417598,441429,450616,485004,498920,511744,495127,538298,502594,512944,572900,462398,446283,403428,396911,
负债合计(万元),473677,532304,550148,592545,597491,564723,536550,554637,539492,566415,543063,563435,596824,627911,621359,652308,699297,746811,759926,778025,798219,753019,748271,815441,663492,608132,546300,527490,
实收资本(或股本)(万元),201000,201000,201000,201000,201000,201000,201000,201000,201000,201000,201000,201000,201000,201000,201000,201000,201000,201000,201000,201000,201000,201000,201000,201000,201000,201000,201000,201000,
资本公积(万元),324298,337779,376719,378458,322103,337084,345434,343687,340160,368514,396212,374152,369169,349523,422071,446321,404130,430568,343537,290394,325901,385049,490922,644492,192861,192861,192861,243245,
减:库存股(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,--,--,0,--,--,--,--,--,--,
专项储备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,--,
盈余公积(万元),148351,148351,148351,148351,140856,140856,140856,140856,138339,138339,138339,138339,133623,133623,133623,133623,129904,129904,129904,129904,127030,127030,127030,127030,121517,121517,121517,120029,
一般风险准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,--,--,0,--,--,--,--,--,--,
未确定的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,--,--,0,--,--,--,--,--,--,
未分配利润(万元),360953,311251,268485,257399,259856,225379,211320,197226,205735,195039,208549,198184,186074,163770,173713,169886,181573,149203,124371,125085,142662,155507,195379,171485,155999,135575,166553,158394,
拟分配现金股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,--,--,0,--,--,--,--,--,--,
外币报表折算差额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,--,--,0,--,--,--,--,--,--,
归属于母公司股东权益合计(万元),1034602,998380,994555,985207,923815,904319,898610,882768,885234,902892,944100,911675,889867,847917,930408,950831,916607,910675,798811,746383,796592,868586,1014331,1144007,671377,650953,681931,722668,
少数股东权益(万元),47845,44724,44060,43129,42532,42347,42292,41742,42475,43280,43050,41461,40862,39441,39911,39924,38741,36213,33717,39368,39501,43934,51858,50544,49535,47192,52514,52174,
所有者权益(或股东权益)合计(万元),1082446,1043104,1038614,1028336,966347,946666,940902,924510,927709,946172,987150,953136,930729,887358,970319,990755,955349,946887,832528,785751,836093,912520,1066189,1194551,720911,698145,734446,774842,
负债和所有者权益(或股东权益)总计(万元),1556123,1575409,1588762,1620881,1563838,1511389,1477452,1479147,1467201,1512587,1530213,1516570,1527554,1515269,1591678,1643063,1654646,1693699,1592454,1563776,1634312,1665538,1814460,2009991,1384404,1306277,1280745,1302332,		
  
