报告日期,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,
货币资金(万元),53,69,161,116,119,215,296,375,702,766,12389,26484,30387,30082,30147,29103,10585,10063,1667,94,420,586,5633,647,2407,499,2156,990,439,250,160,662,452,802,3010,812,1060,2478,217,1119,1402,1834,1315,2510,9515,117,871,1085,2321,6251,5958,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,--,--,--,0,--,--,--,0,--,0,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,--,--,--,0,--,--,--,0,--,0,
交易性金融资产(万元),--,--,--,--,--,1,1,23,998,1611,1550,473,--,0,0,0,0,--,--,--,--,--,--,--,--,--,--,--,2,2,1,2,561,588,--,--,0,--,0,0,0,--,--,--,0,--,--,--,0,59,50,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,--,--,--,0,--,--,--,0,--,0,
应收票据(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,--,--,--,0,--,--,--,0,--,0,
应收账款(万元),1604,2190,2202,2380,2389,2137,15395,1676,1839,2994,4356,1620,384,442,466,1559,4542,7347,9550,522,391,663,1231,1409,1271,2427,2954,846,851,583,1397,2988,3909,4036,6038,5902,7170,6591,5636,4005,5781,8301,7676,7833,7152,9997,10037,11851,10868,10424,12685,
预付款项(万元),49,3102,3095,224,252,244,244,994,850,2554,21,3017,30,6,86,38,36,98,1863,3322,4239,757,985,3226,3091,3011,140,12313,8605,8912,7565,9985,6143,7770,6949,6663,5920,6933,6358,10766,10435,8246,7878,7663,6870,6006,5682,7109,5648,8405,8020,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,--,--,--,0,--,--,--,0,--,0,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,--,--,--,0,--,--,--,0,--,0,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,--,--,--,0,--,--,--,0,--,0,
应收利息(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,--,--,--,0,--,--,--,0,--,0,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,--,--,--,0,--,--,--,0,--,0,
其他应收款(万元),422,--,419,178,206,5085,5117,5145,5108,4169,4174,78,140,690,762,2323,21252,6908,8904,5907,5259,7665,2576,2370,1786,832,871,1355,1665,2724,2699,2246,2405,2746,2778,7563,7361,9781,12147,4388,4173,4667,4878,6357,6324,20955,21814,6354,4931,9390,9744,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,--,--,--,0,--,--,--,0,--,0,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,--,--,--,0,--,--,--,0,--,0,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,--,--,--,0,--,--,--,0,--,0,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,--,--,--,0,--,--,--,0,--,0,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,--,--,--,0,--,--,--,0,--,0,
存货(万元),18605,15891,15892,16210,16219,15925,16135,18299,11456,10788,7494,8094,6044,5370,5323,5775,5833,12742,14998,22458,23052,23453,26477,25363,27425,30497,34080,35250,34122,28656,28951,23949,23692,21441,20501,20309,19331,19063,19525,6794,4658,4393,5664,7554,6353,5874,5594,6372,6601,16102,16054,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,--,--,--,0,--,--,--,0,--,0,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,--,--,--,0,--,--,--,0,--,0,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,500,500,500,500,500,200,200,200,200,--,0,--,--,--,0,--,0,
其他流动资产(万元),2713,2361,2360,2423,2426,2366,2393,2711,1571,1478,999,--,--,--,--,976,966,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,--,1,1,--,5,0,0,--,--,--,0,--,--,--,0,--,0,
流动资产合计(万元),38446,39105,39128,21531,21610,25973,39581,29223,22524,24361,30982,39766,36985,36591,36784,44602,48043,41986,41810,32302,33362,33125,36902,33015,35979,37266,40201,50754,45684,41126,40773,39832,37162,37384,39776,41750,41343,45345,44388,27273,26650,27642,27611,31917,36214,42948,44000,32770,30368,50631,52510,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,--,--,--,0,--,--,--,0,--,0,
可供出售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,--,0,--,--,--,0,--,0,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,--,--,--,0,--,--,--,0,--,0,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,500,500,500,500,--,0,--,--,--,0,--,0,
长期股权投资(万元),10060,10060,10060,27000,27000,27000,27000,27001,27002,27000,15000,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,513,513,513,513,716,716,716,716,8732,8123,1298,1298,
