报告日期,2018-09-30,2018-06-30,2017-12-31,2016-12-31,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,
货币资金(万元),10,8,3,9157,7,8,8,8,2,4,1510,1378,1554,13033,482,1453,2236,1169,1999,14,8,33,38332,43697,5,2,153,5,4,5,3494,3060,3517,9588,14846,14419,20987,16890,485,536,600,531,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,0,--,--,--,0,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,0,--,--,--,0,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,0,--,--,--,0,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,0,--,--,--,0,
应收票据(万元),--,--,--,--,--,--,--,--,--,--,20145,20145,12679,--,37800,37800,37000,36456,36076,35500,34705,34705,--,--,--,--,--,--,--,0,--,0,--,--,--,36,12,5,8,74,20,2,
应收账款(万元),--,--,--,2507,--,--,1059,1059,1059,1059,5306,5251,2464,1855,1647,1660,2670,1853,3,--,--,0,52,52,--,--,--,--,--,0,7042,7141,6839,7400,4818,7126,7043,7263,3717,3791,3422,2687,
预付款项(万元),11,11,2,2,6,6,6,6,--,1,13476,13373,25975,26263,5076,4007,3884,999,553,31,31,31,--,--,--,--,--,0,1400,1400,4748,4682,3348,3254,494,394,391,348,53,205,157,155,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,0,--,--,--,0,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,0,--,--,--,0,
