报告日期,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,
货币资金(万元),55235,50491,52768,72610,56924,36578,30877,65716,58907,42535,40557,45108,68771,51107,39014,48000,65744,47357,23370,26753,30452,28423,26642,31121,33768,22859,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,--,
应收票据(万元),13959,14115,12174,6471,4899,14589,4619,9939,8599,12038,6706,7799,7081,6065,1787,3380,2088,1854,2000,3694,5361,3710,1664,3265,1565,2471,
应收账款(万元),112181,79938,98700,96390,78404,62652,83070,77381,79267,58289,85861,75605,78220,56092,70644,61781,57411,50473,49030,46497,47842,38332,46262,44479,44505,38446,
预付款项(万元),14894,12725,13166,12808,12771,11009,12992,10853,11225,8379,7631,6428,7682,6855,8881,5254,6597,3901,5314,4791,4541,5709,10657,12707,12825,11944,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,--,
应收利息(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,--,
其他应收款(万元),3362,2184,4256,5345,4179,2250,5638,5366,6900,4222,5317,7211,6990,4207,6677,7127,7077,5773,8377,6406,6367,5613,4849,5883,5534,4562,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,--,
存货(万元),63676,64774,60320,56750,59227,60578,57948,52321,48654,52078,52171,56980,49869,56744,51838,48359,43222,44673,47823,40280,39048,39312,35476,35044,37030,32347,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,--,
其他流动资产(万元),244,4,10,17,23,22,49,12,24,18,20,47,17,9,--,0,--,--,--,--,--,--,--,--,--,--,
流动资产合计(万元),263551,224231,241394,250391,216428,187678,195192,221588,213575,177558,198264,199177,218631,181078,178841,173901,182138,154031,135914,128421,133610,121099,125549,132499,135226,112628,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,--,
可供出售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,--,--,--,--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,--,
长期应收款(万元),950,950,1000,1300,1680,1781,1681,1731,1831,2081,1081,1100,1100,1100,--,0,--,--,--,--,--,--,--,--,--,--,
长期股权投资(万元),2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2350,2000,2000,2000,2000,4000,5456,4000,
