报告日期,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,
货币资金(万元),21733,11952,13398,51871,35461,24768,28765,78160,59400,53786,53400,35465,31608,27698,50971,49817,47672,76378,47455,30537,35009,28404,20167,19708,17232,14854,47886,13571,26487,15124,36997,20257,16402,33383,39139,33175,46635,65201,34385,35187,73787,29748,20809,37602,7609,7949,6377,11760,10668,12510,11290,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,0,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,0,
交易性金融资产(万元),--,--,--,15,--,--,--,--,127,127,157,--,183,21,174,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,0,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,0,
应收票据(万元),58671,27166,27762,21535,32900,41854,43070,48903,66210,49852,42084,31278,48900,39633,26568,25398,22429,37438,34583,54823,52945,48140,36300,46630,45822,37303,48026,32296,39696,54220,54841,37448,25145,27414,26173,26866,27088,38254,11888,18957,20332,4278,4744,7790,5193,10710,5967,6061,5126,2988,4252,
应收账款(万元),73941,64445,78122,82855,74313,76227,73013,87978,78562,84301,82616,91699,85411,84076,79133,82380,74875,76238,83798,84602,86194,89105,86781,96173,99917,110520,97159,122336,100786,94472,88827,100455,108535,102462,66114,86545,72171,67841,85464,68504,71603,17203,23842,26944,25856,21602,26375,25439,23336,16618,9929,
预付款项(万元),10507,16596,11486,18417,21396,10839,13030,58151,40240,65667,13128,46571,15115,24126,11629,11840,20565,18342,18193,23586,20436,33414,20776,30468,31006,31691,17942,9387,10741,11270,11888,17122,8148,11581,38869,2664,1315,3902,6092,2669,4767,1577,7012,1449,1244,1029,364,226,379,260,5396,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,0,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,0,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,0,
应收利息(万元),1464,1179,780,--,63,66,14,--,582,753,631,938,589,--,523,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,0,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,3414,3414,--,--,--,0,
其他应收款(万元),9883,--,1853,5367,2015,2149,2011,3039,3937,3405,1221,11816,7499,14334,14386,5060,4881,7768,10655,10840,10711,16208,6609,4905,4217,3457,2927,5161,10798,3006,5692,1944,2085,2593,2417,3799,4984,3657,2890,11805,5306,2936,3693,2850,2292,689,2106,788,717,2452,643,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,0,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,0,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,0,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,0,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,0,
存货(万元),78452,95044,102217,77162,74179,77347,58618,50792,65290,58716,61224,68333,83819,81945,71288,82824,82263,101104,94216,101244,102581,97218,78050,90350,101140,100295,101838,132387,150633,147587,113419,97549,108891,107632,88396,90758,103366,103523,72359,65216,67256,31286,33565,29018,24056,24051,18680,21324,17077,15108,13673,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,0,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,0,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,10,0,22,0,--,--,--,--,--,--,--,--,--,0,
