报告日期,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,
货币资金(万元),133180,273246,177797,157084,109641,123062,193932,185306,256235,403726,408753,311688,
结算备付金(万元),0,0,--,--,--,0,0,--,0,0,--,0,
拆出资金(万元),0,0,--,--,--,0,0,--,0,0,--,0,
交易性金融资产(万元),0,0,--,--,--,0,0,0,0,0,0,--,
衍生金融资产(万元),0,0,--,--,--,0,0,--,0,--,--,--,
应收票据(万元),481433,332091,243607,352211,423938,435501,572823,544693,431496,356841,316914,365503,
应收账款(万元),4686,3945,3585,3905,31991,49239,6174,40372,33640,12284,27881,11496,
预付款项(万元),86116,80917,79671,85193,117126,126887,79321,137726,63084,55677,58718,46079,
应收保费(万元),0,0,--,--,--,0,0,--,0,0,--,0,
应收分保账款(万元),0,0,--,--,--,0,0,--,0,0,--,0,
应收分保合同准备金(万元),0,0,--,--,--,0,0,--,0,0,--,0,
应收利息(万元),0,0,--,--,--,0,0,0,0,0,0,--,
应收股利(万元),0,0,--,--,--,0,0,0,0,0,0,--,
其他应收款(万元),1254,1639,1311,2888,1421,2195,3164,1329,1175,1423,1625,1902,
应收出口退税(万元), 0,0,--,--,--,0,0,--,0,0,--,0,
应收补贴款(万元),0,0,--,--,--,0,0,--,0,0,--,0,
应收保证金(万元),0,0,--,--,--,0,0,--,0,--,--,--,
内部应收款(万元),0,0,--,--,--,0,0,--,0,--,--,--,
买入返售金融资产(万元),0,0,--,--,--,0,0,--,0,0,--,0,
存货(万元),611024,727601,722262,789725,914335,725703,533597,483588,368508,391074,358254,388115,
待摊费用(万元),0,0,--,--,--,0,0,--,0,0,--,0,
待处理流动资产损益(万元),0,0,--,--,--,0,0,--,0,--,--,--,
一年内到期的非流动资产(万元),0,0,--,--,--,0,0,0,0,0,0,--,
其他流动资产(万元),0,0,--,--,--,0,0,0,0,0,0,0,
流动资产合计(万元),1317691,1419440,1228233,1391007,1598452,1462586,1389011,1393014,1154138,1221025,1172145,1124784,
发放贷款及垫款(万元),0,0,--,--,--,0,0,--,0,0,--,0,
可供出售金融资产(万元),0,0,0,0,0,0,0,0,0,0,0,--,
持有至到期投资(万元),0,0,--,--,--,0,0,0,0,0,0,--,
长期应收款(万元),0,0,--,--,--,0,0,0,0,0,0,--,
长期股权投资(万元),21348,21348,21848,21848,21896,21900,21900,21900,35764,34253,34253,34253,
其他长期投资(万元),0,0,--,--,--,0,0,--,0,--,--,--,
投资性房地产(万元),0,0,--,--,--,0,0,0,0,0,0,--,
固定资产原值(万元),0,1863891,--,1888113,--,1879865,--,1839097,--,1806128,--,1786850,
累计折旧(万元),0,978698,--,953202,--,890444,--,844619,--,830813,--,767082,
固定资产净值(万元),0,885193,--,934911,--,989421,--,994479,--,975315,--,1019767,
固定资产减值准备(万元),0,13917,--,15205,--,15251,--,15251,--,16672,--,16672,
固定资产(万元),850168,871276,898594,919706,936747,974170,978890,979228,928049,958643,975904,1003095,
在建工程(万元),573241,472895,401606,327990,234587,180239,157191,154041,230980,216873,218511,204047,
工程物资(万元),0,0,--,--,--,0,0,0,0,0,0,--,
固定资产清理(万元),129,-54,-60,--,354,0,13737,0,9,255,372,389,
生产性生物资产(万元),0,0,--,--,--,0,0,0,0,0,0,--,
公益性生物资产(万元),0,0,--,--,--,0,0,--,0,--,--,--,
油气资产(万元),0,0,--,--,--,0,0,0,0,0,0,--,
无形资产(万元),0,0,--,--,--,0,0,0,0,0,0,--,
开发支出(万元),0,0,--,--,--,0,0,0,0,0,0,--,
商誉(万元),0,0,--,--,--,0,0,0,0,0,0,--,
长期待摊费用(万元),0,0,--,--,--,0,0,0,0,0,0,--,
股权分置流通权(万元),0,0,--,--,--,0,0,--,0,--,--,--,
递延所得税资产(万元),9990,14864,15035,15035,14161,14161,14156,14161,27247,27247,27247,27247,
其他非流动资产(万元),0,0,--,--,--,0,0,0,0,0,0,--,
非流动资产合计(万元),1454876,1380330,1337022,1284579,1207744,1190470,1185875,1169330,1222049,1237272,1256288,1269031,
资产总计(万元),2772567,2799769,2565256,2675586,2806197,2653056,2574886,2562344,2376187,2458296,2428432,2393815,
短期借款(万元),230000,200000,180000,140000,150000,65000,55000,35000,25000,30000,30000,30000,
向中央银行借款(万元),0,0,--,--,--,0,0,--,0,0,--,0,
吸收存款及同业存放(万元),0,0,--,--,--,0,0,--,0,0,--,0,
拆入资金(万元),0,0,--,--,--,0,0,--,0,0,--,0,
交易性金融负债(万元),0,0,0,0,0,0,0,0,0,0,0,--,
衍生金融负债(万元),0,0,--,--,--,0,0,--,0,--,--,--,
应付票据(万元),369291,291537,311252,327152,274751,179488,271111,270037,207972,254676,254271,237825,
应付账款(万元),411541,374277,340510,394753,493576,398212,198271,269819,206303,249833,184426,203132,
预收账款(万元),284719,452445,210967,259037,238388,339930,380153,335023,263949,270261,282584,299613,
卖出回购金融资产款(万元),0,0,--,--,--,0,0,--,0,0,--,0,
应付手续费及佣金(万元),0,0,--,--,--,0,0,--,0,0,--,0,
应付职工薪酬(万元),22997,22884,10421,22307,44119,43086,44960,43503,57685,56856,55868,47195,
应交税费(万元),-40457,-24653,-29449,-20560,-18756,-17698,1851,-16504,1209,-4551,5037,-463,
应付利息(万元),5884,3727,--,--,1739,0,2692,2692,0,0,0,1346,
应付股利(万元),0,0,--,--,2388,42247,0,0,0,0,0,--,
其他应交款(万元),0,0,--,--,--,0,0,--,0,0,--,0,
应付保证金(万元),0,0,--,--,--,0,0,--,0,--,--,--,
内部应付款(万元),0,0,--,--,--,0,0,--,0,--,--,--,
其他应付款(万元),10218,16581,24900,25345,28220,37767,37691,29541,21632,26279,37811,18827,
预提费用(万元),0,0,--,--,--,0,0,--,0,0,--,0,
预计流动负债(万元),0,0,--,--,--,0,0,--,0,0,--,0,
应付分保账款(万元),0,0,--,--,--,0,0,--,0,0,--,0,
保险合同准备金(万元),0,0,--,--,--,0,0,--,0,0,--,0,
代理买卖证券款(万元),0,0,--,--,--,0,0,--,0,0,--,0,
代理承销证券款(万元),0,0,--,--,--,0,0,--,0,0,--,0,
国际票证结算(万元),0,0,--,--,--,0,0,--,0,--,--,--,
国内票证结算(万元),0,0,--,--,--,0,0,--,0,--,--,--,
递延收益(万元),0,0,--,--,--,0,0,--,0,0,--,0,
应付短期债券(万元),0,0,--,--,--,0,0,--,0,0,--,0,
