报告日期,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,
货币资金(万元),720,620,823,1908,1860,1987,1757,3056,4816,4523,13263,12737,22002,17779,11983,25984,29613,27718,28105,29994,34039,22440,20013,17492,20245,19829,12707,7483,3396,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收票据(万元),22,--,62,--,--,15,167,1275,785,292,48,684,3232,4064,51,300,84,945,90,337,2232,1048,421,218,844,--,--,33,1151,
应收账款(万元),2599,--,3476,--,--,24670,28673,35562,38418,39948,47745,49174,52348,49446,55060,59819,41980,39005,39117,36325,28652,20782,23243,23393,16883,13531,10365,8802,5085,
预付款项(万元),135,142,153,13557,13787,13859,13691,12354,12364,11642,13645,12765,9155,6100,8183,4936,10511,8409,5409,6105,6317,5182,4647,4198,5489,1613,2357,3387,301,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收利息(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应收款(万元),--,--,95,10004,7719,8353,8515,7194,7408,6672,5073,5480,7034,6208,4914,4490,2667,1475,1558,1494,2251,692,887,513,635,1517,453,147,120,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
存货(万元),2856,2988,2875,4091,4327,4528,4314,5885,6456,6758,8579,7915,8149,11871,13244,9459,8598,7957,7772,5833,7212,7264,8041,6558,7526,10747,6486,3518,3474,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他流动资产(万元),67,110,110,67,67,67,97,67,141,141,--,--,--,63,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
流动资产合计(万元),6617,7127,7595,47531,48130,58249,57215,65393,70388,69976,88352,88754,101920,95531,93437,104987,93453,85510,82051,80087,80704,57408,57251,52372,51621,47238,32369,23370,13528,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
可供出售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,2755,2755,2825,2862,2862,2725,2706,2621,2621,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期股权投资(万元),5377,5377,5377,5184,5184,2394,2394,2459,2533,2533,2629,2611,2551,2552,4978,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资性房地产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,45,--,
固定资产原值(万元),--,20470,--,--,--,20899,--,21005,--,21003,--,21173,--,21088,--,19993,--,19696,--,18882,--,18800,17726,17636,18014,17389,11221,9381,5870,
累计折旧(万元),--,11659,--,--,--,10793,--,9956,--,9394,--,8860,--,8326,--,7777,--,7109,--,6473,--,5856,5541,5259,4674,3442,2618,2378,1988,
固定资产净值(万元),--,8811,--,--,--,10106,--,11048,--,11610,--,12313,--,12762,--,12216,--,12586,--,12409,--,12944,12185,12377,13340,13947,8602,7003,3882,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产(万元),8533,8811,9008,9572,9833,10106,10383,11048,11329,11610,12015,12313,12521,12762,11062,12216,12521,12586,12316,12409,12642,12944,12185,12377,13340,13947,8602,7003,3882,
在建工程(万元),--,--,--,1000,1000,1000,1000,1000,1000,1000,1000,1000,1002,1000,3033,3033,3033,2939,2938,2781,1672,1650,1609,1578,1478,416,4645,262,2586,
工程物资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
