报告日期,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,
货币资金(万元),19548,23484,24723,24389,18592,15754,8286,11228,11159,13227,18442,20538,13734,13284,11632,10462,12288,14242,18057,8872,14672,9978,8069,8091,9555,8139,10123,9304,12354,9492,10227,7894,7994,8449,5251,5970,8182,7066,7726,7617,15390,15898,12951,10742,9754,6628,7523,9354,12524,7858,14101,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,--,--,--,0,0,0,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,--,--,--,0,0,0,
交易性金融资产(万元),31,34,30,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,--,--,--,0,0,0,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,--,--,--,0,--,0,
应收票据(万元),12206,8364,9362,6029,9154,10652,20992,18827,17335,13102,10918,11511,17685,15921,10051,15252,14875,13195,18812,18882,15222,15375,10033,14789,18432,12688,11325,14032,24281,18141,13451,14002,12743,12375,4812,4980,15764,9744,11770,8247,6522,4657,6134,7348,9283,5428,4810,5513,8998,5904,3603,
应收账款(万元),117405,119863,114163,115655,116951,115775,112834,119788,131118,134989,124989,109180,102373,102623,99393,101321,104342,118941,109857,119664,130138,121899,113861,121553,119552,124674,107751,107920,102152,103223,94823,94664,98515,96700,85621,83987,81363,92786,77110,80843,77968,69161,70164,75841,79671,78845,71557,70343,77773,76311,70028,
预付款项(万元),2394,2547,2189,2735,4334,4804,3986,2521,1443,1250,1608,1385,3643,3471,3267,2729,3907,4431,4403,2936,3410,2883,3371,2775,1781,3592,3388,2738,1786,701,5272,3437,6377,2800,4785,2357,422,944,913,1410,1560,1164,536,6298,4738,6783,1265,2410,2129,1866,496,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,--,--,--,0,0,0,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,--,--,--,0,0,0,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,--,--,--,0,0,0,
应收利息(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,--,--,--,0,0,0,
