报告日期,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,
货币资金(万元),173393,461360,511021,271172,322871,385577,317612,265038,147892,184993,199073,182090,
结算备付金(万元),--,0,--,--,0,--,--,--,--,--,--,0,
拆出资金(万元),--,0,--,--,0,--,--,--,--,--,--,0,
交易性金融资产(万元),--,0,--,--,0,--,--,--,598,210,--,0,
衍生金融资产(万元),--,0,--,--,0,--,--,--,--,--,--,0,
应收票据(万元),211467,132929,1326,3674,64839,22982,13577,32954,2731,2224,3501,15626,
应收账款(万元),9429,5665,4767,10939,23968,28561,13099,8863,4254,11665,5767,10158,
预付款项(万元),116393,104305,101055,88835,35112,36642,77112,28469,4956,7513,23906,32984,
应收保费(万元),--,0,--,--,0,--,--,--,--,--,--,0,
应收分保账款(万元),--,0,--,--,0,--,--,--,--,--,--,0,
应收分保合同准备金(万元),--,0,--,--,0,--,--,--,--,--,--,0,
应收利息(万元),--,0,--,--,0,--,--,--,--,--,--,0,
应收股利(万元),--,0,--,--,0,--,--,--,--,--,--,0,
其他应收款(万元),29782,29463,30235,34613,26512,21871,1820,1847,1925,1529,1369,1148,
应收出口退税(万元), --,0,--,--,0,--,--,--,--,--,--,0,
应收补贴款(万元),--,0,--,--,0,--,--,--,--,--,--,0,
应收保证金(万元),--,0,--,--,0,--,--,--,--,--,--,0,
内部应收款(万元),--,0,--,--,0,--,--,--,--,--,--,0,
买入返售金融资产(万元),--,0,--,--,0,--,--,--,--,--,--,0,
存货(万元),445621,205716,253961,238075,327196,269895,148146,100897,137518,143370,102544,125291,
待摊费用(万元),--,0,--,--,0,--,--,--,--,--,--,0,
待处理流动资产损益(万元),--,0,--,--,0,--,--,--,--,--,--,0,
一年内到期的非流动资产(万元),--,0,--,--,0,--,--,--,--,--,--,0,
其他流动资产(万元),--,0,--,--,0,--,--,--,--,--,--,0,
流动资产合计(万元),986084,939439,902365,647309,800498,765529,571366,438068,299874,351504,336160,367298,
发放贷款及垫款(万元),--,0,--,--,0,--,--,--,--,--,--,0,
可供出售金融资产(万元),--,371,269,175,216,316,740,740,--,--,--,166,
持有至到期投资(万元),--,0,--,--,0,--,--,--,--,--,--,0,
长期应收款(万元),--,0,--,--,0,--,--,--,--,--,--,0,
长期股权投资(万元),23572,23117,24134,24133,24738,23764,24451,23647,19615,14788,15242,14383,
其他长期投资(万元),--,0,--,--,0,--,--,--,--,--,--,0,
投资性房地产(万元),--,0,16,16,0,--,--,--,--,--,--,0,
固定资产原值(万元),--,1051658,--,1028812,--,854214,--,835972,--,797764,--,743299,
累计折旧(万元),--,236787,--,210606,--,195377,--,188185,--,173504,--,154884,
固定资产净值(万元),--,814871,--,818206,--,658837,--,647787,--,624260,--,588415,
固定资产减值准备(万元),--,71,--,71,--,336,--,336,--,476,--,476,
固定资产(万元),1185731,814800,807588,818136,673054,658501,666400,647451,614895,623784,582964,587938,
在建工程(万元),359534,692543,490978,456770,356698,259250,123407,114338,140819,91402,94829,39097,
工程物资(万元),90959,82080,91555,155444,42312,34635,53205,20815,27039,31050,56139,43806,
固定资产清理(万元),--,0,67,--,24,--,1389,--,57,250,13,0,
生产性生物资产(万元),--,0,--,--,0,--,--,--,--,--,--,0,
公益性生物资产(万元),--,0,--,--,0,--,--,--,--,--,--,0,
油气资产(万元),--,0,--,--,0,--,--,--,--,--,--,0,
无形资产(万元),7086,7116,7154,6611,312,314,222,--,1,1,--,0,
开发支出(万元),644,574,574,459,534,391,346,181,181,--,--,0,
商誉(万元),9,9,9,9,476,476,476,--,--,--,--,0,
长期待摊费用(万元),13,15,--,--,0,--,--,--,--,--,--,0,
股权分置流通权(万元),--,0,--,--,0,--,--,--,--,--,--,0,
递延所得税资产(万元),4236,10144,9782,7086,1446,1174,991,838,448,449,701,1130,
其他非流动资产(万元),--,0,--,--,0,--,--,--,--,--,--,0,
非流动资产合计(万元),1671784,1630769,1432126,1468839,1099808,978820,871628,808009,803055,761726,749889,686521,
资产总计(万元),2657868,2570207,2334491,2116148,1900306,1744349,1442994,1246077,1102929,1113230,1086049,1053819,
短期借款(万元),878720,792320,640650,534420,488420,516920,439920,471920,425480,418340,401040,299840,
向中央银行借款(万元),--,0,--,--,0,--,--,--,--,--,--,0,
吸收存款及同业存放(万元),--,0,--,--,0,--,--,--,--,--,--,0,
拆入资金(万元),--,0,--,--,0,--,--,--,--,--,--,0,
交易性金融负债(万元),--,0,0,--,0,--,--,--,69760,69039,67597,67597,
衍生金融负债(万元),--,0,--,--,0,--,--,--,--,--,--,0,
应付票据(万元),182600,542796,598369,392833,192560,150846,81746,118746,39112,42623,49687,87296,
应付账款(万元),370001,227055,144205,131207,172083,99998,83110,75583,14488,34176,42407,66374,
预收账款(万元),284854,187883,134083,116296,81345,40230,33193,32544,10012,8030,19902,48080,
卖出回购金融资产款(万元),--,0,--,--,0,--,--,--,--,--,--,0,
应付手续费及佣金(万元),--,0,--,--,0,--,--,--,--,--,--,0,
应付职工薪酬(万元),671,868,2036,452,8033,1210,6952,7,9228,5058,8262,3347,
应交税费(万元),-32893,-25710,-12982,3108,-12498,340,-11243,5975,12323,10869,7137,1499,
应付利息(万元),5157,2954,737,14544,9465,2947,--,--,--,--,--,0,
应付股利(万元),722,3088,625,625,625,625,625,625,625,750,764,785,
其他应交款(万元),--,0,--,--,0,--,--,--,--,--,--,0,
应付保证金(万元),--,0,--,--,0,--,--,--,--,--,--,0,
内部应付款(万元),--,0,--,--,0,--,--,--,--,--,--,0,
其他应付款(万元),5872,3527,4355,2270,9445,6611,3509,3413,3109,1595,5029,1352,
预提费用(万元),--,0,--,--,0,--,--,--,--,--,--,0,
预计流动负债(万元),--,0,--,--,0,--,--,--,--,--,--,0,
应付分保账款(万元),--,0,--,--,0,--,--,--,--,--,--,0,
保险合同准备金(万元),--,0,--,--,0,--,--,--,--,--,--,0,
代理买卖证券款(万元),--,0,--,--,0,--,--,--,--,--,--,0,
代理承销证券款(万元),--,0,--,--,0,--,--,--,--,--,--,0,
国际票证结算(万元),--,0,--,--,0,--,--,--,--,--,--,0,
国内票证结算(万元),--,0,--,--,0,--,--,--,--,--,--,0,
递延收益(万元),--,0,--,--,0,--,--,--,--,--,--,0,
应付短期债券(万元),--,0,--,120000,120000,120000,--,--,--,--,--,0,
一年内到期的非流动负债(万元),98464,89990,114337,108630,105006,87464,--,--,--,23000,23000,23000,
其他流动负债(万元),-1566,-1591,-1620,-1645,122,-479,120431,431,303,--,--,0,
流动负债合计(万元),1792602,1823179,1624795,1422741,1174607,1026711,758244,709244,584440,613479,624825,599171,
长期借款(万元),288060,168260,113760,106760,117260,127760,190260,181260,174080,146880,124880,124880,
应付债券(万元),128786,128708,128605,128554,128505,128408,130000,--,--,--,--,0,
长期应付款(万元),82627,95947,113676,96258,92840,78240,--,--,--,--,--,0,
专项应付款(万元),--,0,--,--,0,--,--,--,--,--,--,0,
预计非流动负债(万元),--,0,--,--,0,--,--,--,--,--,--,0,
长期递延收益(万元),--,0,--,--,--,--,--,--,--,--,--,--,
递延所得税负债(万元),--,78,302,279,64,64,170,170,49,49,--,35,
其他非流动负债(万元),--,0,--,--,0,--,--,--,--,--,--,0,
非流动负债合计(万元),499474,392993,356343,331851,338670,334472,320430,181430,174129,146929,124880,124915,
负债合计(万元),2292076,2216173,1981138,1754592,1513277,1361182,1078674,890674,758569,760408,749705,724086,
实收资本(或股本)(万元),98067,98067,98067,98067,98067,98067,98067,98067,98067,98067,98067,98067,
