报告日期,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,
货币资金(万元),2,1,1,4,5,5,6,2,4,2,6,
结算备付金(万元),--,--,0,--,--,--,0,--,0,--,--,
拆出资金(万元),--,--,0,--,--,--,0,--,0,--,--,
交易性金融资产(万元),--,--,0,--,--,--,0,--,0,--,--,
衍生金融资产(万元),--,--,0,--,--,--,0,--,0,--,--,
应收票据(万元),--,--,0,--,--,--,0,--,0,--,--,
应收账款(万元),--,--,0,0,--,--,0,--,0,--,--,
预付款项(万元),--,--,0,0,--,--,0,--,0,--,--,
应收保费(万元),--,--,0,--,--,--,0,--,0,--,--,
应收分保账款(万元),--,--,0,--,--,--,0,--,0,--,--,
应收分保合同准备金(万元),--,--,0,--,--,--,0,--,0,--,--,
应收利息(万元),--,--,0,--,--,--,0,--,0,--,--,
应收股利(万元),--,--,0,--,--,--,0,--,0,--,--,
其他应收款(万元),5,4,5,1192,1191,1198,1198,1215,1214,1212,1245,
应收出口退税(万元), --,--,0,--,--,--,0,--,0,--,--,
应收补贴款(万元),--,--,0,--,--,--,0,--,0,--,--,
应收保证金(万元),--,--,0,--,--,--,0,--,0,--,--,
内部应收款(万元),--,--,0,--,--,--,0,--,0,--,--,
买入返售金融资产(万元),--,--,0,--,--,--,0,--,0,--,--,
存货(万元),--,--,0,--,--,--,0,--,0,--,--,
待摊费用(万元),--,--,0,--,--,--,0,--,0,--,--,
待处理流动资产损益(万元),--,--,0,--,--,--,0,--,0,--,--,
一年内到期的非流动资产(万元),--,--,0,--,--,--,0,--,0,--,--,
其他流动资产(万元),--,--,0,--,--,--,0,--,0,--,--,
流动资产合计(万元),7,6,6,1196,1196,1203,1204,1217,1218,1214,1250,
发放贷款及垫款(万元),--,--,0,--,--,--,0,--,0,--,--,
可供出售金融资产(万元),--,--,0,0,--,--,0,--,0,--,--,
持有至到期投资(万元),--,--,0,--,--,--,0,--,0,--,--,
