报告日期,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,
货币资金(万元),1349284,1500293,1761935,1607678,1662271,1576227,1457836,1363154,643100,545428,504559,482644,722229,792626,674812,424644,611687,681168,700242,528871,977248,794566,385428,568734,709861,523458,634438,729255,287320,383139,355578,312634,312505,426430,374229,264504,324346,318491,329047,386985,464719,466624,390877,355189,246057,260763,272551,289296,112759,116205,97172,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,--,--,0,--,--,0,--,0,--,0,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,--,--,0,--,--,0,--,0,--,0,
交易性金融资产(万元),515,40,--,18,36,39,--,--,57,44,--,140,--,33,--,1,134,--,--,--,--,187,--,--,--,--,--,--,--,--,--,--,--,287,293,280,256,282,284,244,244,219,221,294,294,--,0,--,0,--,0,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,--,--,0,--,--,0,--,0,--,0,
应收票据(万元),3699,9655,10806,12077,7978,12289,11187,25748,14615,14525,17914,12055,33724,97488,136957,27262,8564,9697,12972,2434,9517,8616,12190,1948,8426,1565,2621,15722,11687,900,4315,22551,17786,312,2850,1216,616,37,102,11,952,952,11,40,740,1200,10,2910,205,199,61,
应收账款(万元),176787,200158,148145,186658,203602,243950,217520,120560,155812,101467,215315,61243,132821,152166,244569,191731,274496,341065,273659,307015,195183,227420,299099,160054,200715,234084,266343,268936,274035,108602,70828,70363,83947,95741,54475,66657,55138,92513,69005,59564,87118,32330,81255,37075,18945,51277,39965,11600,13276,14082,19941,
预付款项(万元),107540,109892,86616,123791,100109,97190,91093,110869,111368,68451,58028,154210,74629,94739,70873,141018,73786,112807,89348,316269,151229,124312,100674,117731,134828,118636,82501,130168,123521,117670,62729,109794,64766,33966,33327,40499,31530,22321,37588,55285,40820,27948,25344,30996,21030,42545,41773,53560,73852,5368,43263,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,--,--,0,--,--,0,--,0,--,0,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,--,--,0,--,--,0,--,0,--,0,
