报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,
货币资金(万元),51711,98221,63278,49191,43101,52461,44859,64760,86862,32112,28321,37042,40706,37533,21388,15617,38207,23333,11019,42653,41685,89335,64813,87682,111958,40212,22275,11625,28906,18659,10415,19557,16965,21086,23120,7205,7315,13139,20715,24885,9512,8457,3654,12471,11129,4261,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,--,--,0,--,--,--,0,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,--,--,0,--,--,--,0,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,--,--,0,--,--,--,0,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,--,--,0,--,--,--,0,
应收票据(万元),36,22,196,140,--,--,0,1200,1200,--,--,1062,2000,1000,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,--,--,0,--,--,--,0,
应收账款(万元),7856,7664,5801,7110,4916,4386,5816,5912,4803,5026,5171,5907,4833,5323,7568,11457,8164,5536,6232,6786,6389,5301,6138,7199,4948,3876,5478,5665,4472,4020,4109,5871,7319,5011,4545,5517,4158,3006,3625,3505,3473,2369,3026,2613,2995,2709,
预付款项(万元),1134,259,218,231,202,75,128,175,301,44,71,87,79,37,85,97,101,55,185,76,100,46,148,105,207,141,137,108,124,296,129,87,126,1381,142,172,141,125,238,355,499,474,17855,380,139,125,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,--,--,0,--,--,--,0,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,--,--,0,--,--,--,0,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,--,--,0,--,--,--,0,
应收利息(万元),61,62,25,36,68,42,26,0,--,114,--,--,--,357,--,--,--,480,--,--,22,299,14,33,38,74,--,--,--,--,--,0,0,0,0,0,--,--,--,--,--,0,--,--,--,0,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,4800,4800,4800,--,--,--,--,--,--,4800,--,--,--,--,0,0,0,0,0,--,--,--,--,--,0,--,--,--,0,
其他应收款(万元),5914,5561,7109,6387,8874,6386,6706,6896,9358,5867,5010,4964,4901,6129,6140,6144,5880,6166,954,795,762,844,912,792,732,774,1821,1803,720,928,810,1564,1331,2437,1286,604,972,410,738,676,99,485,584,1634,303,319,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,--,--,0,--,--,--,0,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,--,--,0,--,--,--,0,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,--,--,0,--,--,--,0,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,--,--,0,--,--,--,0,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,--,--,0,--,--,--,0,
存货(万元),176,199,120,78,83,96,86,85,87,91,102,98,99,105,99,97,96,100,92,104,110,107,106,115,131,113,114,104,93,92,78,39,27,121,128,127,127,143,147,157,180,195,146,155,143,167,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,--,--,0,--,--,--,0,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,--,--,0,--,--,--,0,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,--,--,0,--,--,--,0,
其他流动资产(万元),10012,17004,4010,2316,1331,1442,--,2500,2500,23500,42000,34300,31300,39000,55000,51500,34500,54761,70062,65005,76008,37009,36000,23000,10000,36962,--,--,--,--,70,70,70,0,0,0,--,--,--,--,--,3000,48,80,68,0,
流动资产合计(万元),76900,128991,80757,65490,58574,64889,57621,81528,105110,66754,80675,83460,83918,89485,90281,84911,86947,95231,93345,120218,125078,132941,108130,118927,128014,82154,34625,19304,34314,23995,15612,27189,25838,30036,29221,13625,12713,16823,25463,29579,13763,14980,25313,17332,14777,7580,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,--,--,0,--,--,--,0,
可供出售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,--,--,0,--,--,--,0,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,--,--,0,--,--,--,0,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,--,--,0,--,--,--,0,
长期股权投资(万元),61837,63120,60698,62122,60787,60219,59151,58345,57471,58260,56794,55426,53954,53796,51650,50176,48965,47625,45153,43802,49384,48403,35977,34302,33202,32514,31619,36054,35396,35068,33702,32870,32175,31604,30183,28937,28255,27974,27478,26962,28018,27689,32848,32643,31304,29909,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,--,--,0,--,--,--,0,
投资性房地产(万元),197974,199132,174858,175770,160702,160605,139408,140423,141775,142559,142511,141906,125540,126717,92836,93848,90309,90422,91604,92502,93480,93969,89737,90563,76504,70748,70313,70187,64341,65672,72499,73169,73829,73899,52802,51487,49683,47951,38146,34842,33230,29149,27241,26677,26943,29345,
固定资产原值(万元),--,160433,--,149262,--,128748,--,120142,--,119972,--,118962,--,108139,--,81445,--,78153,--,77826,--,77472,--,75247,--,63287,--,61501,--,57582,--,49353,0,48917,0,30202,--,28987,--,30478,--,30642,--,34695,--,28937,
累计折旧(万元),--,47569,--,44150,--,41038,--,38472,--,35700,--,32986,--,30408,--,28438,--,26515,--,24741,--,22985,--,21264,--,19502,--,18253,--,16882,--,15545,0,14471,0,15021,--,14348,--,15464,--,15130,--,16702,--,14162,
固定资产净值(万元),--,112864,--,105112,--,87710,--,81670,--,84272,--,85976,--,77731,--,53007,--,51638,--,53085,--,54488,--,53983,--,43785,--,43247,--,40699,--,33808,0,34446,0,15182,--,14638,--,15013,--,15513,--,17993,--,14774,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,0,--,0,--,0,--,0,--,0,
固定资产(万元),111051,112864,114104,105111,96468,87710,80398,81670,95673,84272,84727,85976,76625,77731,57368,53007,50733,51638,52331,53085,53984,54488,53202,53983,48309,43785,42977,43247,39545,40699,33352,33808,34183,34446,15571,15182,14824,14638,15053,15013,15742,15513,17744,17993,18405,14774,
在建工程(万元),110689,87155,65140,42512,54567,60191,70858,60627,43427,36897,22197,13960,36248,30046,71330,60992,46999,37612,17801,11390,7200,2038,12285,9869,27983,34148,19473,10312,15122,12824,9840,7950,4649,4398,45942,42746,42012,33924,28930,17901,11938,12370,3544,2839,2336,136,
工程物资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,--,--,0,--,--,--,0,
固定资产清理(万元),1,--,-1,2,4,--,5,5,7,--,16,11,-1,--,4,2,1,--,2,1,15,--,1,1,0,--,-1,1,7,0,5,4,4,0,0,0,--,--,--,0,-2,0,--,--,--,0,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,--,--,0,--,--,--,0,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,--,--,0,--,--,--,0,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,--,--,0,--,--,--,0,
无形资产(万元),289757,291507,250593,230717,223848,224521,199865,156454,157594,145004,146001,139439,140442,134119,126856,122275,123289,124210,125132,109700,101190,91124,91085,91820,92530,92154,92883,93590,94145,88601,80497,81146,81790,82442,80867,43323,43883,41270,37778,38308,38675,25169,22636,23170,23664,24067,
开发支出(万元),--,143,337,208,103,133,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,--,--,0,--,--,--,0,
商誉(万元),1113,1113,1113,1113,1113,1113,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,--,--,0,--,--,--,0,
长期待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,--,--,0,11,12,11,0,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,--,--,0,--,--,--,0,
递延所得税资产(万元),4807,4405,3592,3138,2775,2432,4668,3932,3299,2888,2717,2361,1863,1712,1528,1455,1533,1641,1493,1465,1587,1716,1735,1762,1675,1675,1164,1164,1163,1163,660,660,660,667,249,280,280,280,77,77,77,77,--,--,--,0,
其他非流动资产(万元),85232,44473,84539,108343,107691,93091,92421,59225,48808,27762,18276,26011,24683,25357,9397,16587,7351,1727,6458,10408,19717,23230,20010,12263,8250,7622,7629,6628,6254,12439,12456,4442,3761,3757,4720,42875,42755,44096,40239,33299,30555,44551,20306,20306,20306,22650,
非流动资产合计(万元),862463,803914,754974,729037,708058,690015,646775,560681,548054,497642,473237,465091,459354,449478,410970,398342,369180,354876,339973,322352,326557,314968,304032,294563,288453,282646,266058,261184,255973,256468,243012,234049,231050,231213,230335,224829,221691,210132,187702,166402,158231,154517,124331,123639,122969,120881,
资产总计(万元),939362,932905,835730,794528,766632,754904,704396,642209,653164,564396,553913,548551,543271,538963,501250,483253,456128,450106,433318,442570,451635,447909,412162,413489,416467,364799,300683,280488,290287,280463,258624,261238,256889,261249,259556,238454,234404,226955,213165,195981,171995,169496,149643,140971,137746,128461,
短期借款(万元),131400,126400,126400,157400,161400,85000,70000,24000,20000,30000,30000,30000,--,--,30000,--,0,--,--,--,--,--,10000,10000,15000,21000,38853,31353,30353,25853,9418,12418,12418,12418,28918,87000,90000,85500,98500,59895,44895,44895,13252,--,--,14000,
向中央银行借款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,--,--,0,--,--,--,0,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,--,--,0,--,--,--,0,
拆入资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,--,--,0,--,--,--,0,
交易性金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,--,--,0,--,--,--,0,
衍生金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,--,--,0,--,--,--,0,
