报告日期,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2016-12-31,2016-09-30,2016-06-30,2015-12-31,2011-03-31,2010-12-31,2010-09-30,
货币资金(万元),999,526,468,333,216,2617,537,717,878,979,888,3073,1465,135,171,183,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
应收票据(万元),--,--,754,454,--,262,1015,2057,417,--,--,--,--,0,0,0,
应收账款(万元),--,17154,18696,30802,--,8728,24312,21784,29730,707,13377,522,608,1016,1062,1067,
预付款项(万元),3172,2272,344,7351,6311,1319,1035,999,859,14077,1789,8727,743,397,423,295,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
应收利息(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
其他应收款(万元),--,--,2475,1808,1149,1077,972,1032,924,804,656,565,695,1531,1761,2982,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
存货(万元),5186,6089,7867,8045,4377,15649,7044,6163,4790,3361,3718,3698,3431,825,650,600,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
其他流动资产(万元),11,66,148,223,223,713,223,172,256,1,1000,1000,--,0,0,0,
流动资产合计(万元),53867,27876,30752,49017,35028,30365,35138,32926,37854,19928,21428,17584,6941,3903,4067,5127,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
可供出售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
长期股权投资(万元),17214,14428,13968,15281,16804,15537,15537,15919,13189,13202,31805,31425,30305,0,0,0,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
投资性房地产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
固定资产原值(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,4366,4359,5305,
累计折旧(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,2801,2788,3251,
固定资产净值(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,1565,1571,2054,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,386,386,386,
固定资产(万元),--,--,11994,12421,12654,12464,12780,12664,12680,2316,2333,2355,2545,1179,1185,1668,
在建工程(万元),--,--,402,1343,1140,470,412,173,147,717,715,688,674,0,0,0,
工程物资(万元),--,--,6,6,--,6,6,6,6,6,6,6,6,0,0,0,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
无形资产(万元),7718,7758,7964,11795,11692,11688,11692,10105,10219,1059,845,911,1045,1156,1162,1170,
开发支出(万元),--,3,--,6,6,6,--,--,--,--,--,--,--,0,0,0,
商誉(万元),1773,1773,1773,1773,1773,1773,1773,1773,1773,1773,1773,1773,1773,0,0,0,
长期待摊费用(万元),1444,1499,1434,1579,1645,1718,1746,1801,1913,1172,1225,1281,1354,21,21,34,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
递延所得税资产(万元),467,57,467,434,434,434,434,537,480,748,786,786,747,0,0,0,
其他非流动资产(万元),3652,3648,4039,454,454,454,454,--,--,3253,3201,3147,3070,0,0,0,
非流动资产合计(万元),44651,41576,42047,45092,46601,44554,44833,42978,40405,24245,42688,42371,41519,2356,0,2872,
资产总计(万元),98518,69452,72798,94110,81629,74913,79971,75903,78259,44173,64116,59955,48460,6259,6436,7999,
短期借款(万元),3295,2646,2500,2100,2100,1080,1570,3570,3570,490,490,490,490,3152,3152,11142,
向中央银行借款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
拆入资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
交易性金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
衍生金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
应付票据(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
应付账款(万元),--,3081,5121,21993,--,6471,13957,9453,15973,2578,4636,2678,2579,1054,1014,860,
预收账款(万元),3389,315,2994,4027,3122,2681,2269,6892,4491,4185,4006,4008,4002,340,321,396,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
应付职工薪酬(万元),489,457,669,604,546,402,444,295,319,181,180,174,184,57,65,75,
应交税费(万元),1471,906,1259,1566,978,1084,2132,1092,1524,1628,1424,830,840,224,257,173,
应付利息(万元),543,--,366,410,--,624,597,366,367,357,356,362,617,0,0,0,
应付股利(万元),927,--,927,927,--,927,927,927,927,927,927,927,927,0,0,0,
其他应交款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,2,9,1,
应付保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
内部应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
其他应付款(万元),19885,--,18975,19780,20864,20293,18791,17343,17693,10643,15847,15843,4336,22183,22269,9643,
预提费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,2815,2752,9475,
预计流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,90679,90679,84791,
应付分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
保险合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
代理买卖证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
代理承销证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
国际票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
国内票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
递延收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
应付短期债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
一年内到期的非流动负债(万元),--,--,--,400,400,400,400,--,--,--,--,--,--,0,0,0,
其他流动负债(万元),319,919,404,467,1783,471,486,491,629,627,623,626,1029,0,0,0,
流动负债合计(万元),53726,29332,33214,52274,40104,34433,41573,40430,45492,21616,28491,25937,15003,120504,120518,116554,
长期借款(万元),--,--,--,--,--,2000,--,--,--,--,--,--,--,0,0,0,
应付债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
