报告日期,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,
货币资金(万元),354806,730712,549127,382069,446766,438610,234526,272569,303177,181398,142924,145922,195859,176571,163075,137465,161367,203261,193670,243958,178129,94708,153009,133660,225178,126558,120573,261732,308417,188250,154285,182313,223034,179819,268954,647517,463606,703697,913873,1084149,294469,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,0,0,0,--,0,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,0,0,0,--,0,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,0,0,0,0,0,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,0,0,--,--,0,
应收票据(万元),702511,616907,695531,730952,532577,950047,974271,913763,758037,693880,684827,575955,526498,574542,617265,560677,848537,777252,648432,728930,432026,620283,501657,497795,259240,197637,142646,97133,113519,230250,32485,106547,144779,125736,126989,228768,121299,155283,110830,122532,28163,
应收账款(万元),506812,874036,1026733,1179770,1110220,1175907,1107771,1170932,927232,496895,465346,426426,275370,317158,274752,232209,195509,254235,201521,69388,34710,46564,60489,73604,36350,61089,63281,57877,23360,54539,33755,33042,15667,31029,37260,47596,9319,12589,4989,9577,63809,
预付款项(万元),341625,314362,209683,192598,179481,298344,345468,353909,338049,309586,179275,191793,114815,197480,261435,288988,129639,278857,212771,198724,138990,92477,100716,10565,5694,1738,4190,10486,9849,12836,10784,13291,13086,19272,42823,19494,21010,74296,56406,108949,76466,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,0,0,0,--,0,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,0,0,0,--,0,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,0,0,0,--,0,
应收利息(万元),77,569,12,63,15,30,--,--,26,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,187,137,88,55,272,202,129,56,238,175,111,247,187,137,88,
应收股利(万元),4727,--,--,--,7220,--,--,--,6876,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,0,0,0,0,0,
其他应收款(万元),29528,30230,30953,158692,159379,114388,107940,57129,65075,21449,18220,18689,12157,16654,14053,16999,14112,20306,21238,21142,13742,16523,22202,6888,3561,7124,6338,4934,1612,5350,4609,13615,3219,11544,7065,8364,4338,15418,4618,3431,4290,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,0,0,0,--,0,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,0,0,0,--,0,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,0,0,--,--,0,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,0,0,--,--,0,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,0,0,0,--,0,
存货(万元),1380224,1258536,1269686,1246261,1105088,1253498,1197332,1148612,1149636,1235999,1234708,1221800,1198971,1273951,1229610,1189056,1257239,1854006,1749567,1824065,1657530,1450239,1542159,1129956,1167063,1053555,987969,849535,722584,896376,850159,1123316,934154,1397924,1287680,1111464,844241,641606,636555,525975,637743,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,0,0,0,--,0,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,0,0,--,--,0,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,5000,5000,5000,5000,0,--,--,--,--,--,0,0,0,0,0,
其他流动资产(万元),142507,88628,108397,116540,144660,11910,13815,23032,22159,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,0,0,0,0,0,
流动资产合计(万元),3462817,3913980,3890122,4006944,3685407,4242733,3981124,3939947,3570266,2939207,2725301,2580585,2323670,2556357,2560190,2425395,2606403,3387917,3027200,3086207,2455126,2320793,2380231,1852468,1697085,1447701,1330183,1286835,1184428,1392656,1086348,1472325,1334068,1765379,1771010,2063379,1463924,1603135,1727459,1854749,1105027,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,0,0,0,--,0,
可供出售金融资产(万元),13764,14112,14037,16616,16682,17221,16681,16743,52198,7648,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,16630,33875,52231,29420,50601,52245,45824,96509,0,0,0,0,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,
长期应收款(万元),4593,4543,4494,4445,4399,--,--,696,431,301,269,229,221,157,157,133,125,93,61,45,45,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,0,0,0,0,0,
长期股权投资(万元),517454,545149,542030,562923,562940,579301,568929,572162,530154,524850,529682,529451,527239,485819,488233,489419,482683,372143,375007,374992,373850,381469,379395,369377,363178,352994,349381,351119,349796,341851,342437,334923,336401,288810,42713,42713,42713,46710,46710,46710,46880,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,0,0,--,--,0,
投资性房地产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,0,0,0,0,0,
固定资产原值(万元),--,--,11287991,--,10809694,--,10727592,--,10678744,--,12051290,--,11750161,--,11286934,--,11257258,--,10912153,--,10975674,--,10872273,--,9012008,--,8175187,--,7857641,--,6630216,--,6611526,--,6478999,--,5828311,--,4062580,--,5300929,
累计折旧(万元),--,--,6606390,--,6357837,--,6151186,--,5922232,--,6107502,--,5858448,--,5612872,--,5357940,--,5074875,--,4902017,--,4637267,--,3936066,--,3663794,--,3429080,--,3205666,--,3009720,--,2953928,--,2752978,--,2022759,--,2503340,
固定资产净值(万元),--,--,4681601,--,4451857,--,4576407,--,4756512,--,5943787,--,5891713,--,5674063,--,5899318,--,5837278,--,6073657,--,6235006,--,5075942,--,4511393,--,4428560,--,3424550,--,3601807,--,3525071,--,3075333,--,2039821,--,2797589,
固定资产减值准备(万元),--,--,8958,--,5721,--,5555,--,9943,--,2545,--,2545,--,2545,--,2545,--,2545,--,2545,--,2545,--,2545,--,2545,--,2545,--,1365,--,1365,--,1365,--,1365,--,1459,--,10297,
固定资产(万元),4577962,4586989,4672643,4336685,4446136,4481504,4570851,4643868,4746569,5839936,5941243,5764057,5889169,5619852,5671518,5771421,5896774,5801050,5834733,5909294,6071112,6115956,6232461,4943282,5073397,4448302,4508849,4309668,4426016,3330575,3423185,3508109,3600442,3256264,3523706,2983958,3073968,1979408,2038362,2104971,2787292,
在建工程(万元),316623,377401,376590,528173,492970,525286,502877,544914,511864,504807,431967,622903,571294,831722,842693,810686,747132,858879,887640,776281,637114,582866,434834,497474,470823,1131318,1140261,1413358,1349294,2294825,2200825,1746301,1973610,1766133,1546529,1853268,1792620,1526943,1187871,881945,832863,
工程物资(万元),1665,1665,1665,2,2,--,--,--,--,10738,15535,14437,9891,13346,14108,13898,11936,12805,12077,12436,10367,5603,2807,--,--,--,0,--,0,--,0,--,--,--,--,--,0,0,0,0,0,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,0,0,0,0,0,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,0,0,0,0,0,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,0,0,--,--,0,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,0,0,0,0,0,
无形资产(万元),77514,83108,83085,85623,85851,90601,90944,91808,93112,100585,104855,105431,106008,86545,87081,86483,86955,41011,41233,41456,41678,41885,42061,4515,4539,4564,4588,4612,4636,4661,4685,4709,4733,4761,2617,2630,2644,0,0,0,807,
开发支出(万元),--,--,--,--,--,--,4066,4066,4066,6175,6175,6175,6175,8344,8344,8344,8344,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,0,0,0,0,0,
商誉(万元),48778,49282,49282,47732,47293,47698,44817,46117,49871,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,0,0,0,0,0,
长期待摊费用(万元),3890,3982,3950,3980,4081,3999,4102,4736,4930,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,0,0,0,0,0,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,0,0,--,--,0,
递延所得税资产(万元),90704,87347,96559,90172,97984,48742,46671,43704,42888,27803,28135,27520,33269,38366,38581,39665,31539,5934,2856,11849,19737,13863,25712,26734,21468,34715,37422,27856,18230,31563,19433,17890,47690,37032,21628,19148,17304,14987,13224,15094,26403,
其他非流动资产(万元),205,1761,1761,1813,1839,--,--,--,--,705,838,705,705,872,872,872,872,1039,1039,1039,1039,1206,1206,--,--,--,0,--,0,--,0,--,--,--,--,--,0,0,0,0,0,
非流动资产合计(万元),5653153,5755341,5846099,5678164,5760178,5794353,5849939,5968815,6036085,7023548,7058699,7070909,7143970,7085024,7151586,7220922,7266359,7092954,7154646,7127392,7154941,7142848,7118475,5841382,5933406,5971892,6040501,6106612,6147972,6020105,6029439,5669163,5997295,5408601,5194438,4952542,5030758,3573048,3291167,3053720,3699245,
资产总计(万元),9115970,9669322,9736221,9685108,9445584,10037086,9831063,9908761,9606351,9962755,9784000,9651494,9467640,9641380,9711777,9646317,9872763,10480871,10181846,10213599,9610067,9463641,9498706,7693850,7630491,7419593,7370684,7393447,7332401,7412761,7115787,7141488,7331364,7173980,6965448,7015921,6494682,5176184,5018626,4908469,4804272,
短期借款(万元),2432689,2754619,2695721,2614390,2616544,2841072,3236591,3311106,2674811,2611179,2676970,2687838,2693025,2609252,2551088,2578430,2601179,2684371,2516273,2537095,2302407,1910741,1779469,1455591,1413567,1294983,1338661,1062290,1093961,1065698,982838,1100803,1067232,777039,637828,882139,499453,367120,257010,73800,73800,
向中央银行借款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,0,0,0,--,0,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,0,0,0,--,0,
拆入资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,0,0,0,--,0,
交易性金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,0,0,0,0,0,
衍生金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,0,0,--,--,0,
应付票据(万元),923866,1199875,1094698,953766,965674,976020,701482,599073,540011,729646,632606,548255,486272,587634,724985,553929,478641,401089,525391,686531,660893,492489,442283,327357,324581,343107,305713,260700,299820,159820,50000,140000,140000,--,--,--,0,0,0,0,0,
应付账款(万元),877289,934947,1124639,1290965,1218920,1340609,1379271,1376408,1193715,1480798,1464338,1371907,1225471,1403734,1348785,1368151,1405380,1983094,1967162,1672423,1235474,1426733,1583587,1212420,1281454,1259158,1217696,1202975,1360354,1199103,1206543,1144369,1220543,514484,293019,379454,518281,197914,227404,191602,329540,
预收账款(万元),561351,403913,472760,460576,336065,342779,343036,394895,396724,395348,370651,373622,406169,326062,338631,406741,610606,653153,467291,570290,561208,576545,613761,693808,646807,529328,448535,630338,483090,668947,578151,335333,495918,653162,1080721,893101,731560,605095,508721,515532,495026,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,0,0,0,--,0,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,0,0,0,--,0,
应付职工薪酬(万元),8262,20772,17003,12941,19558,18098,23502,21210,16611,4954,3384,9580,4801,14071,14282,16527,7352,47535,48146,48778,47622,13434,23505,25530,22112,32382,28107,24760,21195,34172,32783,30378,25583,34005,32204,26927,26745,21628,24151,22034,45411,
应交税费(万元),-16472,-10366,-22921,-20173,-19268,-85326,-23883,-20160,-47084,-119979,-123491,-115024,-124409,-113062,-130525,-107010,-63491,-166916,-147203,-170985,-137362,-54789,-61114,10361,-17173,-48527,-68070,-90460,-233083,-66932,-119897,-183951,-149248,64191,58409,-2338,67108,94424,106885,72678,45033,
应付利息(万元),21232,10674,7155,29916,21534,5038,6281,7540,37358,14340,9031,3298,32814,20109,13265,2042,29840,9179,3865,6054,9363,9236,4158,5929,9003,11782,4867,10215,9314,18048,5048,14822,10233,17826,4909,12563,9254,10169,3542,4674,1558,
