报告日期,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,
货币资金(万元),13657,9879,26194,15309,22975,27833,32775,19471,24772,30502,51968,30592,29479,21028,46196,32906,30178,25343,39459,27932,37342,37568,43002,28259,30075,31923,45202,30889,33163,22897,31242,24525,21260,22279,29302,18757,31034,33042,48295,24995,25853,25420,32015,23505,27202,23558,28773,22035,26518,23330,26423,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,0,0,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,0,0,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,0,0,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,0,
应收票据(万元),3698,4407,4648,2221,3049,1950,3248,3998,4272,3526,5975,1352,2240,1977,3234,1572,2401,3155,3438,1908,1578,823,2192,1254,1281,984,1819,853,706,529,1286,876,837,642,876,821,330,1017,269,356,322,252,635,944,653,1235,952,247,560,2094,2881,
应收账款(万元),95934,100694,94107,89166,88237,74806,78009,98414,82161,92914,76125,94745,92183,89407,77805,99556,103721,89935,77081,84945,91622,88192,78998,86552,88380,80535,71678,87422,89914,86112,73614,71068,78467,66141,53790,57363,47562,40668,37921,45845,41916,40445,33723,39670,39501,35676,32196,42733,38303,41012,36930,
预付款项(万元),2992,5575,18885,26713,20616,14864,5382,39509,59486,5650,4458,1758,4889,1694,3669,2165,4469,5093,3163,2027,3622,1911,3314,2270,4032,2310,3840,2664,4589,4403,3763,5239,6618,4993,5596,4460,4701,3133,3558,6414,4956,4868,4815,2806,1137,1921,801,4216,5437,5148,4067,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,0,0,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,0,0,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,0,0,
应收利息(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,0,0,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,100,100,100,100,100,100,100,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,156,156,--,--,0,124,
其他应收款(万元),3420,--,3373,3908,4214,2231,2933,3633,3001,4036,3041,3959,4320,4245,3223,3945,3281,3453,3239,4328,4179,4939,5809,4866,4171,5840,5184,5327,4663,5216,5532,3080,2828,3110,3134,2772,2589,2563,2473,4209,3743,3768,3341,5057,6611,5489,5406,4075,6035,1420,5259,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,0,0,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,0,0,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,0,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,0,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,0,0,
存货(万元),25549,23867,28697,25982,34879,28832,49160,77131,43188,54356,52793,43530,38360,42517,39050,41579,42520,42219,45503,44247,45833,41595,43101,43475,46307,48886,46385,55530,59564,58745,55235,52043,46165,38865,32853,25990,25689,26147,22576,22862,22031,16571,17702,16589,16697,16607,16566,24509,22544,19065,19886,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,0,0,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,0,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,0,0,
其他流动资产(万元),1758,666,1350,739,2208,737,4528,3982,1061,651,684,909,738,1069,874,743,939,808,958,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,10,--,19,0,
流动资产合计(万元),147007,148479,177254,164038,176178,151253,176035,246137,217942,191634,195045,176845,172210,161938,174052,182467,187509,170104,172940,165486,184275,175130,176518,166774,174245,170477,174107,182685,192599,177902,170673,156831,156176,136031,125550,110165,111905,106569,115091,104680,98822,91324,92230,88571,91800,84643,84850,97826,99397,92088,95570,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,0,0,
可供出售金融资产(万元),--,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,0,--,--,--,--,--,0,0,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,0,0,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,0,0,
长期股权投资(万元),18162,18135,18324,18711,18719,18687,18698,18579,18646,18678,18708,18639,18641,18599,18586,18642,18658,18522,18493,18496,18526,19044,19055,20952,21177,20745,20874,20879,20808,20705,20662,24350,24129,23925,23852,23957,22503,22331,22227,21825,21756,21773,21640,21750,21680,21516,21476,2225,2443,1938,1885,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,0,
投资性房地产(万元),810,830,840,1230,1244,1267,1280,1304,1317,1340,1353,3026,3046,3082,3108,3418,3178,3493,3235,1084,1090,435,440,445,450,456,461,466,471,476,481,487,492,497,502,507,512,517,523,525,531,537,543,549,556,562,568,574,580,586,592,
固定资产原值(万元),25940,--,26105,--,25692,--,28351,--,28736,--,30667,--,25177,--,25141,--,25138,--,25193,--,28247,--,26740,--,26685,--,26434,--,24469,--,24953,--,20992,--,20701,--,20170,--,19951,--,19860,--,19545,--,17962,--,18901,--,24196,--,24096,
累计折旧(万元),14810,--,14780,--,14453,--,16281,--,16390,--,18003,--,17333,--,16948,--,16711,--,16364,--,16809,--,15843,--,15359,--,14826,--,14296,--,14392,--,13373,--,12916,--,12676,--,12230,--,12066,--,11632,--,11701,--,11767,--,13779,--,13178,
固定资产净值(万元),11130,--,11324,--,11239,--,12069,--,12346,--,12664,--,7844,--,8193,--,8427,--,8828,--,11439,--,10897,--,11325,--,11608,--,10173,--,10561,--,7619,--,7785,--,7494,--,7721,--,7794,--,7913,--,6262,--,7134,--,10417,--,10918,
固定资产减值准备(万元),74,--,74,--,95,--,95,--,95,--,236,--,236,--,236,--,236,--,236,--,236,--,236,--,236,--,236,--,249,--,346,--,354,--,354,--,336,--,359,--,379,--,379,--,329,--,329,--,195,--,195,
固定资产(万元),11056,--,11250,10972,11144,11316,11974,12133,12251,12224,12428,7593,7608,7763,7958,7779,8191,8104,8593,11029,11203,10450,10661,10879,11090,11185,11372,9981,9924,9975,10215,7124,7266,7309,7431,7530,7158,7248,7361,7138,7415,7332,7534,6122,5932,6553,6805,10048,10222,10463,10722,
在建工程(万元),1727,--,947,715,394,238,216,78,17,--,--,2675,2656,2656,2663,2215,2225,2205,2008,1936,1751,1650,1616,1296,859,859,258,1505,1398,1251,1006,658,328,80,--,4,520,595,510,301,0,118,--,1631,1329,1130,694,470,248,222,159,
工程物资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,0,0,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,0,0,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,0,0,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,0,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,0,0,
无形资产(万元),2930,2985,3029,3016,3054,3044,3074,2560,2582,2602,2616,2661,2661,2696,2720,2754,2749,2774,2815,2813,2829,2392,2430,1895,1911,1926,1945,1969,1991,2012,2038,834,864,903,929,843,868,894,917,913,941,969,994,1029,1053,1082,1101,4503,4471,3030,3081,
开发支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,0,0,
商誉(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,0,0,
长期待摊费用(万元),304,332,356,290,258,281,280,233,229,216,226,197,233,247,207,219,162,124,127,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,0,10,11,12,49,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,0,
递延所得税资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,53,0,
其他非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,0,0,
非流动资产合计(万元),35063,34590,34821,35009,34888,34907,35596,34961,35117,35136,35407,34866,34921,35118,35315,35102,35237,35296,35346,35357,35399,33971,34202,35468,35487,35170,34910,34801,34591,34419,34403,33453,33079,32714,32714,32841,31561,31585,31538,30703,30643,30729,30711,31082,30549,30842,30644,17831,17976,16303,16488,
资产总计(万元),182070,183069,212074,199047,211066,186160,211631,281098,253058,226769,230452,211711,207131,197056,209367,217569,222745,205400,208286,200844,219675,209100,210719,202242,209733,205648,209017,217486,227190,212321,205076,190284,189254,168745,158264,143005,143466,138154,146629,135383,129464,122053,122941,119653,122350,115484,115494,115656,117373,108391,112058,
短期借款(万元),46418,47692,44501,40851,44751,43751,38755,41250,36835,46350,47350,44350,41450,41450,45800,46300,47100,45300,40300,42500,48500,48200,46200,44600,50730,49310,49310,56530,58130,51730,51150,48500,50500,46600,43700,46700,52100,48900,48900,48900,48100,47900,49000,41000,41000,44000,40400,44100,47400,32690,43890,
向中央银行借款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,0,0,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,0,0,
拆入资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,0,0,
交易性金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,--,0,0,0,0,--,--,--,--,--,0,0,
衍生金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,0,
应付票据(万元),9124,--,8437,--,8606,8302,2016,1368,2732,7615,8307,8318,12751,8612,11002,10660,5664,6532,11682,11598,10133,11144,7081,8009,6000,10000,10700,7963,3028,4068,26,6132,196,231,37,53,2829,2818,9275,849,376,526,--,8000,8000,198,--,87,114,12166,322,
应付账款(万元),69550,--,74303,--,70993,64774,80667,121275,99747,90692,89701,104316,94604,91070,92213,103409,109033,90710,92056,87547,99234,93280,95578,93625,94026,87759,85078,94908,106452,100519,90675,84078,84596,69954,58163,47127,42229,39351,40945,38505,37414,30401,30352,27182,27814,23448,25437,28396,25872,22359,22383,
预收账款(万元),3384,2430,25955,23805,30551,12921,31720,61290,60703,32123,31031,4841,8017,6125,7354,4366,6991,8107,8472,4986,6942,3937,7766,2672,6775,6598,10044,5756,7263,5244,8776,3748,6106,4553,8246,4534,3804,4190,2315,2980,1149,1017,1538,1788,1881,1594,3299,2868,2284,1180,1155,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,0,0,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,0,0,
应付职工薪酬(万元),2126,2195,2113,2046,1996,1998,2103,1897,1855,1590,1748,1725,1662,1571,1768,1819,1818,1802,1869,1650,1654,1693,1666,1631,1577,1548,1475,1618,1576,1507,1491,1493,1460,1467,1467,1382,1370,1341,1423,1360,1327,1311,1349,1244,1260,1505,1475,1576,1545,1812,1564,
应交税费(万元),384,809,1723,954,1058,477,1888,1350,1342,570,2449,570,1579,303,813,750,1062,1546,1022,1,-512,-129,154,13,-492,-54,1037,-6,-141,-999,1577,-1626,-1192,-764,913,-1024,-1297,-1835,-239,-1224,-1688,-1265,-600,-1573,-970,-1083,-601,-1249,-1555,-1256,-1660,
应付利息(万元),40,40,45,--,46,40,53,21,71,21,73,56,56,46,59,49,66,8,69,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,0,0,
应付股利(万元),202,202,202,--,169,169,169,169,169,169,169,274,169,169,712,169,169,169,195,195,195,195,195,395,--,218,218,218,100,--,134,134,--,--,--,108,0,--,0,88,217,--,--,--,--,--,--,--,--,0,0,
其他应交款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,0,0,
应付保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,0,
