报告日期,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,
货币资金(万元),1,117,7,1,2,14,1,30,14,68,18,66,121,2175,3154,3457,8774,0,21,1,6,1,4,24,5,5,2,5,1,6,1,81,73,37,64,28,10,12,10,9,14,50,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,--,--,
应收票据(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,49,--,--,--,--,--,10,50,--,10,--,60,60,--,--,50,100,0,--,--,--,--,--,--,
应收账款(万元),93,--,80,--,--,1702,1702,1940,1940,1940,1527,2280,2280,2222,2280,--,--,--,--,197,200,205,326,488,962,442,467,598,623,829,918,697,670,687,606,578,463,189,334,526,276,68,
预付款项(万元),3,3,750,73,73,133,120,205,245,130,289,--,--,--,14,--,--,--,--,124,124,124,124,98,98,98,98,156,156,156,156,284,284,284,284,375,375,375,375,402,402,402,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,--,--,
应收利息(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,40,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,--,--,
其他应收款(万元),--,--,40,703,670,698,653,588,589,622,973,96,100,1247,760,1,495,99,214,1161,1394,1135,1014,1502,1318,1880,1844,2485,2652,2351,2307,2521,2346,2382,2247,1439,1344,1526,1319,1683,1518,1444,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,--,--,
存货(万元),--,35,11,1,1,1,1,505,618,635,505,--,--,--,--,--,--,43,43,6642,6642,6637,6655,6718,6697,6649,6649,6681,6649,6649,6649,6633,6658,7039,7048,7148,7025,7086,7048,7002,7002,7029,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,--,--,
其他流动资产(万元),58,48,48,63,63,63,63,48,48,49,29,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,--,--,
流动资产合计(万元),251,306,948,2519,2486,2612,2541,3455,3455,3444,3341,2443,2501,5684,6207,3458,9269,142,327,8125,8367,8101,8123,8830,9091,9124,9060,9936,10081,10051,10092,10226,10032,10477,10349,9568,9216,9188,9085,9621,9212,8992,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,--,--,
可供出售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,--,--,
长期股权投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,0,--,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,--,--,
投资性房地产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,312,5739,5739,5739,5739,5996,5996,5996,5996,6254,6254,6254,6254,6327,6527,6327,6327,6573,6573,6573,6573,6819,6819,6819,
固定资产原值(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,37192,--,37192,--,37189,--,37189,--,37170,--,37170,--,37658,0,37658,37658,37658,--,37658,37658,37504,37504,
累计折旧(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,27539,--,26960,--,26661,--,26054,--,25696,--,25065,--,25139,0,24221,24322,23863,--,22944,23016,22404,21945,
固定资产净值(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,9653,--,10232,--,10529,--,11135,--,11474,--,12105,--,12518,0,13437,13336,13795,--,14713,14641,15100,15560,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,4745,--,4745,--,4745,--,4745,--,4745,--,4745,--,4745,0,4745,4745,4745,--,4745,4745,4745,4745,
固定资产(万元),2460,--,2549,3265,3304,3364,3404,-3454,3493,3537,3581,--,--,--,--,--,--,2475,2265,4602,4909,5215,5487,5497,5784,6186,6391,6416,6730,7041,7360,7314,7773,8233,8692,8591,9050,9509,9968,9896,10356,10815,
在建工程(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,3071,3071,3071,3071,3071,3071,3071,3071,3071,3071,3071,3071,3071,3071,3071,3071,3071,3071,3071,3071,3071,3071,3071,
工程物资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,0,0,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,--,--,
无形资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,0,0,
开发支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,--,--,
商誉(万元),--,--,--,--,--,--,--,122,122,122,122,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,--,--,
长期待摊费用(万元),68,69,70,86,86,95,99,6,3,5,6,10,10,11,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,10,10,10,10,20,20,20,20,30,30,30,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,--,--,
递延所得税资产(万元),--,--,--,--,--,--,--,9,9,9,7,31,31,46,40,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,--,--,
其他非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,--,--,
非流动资产合计(万元),2528,2573,2619,3350,3390,3460,3503,3627,3627,3673,3717,41,41,57,40,0,0,2475,2577,13413,13719,14025,14298,14564,14851,15253,15457,15741,16055,16366,16685,16723,17182,17641,18100,18255,18714,19174,19633,19817,20276,20735,
资产总计(万元),2779,2880,3566,5869,5876,6071,6043,7021,7082,7118,7059,2484,2542,5741,6247,3458,9269,2616,2904,21538,22086,22127,22420,23393,23941,24377,24517,25677,26136,26417,26777,26949,27213,28118,28449,27823,27930,28361,28718,29438,29488,29727,
短期借款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,47338,47338,48837,48837,54386,54386,54386,54386,54386,54386,54386,54386,54386,54386,54386,54386,54386,54386,54386,54386,54386,54386,54386,54386,54386,54386,54386,
向中央银行借款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,--,--,
衍生金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,--,--,
应付票据(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,--,--,
应付账款(万元),333,--,245,--,--,245,244,99,96,100,135,--,--,--,--,17644,17644,18724,18724,19563,19307,19306,19301,19126,19083,19073,19056,18974,18946,19073,19053,18834,18788,18849,18776,19161,18986,18707,18831,18651,18445,18279,
预收账款(万元),--,97,607,--,--,--,--,200,200,200,556,--,--,--,--,5505,5505,5505,5505,6309,6309,6309,6309,6309,6309,6309,6309,6314,6314,6314,6314,6352,6352,6397,6397,6397,6397,6397,6397,6559,6559,6559,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,--,--,
应付职工薪酬(万元),227,221,213,188,167,108,232,179,140,63,34,3,2,6,8,837,11000,3155,3379,4341,4374,4405,4563,4473,4834,4825,4773,4714,4734,4706,4630,4616,4623,4567,4532,3585,3563,8390,8332,9303,9242,9182,
应交税费(万元),95,7,17,18,17,12,12,292,4,336,292,0,2,111,527,102,1356,2594,2595,1328,1328,1329,1328,1316,1320,1329,1339,1199,1298,1298,1524,1335,1335,1894,1899,1895,1905,1892,1899,1900,1899,1899,
应付利息(万元),--,--,64,--,--,675,562,283,54,49,15,32,29,67,16,119405,119405,119405,118118,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,--,--,
应付股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,--,--,
其他应交款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,--,--,
其他应付款(万元),3955,--,4360,4342,4271,3492,3232,2642,2644,2187,2174,1000,1000,4000,4000,33105,45590,35855,35667,31358,31264,30840,30570,30320,30056,29896,29683,29613,27407,26989,26565,26564,26125,21935,21680,21026,20659,15737,15267,13554,13148,12861,
预提费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,--,--,
预计流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,--,--,
应付分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,--,--,
保险合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,--,--,
代理买卖证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,--,--,
代理承销证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,--,--,
国际票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,--,--,
国内票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,--,--,
递延收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,--,--,
应付短期债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,--,--,
一年内到期的非流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,16485,--,47545,47100,46655,46210,45765,45320,44875,44433,44070,43625,43180,42735,41955,41509,42540,42095,41649,41204,40759,40314,39869,39424,38979,
其他流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,16051,16051,--,16485,89211,87725,86239,84754,8327,81782,80296,78810,77325,75839,74353,72867,71489,69950,68410,66924,654387,63952,62466,60981,59495,58009,56523,
流动负债合计(万元),4611,4980,5538,4634,4546,4531,4283,3409,3138,2935,3206,1035,1033,4184,4551,239986,263889,250560,249309,253642,251793,249469,247420,244963,243091,240987,238788,236594,232548,230299,228074,225531,223068,218977,216689,213537,211051,208734,206407,203717,201113,198668,
