报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2005-12-31,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,--,--,0,0,0,0,0,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,--,--,0,0,0,0,0,
应付职工薪酬(万元),28826,22855,16452,39875,28107,16122,16702,38589,25608,16820,14309,33404,17790,16140,12283,26049,12805,10791,10153,20723,10273,9633,8407,16283,9684,8616,6295,12190,8391,5816,5782,13622,6381,6739,6768,11415,4667,
应交税费(万元),141242,137932,242576,313369,117118,123985,136670,146443,122880,102968,148237,195158,151528,146765,141378,127250,56931,89205,51918,61479,32561,38012,24030,58986,31012,28781,878,27055,362,11929,24932,31719,-1266,7815,9337,18539,7094,
应付利息(万元),28809,30595,33853,19214,16143,13683,23595,15236,11015,6815,15454,11977,10089,6484,15432,11918,15113,8434,16712,10912,9604,3976,3068,2187,2944,3812,15672,4105,5141,5622,3742,3069,2129,2981,2089,5250,1087,
应付股利(万元),1226,11824,10573,16073,45594,81696,512,12093,21814,21800,9017,29017,998,14866,4958,4958,36099,37553,29778,12421,2239,21793,4620,10775,878,878,2259,878,3239,3050,10577,2291,210,220,205,445,0,
其他应交款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,--,--,0,0,0,0,0,
应付保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,--,--,0,--,0,0,0,
内部应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,--,--,0,--,0,0,0,
其他应付款(万元),1598584,1299482,1246601,1178251,972367,937911,884790,901405,960817,876220,784760,850235,752355,623472,652245,687141,647215,634791,523842,574338,588265,563830,498888,583533,360880,345400,347319,315457,323364,319264,259003,213959,125700,121914,68676,61373,46967,
预提费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,--,--,0,0,0,0,0,
预计流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,--,--,0,0,0,0,0,
应付分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,--,--,0,0,0,0,0,
保险合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,--,--,0,0,0,0,0,
代理买卖证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,--,--,0,0,0,0,0,
代理承销证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,--,--,0,0,0,0,0,
国际票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,--,--,0,--,0,0,0,
国内票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,--,--,0,--,0,0,0,
递延收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,--,--,0,0,0,0,0,
应付短期债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,--,--,0,0,0,0,0,
一年内到期的非流动负债(万元),434314,879100,702696,597010,759594,933213,692850,633101,731278,903225,1083034,738099,868232,486161,406036,360805,450739,245836,182941,185642,145823,145761,142840,130350,220504,388014,368504,181010,142000,64000,48000,30000,50000,0,5000,5000,342,
其他流动负债(万元),336038,345091,362026,372937,248590,233835,327667,356049,438113,380158,467626,425674,368164,348573,323032,317960,254321,243233,250089,235774,226972,223996,197764,184356,97169,77424,50065,45907,45129,46244,41867,41561,18021,18449,10727,9166,1406,
流动负债合计(万元),9109258,8379581,8141998,8011429,7945557,8007258,7470327,7483493,7328612,6830023,6943871,6524911,5421428,4429723,4126022,3968135,3549629,3200924,2923277,2850780,2293518,2206252,2179210,2371235,1857917,1895786,1679891,1421842,1400961,1221030,1233004,1228146,719801,540234,479412,498335,343577,
长期借款(万元),3035535,2810812,2755259,2466652,2196483,1809034,1720766,1705192,1643191,1690862,1504108,1437801,1247220,1736872,1774727,1562143,1230379,1082922,1113714,999584,1078048,951528,668800,572030,661900,470762,522732,680732,520282,518282,475095,364524,335000,328000,315000,237000,151000,
应付债券(万元),762942,542823,403750,301808,303365,303284,303154,300338,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,--,--,0,0,125965,138708,0,
长期应付款(万元),361944,357506,351402,10435,10546,10502,10304,10275,10512,10122,10129,10021,10052,9462,8788,8357,7837,7270,6509,5859,5550,5123,4844,4647,4402,4085,3542,3329,83262,83255,3070,2879,0,0,0,2483,244,
专项应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,--,--,0,0,0,0,0,
预计非流动负债(万元),--,--,--,--,--,--,299,1047,1324,1348,1386,1402,--,--,--,--,10209,10250,10501,10629,10630,10806,10805,10805,8115,8142,8308,9047,80,80,121,121,145,145,863,1077,1494,
长期递延收益(万元),619,800,703,653,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,--,--,--,--,--,0,--,0,
递延所得税负债(万元),48048,43387,3582,3582,10561,9386,11382,10860,10033,9371,--,--,--,--,--,--,--,--,--,--,96,61,96,73,48,48,3,3,55,55,55,55,56,0,1557,2210,0,
其他非流动负债(万元),6514,6134,--,--,1124,1124,1124,1124,1413,1661,1413,1661,315,315,315,315,382,382,382,382,448,448,729,722,801,793,806,798,478,515,301,518,756,779,814,814,911,
非流动负债合计(万元),4215601,3761462,3514695,2783129,2522077,2133331,2047029,2028835,1666472,1713365,1517037,1450885,1257586,1746649,1783830,1570815,1248807,1100824,1131105,1016453,1094773,967967,685275,588277,675266,483829,535391,693909,604157,602188,478642,368096,335958,328925,444199,382292,153649,
负债合计(万元),13324860,12141043,11656693,10794559,10467635,10140588,9517356,9512328,8995084,8543388,8460907,7975796,6679014,6176372,5909852,5538950,4798435,4301749,4054383,3867232,3388291,3174219,2864485,2959512,2533183,2379616,2215281,2115751,2005118,1823218,1711646,1596242,1055758,869159,923611,880627,497226,
实收资本(或股本)(万元),257595,257595,257595,257595,257595,257595,171730,171730,171730,171730,171730,171730,171730,171730,171730,171730,171730,171730,171730,171730,171730,171730,171730,171730,171730,171730,171730,171730,126730,126730,84487,84487,84487,73413,63070,61882,61882,
资本公积(万元),889972,889170,853778,852976,763265,761384,844705,844705,862072,862236,838693,838693,838693,838693,838707,838707,847883,847883,848445,848445,848838,848728,848837,848793,854831,854832,854654,854854,315831,315831,341351,341386,511975,289507,169776,22668,31822,
减:库存股(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,--,--,0,0,0,0,0,
专项储备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,0,--,0,
盈余公积(万元),124623,124623,124623,124623,113352,113352,113352,113352,102778,102778,102778,102778,96803,96803,96803,96803,89946,89946,89946,89946,78579,78579,78579,78579,67023,67023,67023,67023,61640,61204,61204,61204,70604,70604,70604,49626,47144,
一般风险准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,--,--,0,0,0,0,0,
未确定的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,--,--,0,0,0,0,0,
未分配利润(万元),2005828,1998478,1931677,1866358,1675332,1630987,1610417,1534874,1526314,1420854,1298380,1217310,1133331,1013511,968747,925805,881936,820342,750248,694091,647005,609336,559981,521491,464726,417318,402864,385806,307103,290736,297905,302658,89991,83703,63982,213919,154497,
拟分配现金股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,--,--,0,0,0,0,0,
外币报表折算差额(万元),--,--,--,--,7890,7890,7890,7890,8841,8841,8841,8841,8777,8874,8777,8777,24982,16978,16773,16531,12430,9575,7321,7281,7049,7029,6861,6861,9987,10261,6770,558,738,847,557,-1397,-1858,
归属于母公司股东权益合计(万元),3287128,3277769,3175563,3109442,2817434,2771208,2748094,2672550,2671735,2566439,2420422,2339352,2249333,2129611,2084764,2041821,2016478,1946879,1877142,1820743,1758582,1717948,1666449,1627874,1565358,1517932,1503133,1486275,821292,804762,791717,790292,757795,518073,367989,346698,293487,
少数股东权益(万元),1529810,1462114,1325450,1265236,1221130,1183604,1231297,1219167,662591,641753,652855,604576,547417,460193,409728,385878,352608,321697,289641,293848,291133,286397,212024,202330,146375,147651,141478,141676,151222,151964,138110,124182,53378,33963,16006,21148,14681,
所有者权益(或股东权益)合计(万元),4816938,4739883,4501013,4374678,4038563,3954812,3979391,3891717,3334326,3208192,3073277,2943928,2796750,2589805,2494492,2427699,2369086,2268576,2166783,2114592,2049715,2004345,1878473,1830204,1711733,1665583,1644611,1627951,972514,956726,929827,914474,811173,552036,383994,367846,308167,
负债和所有者权益(或股东权益)总计(万元),18141797,16880926,16157706,15169237,14506198,14095400,13496747,13404045,12329410,11751580,11534184,10919724,9475765,8766177,8404344,7966649,7167522,6570325,6221166,5981824,5438006,5178564,4742958,4789716,4244916,4045199,3859892,3743701,2977632,2779944,2641474,2510716,1866931,1421195,1307606,1248473,805393,		
  
