报告日期,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,
货币资金(万元),181986,163788,138239,134300,123080,107082,122268,98476,105581,96352,89504,62300,79477,61741,75160,64032,55657,66712,61396,44810,77133,82275,88314,79277,73104,80706,110064,48293,46837,48461,66265,46998,69151,84623,65708,64059,46853,69779,48644,52246,42636,46685,45010,32461,47679,25974,29661,17925,15708,18691,21596,
结算备付金(万元),--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,0,
拆出资金(万元),--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,0,
交易性金融资产(万元),57877,6600,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,0,
衍生金融资产(万元),--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,0,
应收票据(万元),48061,55363,59509,66402,70127,77643,71541,63163,69609,59848,47972,48321,54512,59483,68052,51730,68053,70360,70111,60730,77751,79839,92147,103731,75523,81966,80338,78379,94219,75965,78387,74785,55278,53866,71359,56460,56974,50161,58551,52770,34517,31153,37412,43401,45370,45290,33654,34199,12255,9256,12310,
应收账款(万元),206037,207728,194080,191657,192179,189875,169522,189091,181230,185003,187017,187804,192672,204036,209609,208868,215508,233998,238892,204646,213413,209717,211617,209475,211206,196749,194684,180018,178904,184995,181271,180472,174971,168965,165252,150869,158941,124126,132943,127086,127308,127263,118442,123314,109782,110835,104308,92958,86147,72698,71367,
预付款项(万元),41529,41875,37096,58639,42438,56829,44617,35943,44923,50053,20218,31458,24111,20078,13927,18375,19242,22886,17202,22474,26311,29884,22100,44006,51748,42862,27540,32842,24475,28010,20873,31448,27455,27005,18446,27552,31874,33371,21979,25812,23049,26594,23010,25770,27139,23176,17161,21528,15896,18932,12562,
应收保费(万元),--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,0,
应收分保账款(万元),--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,0,
应收分保合同准备金(万元),--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,0,
应收利息(万元),0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,0,
应收股利(万元),8453,1656,1656,--,690,690,690,690,690,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,100,44,--,0,--,--,--,--,100,--,--,0,100,0,--,0,--,--,--,--,--,--,--,--,--,0,
其他应收款(万元),1829,--,1600,3818,2016,1864,1691,2258,2073,3400,3102,3397,2709,2952,2557,2877,2686,2796,2538,4592,3665,3596,3130,5094,3592,5097,17986,6369,5600,5689,7563,6916,5685,3519,3415,3164,2905,2552,1733,3031,2227,1906,1724,1856,1670,2160,2349,2730,2348,1881,2253,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,0,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,0,
