报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,
应付债券(万元),198657,198479,198310,198142,197922,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,0,--,--,--,--,--,--,--,--,
长期应付款(万元),35629,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,0,--,--,--,--,--,--,--,--,
专项应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,0,--,--,--,--,--,--,--,--,
预计非流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,0,--,--,--,--,--,--,--,--,
长期递延收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,--,--,--,--,--,--,--,--,
递延所得税负债(万元),19440,17192,23118,22638,19045,18804,13396,14130,10812,11915,10835,11967,13140,12923,6704,6790,6344,6447,3984,3984,3592,3597,2310,2317,1522,1527,1971,1971,1790,1798,1824,1824,3309,3309,2817,2817,
其他非流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,35000,20000,50000,30000,30000,30000,30000,30000,50000,20000,--,20000,--,--,--,--,
非流动负债合计(万元),728329,690987,670218,492970,842615,621292,629544,610930,592582,486616,326295,326864,345640,357573,471934,495710,464764,508267,465514,435809,363204,321639,363982,228359,185814,183227,184171,164771,198782,181035,254224,167204,159289,128729,108517,73317,
负债合计(万元),2977982,2548857,2735896,2560550,3492617,2965386,2781638,2700417,3056320,2719998,2441370,2390421,2769439,2617551,2533694,2494577,2602342,2312831,2049064,2011870,1745396,1466244,1289947,1069790,1108928,967970,863991,904532,984892,909853,905120,826594,824890,706713,545233,451633,
实收资本(或股本)(万元),159319,159319,159319,159319,159319,159319,159319,159319,159319,159319,159319,159319,159319,159319,159319,159319,159319,159319,106212,106212,106212,106212,106212,106212,106212,106212,106212,106212,106212,106212,53106,53106,53106,53106,33191,33191,
资本公积(万元),7752,7752,7515,7515,6984,6984,6452,6452,5745,5745,4951,4951,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,
减:库存股(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,0,--,--,--,--,--,--,--,--,
专项储备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,--,--,--,--,--,--,--,--,--,--,
盈余公积(万元),31401,31401,31401,31401,20187,20187,20187,20187,18317,18317,18317,18317,16983,16983,16983,16983,16656,16656,16656,16656,8380,8380,8380,8380,8380,8380,8380,8380,6927,6927,6927,6927,22614,22614,22617,1328,
一般风险准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,114680,0,--,0,0,0,--,--,--,--,--,--,--,--,
未确定的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,0,--,--,--,--,--,--,--,--,
未分配利润(万元),642775,627508,575429,565614,476159,488131,481987,476566,373753,357735,338490,333421,263332,247802,206198,211145,124609,130296,160006,158371,113835,118307,0,110507,79396,82789,79554,66880,44948,41825,82867,82602,35053,33273,48315,68052,
拟分配现金股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,0,--,--,--,--,--,--,--,--,
外币报表折算差额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,0,--,--,--,--,--,--,--,--,
归属于母公司股东权益合计(万元),849547,836076,782755,772939,662648,674621,667945,662525,557134,541116,521077,516008,441658,426129,384525,389471,302609,308296,284900,283264,230453,234925,231298,227125,196014,199407,196172,183498,160113,156990,144926,144661,112799,111019,106148,104596,
少数股东权益(万元),70465,61818,56692,56323,52570,34296,32005,25280,23352,22245,21495,21635,20370,20083,18450,18504,15390,15713,9025,8753,11661,10673,10083,9845,8335,8216,7686,7150,6593,6462,2633,2589,7521,7563,7614,7533,
所有者权益(或股东权益)合计(万元),920012,897894,839447,829263,715218,708916,699951,687804,580486,563360,542572,537644,462029,446212,402975,407976,317999,324008,293925,292018,242114,245598,241381,236970,204349,207623,203858,190648,166705,163451,147559,147250,120320,118582,113762,112129,
负债和所有者权益(或股东权益)总计(万元),3897994,3446751,3575343,3389813,4207835,3674302,3481589,3388221,3636806,3283358,2983942,2928065,3231468,3063763,2936670,2902552,2920341,2636840,2342989,2303887,1987510,1711842,1531328,1306760,1313277,1175593,1067849,1095180,1151598,1073304,1052680,973844,945210,825294,658996,563762,		
  
