报告日期,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,
货币资金(万元),197247,89212,77577,101353,170013,92547,112605,147225,165905,46135,51693,47278,70523,38473,32091,43649,71129,37351,35346,45332,70205,51347,53290,56785,73784,51169,62080,70868,73570,21612,27232,37124,42113,32991,21018,23366,27487,19724,15555,20187,27301,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,0,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,0,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,--,--,--,--,--,0,0,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,0,
应收票据(万元),11538,9910,14251,5202,5297,2035,1389,6148,3314,8334,6602,6429,4185,729,1143,2658,3306,1722,3422,2894,2783,956,2239,2259,3329,2632,4406,1696,1813,619,4743,3676,1431,219,1267,4529,1957,1582,1124,921,1781,
应收账款(万元),35212,70510,65807,56817,45664,74918,66291,54951,46842,75708,69781,55345,44206,66837,53199,37724,29160,51043,42283,30243,22724,40394,33368,27063,22949,32659,28537,20859,21220,27195,30361,19345,18428,27430,29099,27650,27292,28783,27279,21773,17390,
预付款项(万元),4060,4102,5343,6106,4358,9091,6102,3963,4129,10935,9069,9695,9834,9949,10783,12203,5907,8328,7924,6774,6697,7677,6279,3579,2709,4365,4535,4231,2281,3560,3738,6784,5450,7049,6349,5066,5382,4980,2989,4419,5157,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,0,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,0,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,0,
应收利息(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,7,7,--,0,--,0,--,0,--,--,--,--,--,--,--,--,0,0,
应收股利(万元),700,700,700,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,--,0,--,0,155,155,--,155,--,--,--,--,--,--,0,0,
其他应收款(万元),844,2101,1718,1532,979,3410,3468,4630,3437,3991,4147,4016,3292,4195,4145,1613,1141,1989,2090,1492,778,2234,1809,1845,1117,5822,3893,3444,1320,1872,2036,1512,1264,1716,2268,4143,3714,11104,3178,3245,3205,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,0,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,0,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,0,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,0,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,0,
存货(万元),46513,50013,47278,44792,38959,50259,42516,38623,34921,40164,38514,37240,34504,34223,28091,24796,23063,26469,23559,20745,16379,25751,22675,22921,16658,21564,20172,18885,14911,24042,21192,22037,17996,23937,23436,26497,23003,23378,21610,20978,21374,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,0,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,0,
一年内到期的非流动资产(万元),138,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,--,--,--,--,--,0,0,
其他流动资产(万元),1319,17480,29552,25933,482,12725,4256,509,315,150,5950,7150,150,150,150,150,150,--,--,--,--,--,--,--,0,--,0,--,0,--,0,155,--,155,155,155,155,155,155,155,155,
流动资产合计(万元),297571,244029,242225,241734,265750,244986,236627,256049,258864,185417,185756,167152,166694,154556,129601,122793,133856,126902,114624,107479,119565,128359,119661,114458,120554,118211,123624,119983,115115,79056,89456,90632,86836,93496,83592,91406,88989,89706,71891,71680,76364,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,0,
可供出售金融资产(万元),223073,227363,241377,291427,265352,137885,133065,35724,27394,27394,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,0,0,0,--,--,--,--,--,0,0,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,6700,4000,3000,--,4000,4400,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,--,--,--,--,--,0,0,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,--,--,--,--,--,0,0,
长期股权投资(万元),1432,1656,1706,1682,1819,2000,2000,--,--,--,27394,27394,27394,27394,34975,34826,34751,34714,34614,35094,35229,20550,20632,20542,20649,20895,21955,22060,25723,37072,37000,31192,31578,32392,33246,33018,33415,32255,33171,26416,26366,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,0,
投资性房地产(万元),53644,45236,45450,45664,46506,41077,34111,27299,27433,17895,17997,18091,18187,18284,15861,15945,16029,16114,16198,1580,1595,1610,1625,1640,1655,1395,1404,1413,1422,1443,1443,1449,1458,1467,1473,1485,1494,--,--,0,0,
固定资产原值(万元),60097,--,36682,--,36675,--,31109,--,34658,--,33775,--,33389,--,35270,--,34714,--,34137,--,25941,--,25397,--,25199,--,24814,--,23708,--,19236,--,19136,--,19146,--,27557,--,22706,--,22604,
累计折旧(万元),15728,--,14936,--,14250,--,11844,--,12586,--,11600,--,10541,--,10949,--,9970,--,8635,--,7875,--,7247,--,6457,--,6895,--,6311,--,7938,--,8001,--,7933,--,11214,--,11014,--,10262,
