报告日期,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,
货币资金(万元),715,1572,3462,3344,2846,5528,5530,116,286,13657,15097,16659,18980,3640,472,2992,3049,9992,9537,6387,1761,3317,6883,4735,9886,517,776,670,1049,46,98,17,12,540,640,555,1624,3813,8393,1162,4902,4388,4183,576,3392,2978,2350,1036,2724,2049,258,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,4000,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,--,
应收票据(万元),575,265,278,125,1155,485,115,--,--,267,--,--,--,60,87,210,--,190,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,47,188,292,145,10,60,20,53,20,--,156,180,5,198,118,10,
应收账款(万元),18834,16846,14212,14886,14109,11691,8887,20089,17963,15446,13482,12918,10743,8887,7417,2014,638,308,308,6,6,9,106,714,281,--,56,--,--,--,--,--,--,--,--,208,284,206,263,286,435,404,468,0,599,--,--,--,325,--,60,
预付款项(万元),90,102,0,25,61,51,1,--,--,--,3,--,--,--,--,--,--,--,413,49,13,18,--,20,232,319,75,52,--,--,--,--,--,--,--,3696,568,1124,2822,557,839,532,410,1411,778,763,789,521,549,551,889,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,--,
