报告日期,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,
货币资金(万元),4678,2748,2253,5282,6893,3330,2237,2572,3361,5041,
结算备付金(万元),0,--,--,--,--,--,--,--,--,0,
拆出资金(万元),0,--,--,--,--,--,--,--,--,0,
交易性金融资产(万元),0,--,--,--,--,--,--,--,--,0,
衍生金融资产(万元),0,--,--,--,--,--,--,--,--,0,
应收票据(万元),2596,2859,378,1146,1460,8163,2551,2251,1959,3550,
应收账款(万元),750,208,617,724,1046,1849,1880,1899,2933,2432,
预付款项(万元),738,548,728,1682,1540,1490,2429,829,1668,1912,
应收保费(万元),0,--,--,--,--,--,--,--,--,0,
应收分保账款(万元),0,--,--,--,--,--,--,--,--,0,
应收分保合同准备金(万元),0,--,--,--,--,--,--,--,--,0,
应收利息(万元),0,--,--,--,--,--,--,--,--,0,
应收股利(万元),0,--,--,--,--,--,--,--,--,0,
其他应收款(万元),340,310,612,366,488,221,872,798,637,299,
应收出口退税(万元), 0,--,--,--,--,--,--,--,--,0,
应收补贴款(万元),0,--,--,--,--,--,--,--,--,0,
应收保证金(万元),0,--,--,--,--,--,--,--,--,0,
内部应收款(万元),0,--,--,--,--,--,--,--,--,0,
买入返售金融资产(万元),0,--,--,--,--,--,--,--,--,0,
存货(万元),9686,10090,13155,10722,13041,10374,10664,8154,6874,6139,
待摊费用(万元),0,--,--,--,--,--,--,--,--,0,
待处理流动资产损益(万元),0,--,--,--,--,--,--,--,--,0,
一年内到期的非流动资产(万元),0,--,--,--,--,--,--,--,--,0,
其他流动资产(万元),0,--,--,--,--,--,--,--,--,0,
流动资产合计(万元),18787,16764,17743,19921,24467,25426,20633,16503,17432,19372,
发放贷款及垫款(万元),0,--,--,--,--,--,--,--,--,0,
可供出售金融资产(万元),0,0,0,--,--,--,--,--,--,0,
持有至到期投资(万元),0,--,--,--,--,--,--,--,--,0,
长期应收款(万元),0,--,--,--,--,--,--,--,--,0,
长期股权投资(万元),361,361,432,432,515,515,515,466,466,466,
其他长期投资(万元),0,--,--,--,--,--,--,--,--,0,
投资性房地产(万元),10,10,10,81,79,82,--,--,--,85,
固定资产原值(万元),--,97979,--,96756,--,96531,--,96180,--,95928,
累计折旧(万元),--,51278,--,51020,--,49441,--,47468,--,44175,
固定资产净值(万元),--,46701,--,45737,--,47090,--,48712,--,51753,
固定资产减值准备(万元),--,5616,--,5626,--,5626,--,5626,--,5626,
固定资产(万元),40372,41084,39875,40111,40620,41464,42473,43087,44559,46127,
在建工程(万元),342,60,1106,711,554,169,7,675,278,90,
工程物资(万元),0,--,--,--,--,--,--,--,--,0,
固定资产清理(万元),0,--,--,2,--,--,--,--,--,0,
生产性生物资产(万元),0,--,--,--,--,--,--,--,--,0,
公益性生物资产(万元),0,--,--,--,--,--,--,--,--,0,
油气资产(万元),0,--,--,--,--,--,--,--,--,0,
无形资产(万元),4599,4623,4648,513,517,520,525,529,534,538,
开发支出(万元),0,--,--,--,--,--,--,--,--,0,
商誉(万元),0,--,--,--,--,--,--,--,--,0,
长期待摊费用(万元),0,--,--,--,--,--,--,--,--,0,
股权分置流通权(万元),0,--,--,--,--,--,--,--,--,0,
递延所得税资产(万元),0,--,200,158,496,276,488,488,554,353,
其他非流动资产(万元),0,--,--,--,--,--,--,--,--,0,
非流动资产合计(万元),45684,46139,46271,42007,42781,43027,44007,45245,46390,47660,
资产总计(万元),64472,62903,64014,61928,67248,68453,64640,61748,63822,67031,
短期借款(万元),26350,23850,23850,20850,20350,21422,13850,10500,13000,15960,
向中央银行借款(万元),0,--,--,--,--,--,--,--,--,0,
吸收存款及同业存放(万元),0,--,--,--,--,--,--,--,--,0,
拆入资金(万元),0,--,--,--,--,--,--,--,--,0,
交易性金融负债(万元),0,0,0,--,--,--,--,--,--,0,
衍生金融负债(万元),0,--,--,--,--,--,--,--,--,0,
应付票据(万元),2307,1625,1025,300,--,988,--,--,--,0,
应付账款(万元),6751,7179,6117,3781,5361,2802,2555,2444,2486,2694,
预收账款(万元),1680,1322,1399,1972,3470,1568,1507,2858,1962,2118,
卖出回购金融资产款(万元),0,--,--,--,--,--,--,--,--,0,
应付手续费及佣金(万元),0,--,--,--,--,--,--,--,--,0,
应付职工薪酬(万元),326,315,154,160,124,740,720,633,304,747,
应交税费(万元),-253,-144,-119,324,-473,658,414,-161,-88,-69,
应付利息(万元),0,46,--,40,--,40,--,--,--,31,
应付股利(万元),0,0,--,--,--,--,--,914,--,0,
其他应交款(万元),0,--,--,--,--,--,--,--,--,0,
应付保证金(万元),0,--,--,--,--,--,--,--,--,0,
内部应付款(万元),0,--,--,--,--,--,--,--,--,0,
其他应付款(万元),1227,1100,957,1178,1324,836,3103,2644,4710,1983,
预提费用(万元),0,--,--,--,--,--,--,--,--,0,
预计流动负债(万元),0,--,--,--,--,--,--,--,--,0,
应付分保账款(万元),0,--,--,--,--,--,--,--,--,0,
保险合同准备金(万元),0,--,--,--,--,--,--,--,--,0,
代理买卖证券款(万元),0,--,--,--,--,--,--,--,--,0,
代理承销证券款(万元),0,--,--,--,--,--,--,--,--,0,
国际票证结算(万元),0,--,--,--,--,--,--,--,--,0,
国内票证结算(万元),0,--,--,--,--,--,--,--,--,0,
递延收益(万元),0,--,--,--,--,--,--,--,--,0,
应付短期债券(万元),0,--,--,--,--,--,--,--,--,0,
一年内到期的非流动负债(万元),0,--,--,--,--,463,3463,3463,3463,3463,
其他流动负债(万元),0,--,--,--,114,234,62,--,--,180,
流动负债合计(万元),38387,35293,33383,28604,30268,29751,25675,23296,25837,27107,
长期借款(万元),0,--,--,--,--,--,--,--,--,0,
应付债券(万元),0,--,--,--,--,--,--,--,--,0,
长期应付款(万元),0,--,1,8,1108,1254,1417,1576,1735,1894,
专项应付款(万元),0,--,--,--,130,--,180,542,542,0,
预计非流动负债(万元),0,--,--,--,--,--,--,--,--,0,
长期递延收益(万元),--,--,--,--,--,--,--,--,--,--,
递延所得税负债(万元),0,--,--,--,--,--,--,--,--,0,
其他非流动负债(万元),212,219,227,234,--,--,--,--,--,0,
非流动负债合计(万元),212,219,227,242,1238,1254,1597,2118,2277,1894,
负债合计(万元),38598,35512,33611,28846,31506,31005,27272,25414,28114,29001,
实收资本(或股本)(万元),18721,18721,18721,18721,18721,18721,18721,18721,18721,18721,
资本公积(万元),10767,10767,10767,10767,10767,10767,10767,10405,10405,10767,
减:库存股(万元),0,--,--,--,--,--,--,--,--,0,
专项储备(万元),--,--,--,--,--,--,--,--,--,--,
盈余公积(万元),1867,1867,1864,1864,1769,1847,1646,1646,1646,1734,
一般风险准备(万元),12,--,--,--,--,--,--,--,--,0,
未确定的投资损失(万元),0,--,--,--,--,--,--,--,--,0,
未分配利润(万元),-6189,-4764,-1990,614,3470,5092,5202,4561,3986,5913,
拟分配现金股利(万元),0,--,--,--,--,--,--,--,--,0,
外币报表折算差额(万元),0,--,--,--,--,--,--,--,--,0,
归属于母公司股东权益合计(万元),25178,26590,29361,31965,34727,36427,36336,35333,34759,37135,
少数股东权益(万元),695,801,1042,1116,1015,1021,1033,1000,950,895,
