报告日期,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,
货币资金(万元),62709,64738,70452,60566,46953,40017,62873,48681,56824,43030,42906,49611,46692,42283,65611,61503,60454,54264,65386,62866,59175,44561,52811,68972,59155,39573,52136,56000,49254,48887,46223,47814,40441,41272,44673,17648,31218,67860,58130,78464,74535,79293,42345,43580,36877,33994,39496,31207,36895,35593,31824,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,0,0,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,0,0,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,50,50,50,50,66,80,287,287,--,--,--,--,--,--,0,0,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,0,
应收票据(万元),81939,78911,79926,78181,71221,62357,76048,71578,69705,57859,67050,59763,49242,49115,58908,56128,49010,66908,84059,91298,77921,65129,73330,66926,71196,51833,65753,65664,55944,55971,75035,52248,31577,44747,43031,69152,47557,28519,29573,18283,22781,10048,10963,10378,15776,17635,9220,20015,15344,12992,10608,
应收账款(万元),137488,127618,114903,129427,143076,124454,99602,115197,122765,96291,103660,102712,105044,92755,89484,91954,113279,85404,81759,112406,121326,124671,99987,116464,137191,107902,94400,91137,95316,94425,74519,39595,64983,59815,50127,62560,55654,56006,47691,40659,37339,34916,33588,23126,29773,35735,23994,31082,35194,35842,27483,
预付款项(万元),6159,5837,5179,9117,9671,10264,9005,5941,7354,7968,6318,12810,15072,11982,12139,12380,15086,25132,13816,14172,13637,15994,12741,12175,14080,16294,12590,12872,18429,12912,14258,18426,21319,16603,16335,5467,17720,14324,14180,5658,1451,10667,9724,16375,18312,22617,17356,18903,12135,5873,8895,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,0,0,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,0,0,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,0,0,
应收利息(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,0,0,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,2740,2740,2740,2740,2740,2740,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,0,0,
其他应收款(万元),418,--,325,324,1261,317,250,906,762,1875,859,2771,1572,2463,930,2001,3149,4051,2278,977,1598,1578,1029,1507,2046,2042,1234,1562,1328,1902,1492,2608,7064,2669,1896,1809,3535,4151,4632,6787,5070,4692,5684,3453,3590,2802,4792,4182,2673,3289,2198,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,0,0,
