报告日期,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,
货币资金(万元),169719,212338,139910,110414,108460,121151,138405,95144,89018,73102,71750,62656,
结算备付金(万元),0,0,0,0,0,--,--,--,--,--,--,0,
拆出资金(万元),0,0,0,0,0,--,--,--,--,--,--,0,
交易性金融资产(万元),0,0,0,0,0,--,--,--,--,--,--,0,
衍生金融资产(万元),0,0,0,0,0,--,--,--,--,--,--,0,
应收票据(万元),0,0,0,0,0,--,--,--,--,--,--,0,
应收账款(万元),54551,50896,57509,51207,84448,77095,75774,81460,75645,68891,56947,59499,
预付款项(万元),41719,29174,35202,27438,32969,37553,46793,44161,37351,23430,23460,25515,
应收保费(万元),0,0,0,0,0,--,--,--,--,--,--,0,
应收分保账款(万元),0,0,0,0,0,--,--,--,--,--,--,0,
应收分保合同准备金(万元),0,0,0,0,0,--,--,--,--,--,--,0,
应收利息(万元),0,0,0,0,0,--,--,--,--,--,--,0,
应收股利(万元),0,806,0,0,0,--,--,--,--,--,--,0,
其他应收款(万元),53791,57471,56663,47753,55401,52627,48826,46916,48866,50689,62381,44531,
应收出口退税(万元), 0,0,0,0,0,--,--,--,--,--,--,0,
应收补贴款(万元),0,0,0,0,0,--,--,--,--,--,--,0,
应收保证金(万元),0,0,0,0,0,--,--,--,--,--,--,0,
内部应收款(万元),0,0,0,0,0,--,--,--,--,--,--,0,
买入返售金融资产(万元),0,0,0,0,0,--,--,--,--,--,--,0,
存货(万元),30486,32348,31735,31507,30815,29088,25497,24404,23883,23817,19895,22367,
待摊费用(万元),0,0,0,0,0,--,--,--,--,--,--,0,
待处理流动资产损益(万元),0,0,0,0,0,--,--,--,--,--,--,0,
一年内到期的非流动资产(万元),0,0,0,0,0,--,--,--,--,--,--,0,
其他流动资产(万元),0,0,0,0,0,--,--,--,--,--,-1018,0,
流动资产合计(万元),350267,383033,321019,268319,312093,317514,335294,292085,274762,239930,233414,214568,
发放贷款及垫款(万元),0,0,0,0,0,--,--,--,--,--,--,0,
可供出售金融资产(万元),548,644,499,302,209,188,237,928,1018,812,23,585,
持有至到期投资(万元),0,0,0,0,0,--,--,--,--,--,--,0,
长期应收款(万元),0,0,0,0,0,--,--,--,--,--,886,0,
长期股权投资(万元),25387,25018,25779,25180,20880,21088,20861,20685,19442,16713,11082,14024,
其他长期投资(万元),0,0,0,0,0,--,--,--,--,--,--,0,
投资性房地产(万元),1234,1241,1248,1255,1262,1269,1276,1284,--,--,--,1312,
固定资产原值(万元),0,1251587,0,1207037,0,1128929,--,1086900,--,1203962,--,1163470,
累计折旧(万元),0,432725,0,403258,0,377069,--,352007,--,463297,--,432127,
固定资产净值(万元),0,818862,0,803780,0,751860,--,734893,--,740665,--,731343,
固定资产减值准备(万元),0,0,0,0,0,0,--,--,--,--,--,0,
固定资产(万元),913504,818862,792072,803780,775030,751860,733525,734893,798525,740665,753311,731343,
在建工程(万元),263109,311389,308114,270383,285871,296167,243867,201419,184468,155557,132218,117863,
工程物资(万元),0,0,0,0,0,--,0,0,--,1,--,2,
固定资产清理(万元),0,0,0,0,0,--,--,--,--,--,--,0,
生产性生物资产(万元),0,0,0,0,0,--,--,--,--,--,--,0,
公益性生物资产(万元),0,0,0,0,0,--,--,--,--,--,--,0,
油气资产(万元),0,0,0,0,0,--,--,--,--,--,--,0,
无形资产(万元),11945,12049,12128,12178,14455,14523,14648,14687,14784,15292,4998,14989,
开发支出(万元),0,0,0,0,0,--,--,--,--,--,--,0,
商誉(万元),0,0,0,0,0,--,--,--,--,--,--,0,
长期待摊费用(万元),36587,38865,35706,35500,34203,33783,24397,33112,15268,12772,13667,21190,
股权分置流通权(万元),0,0,0,0,0,--,--,--,--,--,--,0,
递延所得税资产(万元),788,838,790,799,1136,779,519,741,2123,2741,--,514,
其他非流动资产(万元),2929,3379,3147,3534,3379,3489,4151,3958,779,779,--,4299,
非流动资产合计(万元),1256031,1212283,1179482,1152910,1136426,1123146,1043482,1011705,1036408,945331,916186,906120,
资产总计(万元),1606297,1595316,1500501,1421228,1448519,1440659,1378776,1303790,1311170,1185261,1149601,1120688,
短期借款(万元),504464,553700,531589,489994,471307,393169,401900,326444,314263,360982,345471,191350,
向中央银行借款(万元),0,0,0,0,0,--,--,--,--,--,--,0,
吸收存款及同业存放(万元),0,0,0,0,0,--,--,--,--,--,--,0,
拆入资金(万元),0,0,0,0,0,--,--,--,--,--,--,0,
交易性金融负债(万元),4728,5804,13676,17246,1988,--,--,--,--,--,--,0,
衍生金融负债(万元),0,0,0,0,0,--,--,--,--,--,--,0,
应付票据(万元),70346,90389,112507,85839,68324,45811,21807,67111,80314,68467,56489,60102,
应付账款(万元),179187,153744,161260,179255,192300,188183,188510,162421,102497,90732,42494,90331,
预收账款(万元),23224,19809,17403,20204,18660,17093,17797,24365,82609,59577,94382,17130,
卖出回购金融资产款(万元),0,0,0,0,0,--,--,--,--,--,--,0,
应付手续费及佣金(万元),0,0,0,0,0,--,--,--,--,--,--,0,
应付职工薪酬(万元),5544,3098,4589,4100,3638,2781,2343,5349,2124,2263,725,2287,
