报告日期,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,
货币资金(万元),111,104,332,3743,3721,6993,11651,7117,7048,7259,7073,7153,7130,8473,13673,13991,13223,11984,11594,11414,13529,24425,24073,14643,12733,12308,9625,7433,5652,2190,2358,2990,2342,5375,5707,4667,10253,16340,6752,3754,3131,3155,5789,3825,4444,15241,24253,31011,36301,39198,40700,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,0,0,0,0,0,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,0,0,0,0,0,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,0,0,0,0,0,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,0,0,0,0,--,--,--,
应收票据(万元),--,--,--,--,--,--,--,29,54,60,37,--,--,--,--,--,--,11,138,1196,562,2371,972,1638,5383,1563,1352,1253,3883,5508,1663,1097,490,2744,754,518,650,707,109,2,2,2,91,566,1054,417,98,612,355,465,222,
应收账款(万元),12096,14346,12107,12098,11953,10737,13020,17843,13668,11338,13770,10414,9497,6187,4459,5240,7377,7470,5383,14140,8515,8856,2027,2956,3299,2695,1401,8256,6397,4841,1259,3312,4687,5955,2609,945,1033,789,664,813,820,842,901,1566,1734,981,956,2193,1892,2867,1894,
预付款项(万元),2007,2599,2599,1724,1724,261,261,--,--,443,443,--,--,954,954,--,--,1028,1028,--,--,806,806,--,--,808,808,--,--,454,454,--,--,514,514,--,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,0,0,0,0,0,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,0,0,0,0,0,--,--,
