报告日期,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,
货币资金(万元),156175,253084,165204,220360,134980,133534,147876,207063,163898,99241,112522,143868,90559,98646,87606,108843,83724,46893,34651,86590,
结算备付金(万元),--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,0,0,--,0,
拆出资金(万元),--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,0,0,--,0,
交易性金融资产(万元),--,--,--,--,--,0,--,0,0,0,--,--,--,--,--,--,0,0,--,0,
衍生金融资产(万元),--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,0,0,--,0,
应收票据(万元),315,615,1435,156,50,50,0,50,400,500,200,400,--,20,70,70,790,1143,793,1055,
应收账款(万元),195138,179225,190889,235747,187861,175291,165626,163946,121645,114571,104131,124803,55571,54482,49192,52070,56682,60887,53194,57232,
预付款项(万元),96453,78908,107337,90175,149069,140363,138328,96377,100081,95024,79102,57240,92103,82128,61719,51993,76410,57126,53868,33571,
应收保费(万元),--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,0,0,--,0,
应收分保账款(万元),--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,0,0,--,0,
应收分保合同准备金(万元),--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,0,0,--,0,
应收利息(万元),--,--,--,--,--,0,--,0,0,0,--,--,--,--,--,--,0,0,--,0,
应收股利(万元),--,--,--,--,--,0,--,0,0,0,--,--,--,--,2397,2397,0,0,--,0,
其他应收款(万元),78261,69978,66600,67390,80875,73840,57215,65620,65495,49756,53385,43155,45407,38342,35592,27568,41200,33966,35348,28297,
应收出口退税(万元), --,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,0,0,--,0,
应收补贴款(万元),--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,0,0,--,0,
应收保证金(万元),--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,0,0,--,0,
内部应收款(万元),--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,0,0,--,0,
买入返售金融资产(万元),--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,0,0,--,0,
存货(万元),423666,413308,301573,294205,287016,275417,235029,217917,267209,266683,269242,218962,242885,198182,157157,154536,192435,186496,175074,194630,
待摊费用(万元),--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,0,0,--,0,
待处理流动资产损益(万元),--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,0,0,--,0,
一年内到期的非流动资产(万元),--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,0,0,--,0,
其他流动资产(万元),--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,0,0,--,0,
流动资产合计(万元),950008,995117,833039,908034,839852,798494,744073,750974,718728,625775,618582,588429,526525,471800,393733,397476,451242,386511,352927,401374,
发放贷款及垫款(万元),--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,0,0,--,0,
可供出售金融资产(万元),--,--,--,--,--,0,--,0,--,0,0,0,--,--,--,--,0,0,--,0,
持有至到期投资(万元),--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,0,0,--,0,
长期应收款(万元),--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,0,0,--,0,
长期股权投资(万元),26290,26093,25865,25686,21622,21495,21288,21194,58033,64748,64589,64637,64648,76647,76437,76380,63124,62272,60932,60222,
其他长期投资(万元),--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,0,0,--,0,
投资性房地产(万元),29966,30249,30533,30817,31100,31384,31668,31951,32235,32519,32802,33086,33370,33653,33937,34221,0,34788,35072,35356,
固定资产原值(万元),--,96068,--,89105,--,79240,--,74665,--,64542,--,64200,--,36551,--,37583,0,57231,--,58556,
累计折旧(万元),--,38088,--,32509,--,31335,--,25227,--,21643,--,19332,--,18301,--,17168,0,29096,--,27343,
固定资产净值(万元),--,57979,--,56596,--,47906,--,49437,--,42899,--,44868,--,18250,--,20415,0,28135,--,31213,
固定资产减值准备(万元),--,--,--,--,--,0,--,66,--,66,--,100,--,143,--,143,0,321,--,323,
固定资产(万元),60472,57979,56566,56596,46875,47906,48955,49371,43023,42833,43464,44768,22680,18107,19611,20271,63851,27814,29840,30890,
在建工程(万元),--,--,--,--,2277,2277,--,0,--,0,--,--,4385,973,--,--,70,1462,65,63,
工程物资(万元),--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,0,0,--,0,
固定资产清理(万元),--,--,--,--,--,0,--,0,--,0,--,--,--,--,-0,--,6,0,-12,0,
生产性生物资产(万元),--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,0,0,--,0,
公益性生物资产(万元),--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,0,0,--,0,
油气资产(万元),--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,0,0,--,0,
无形资产(万元),1209049,1040655,933207,815874,624982,528585,453103,356938,207622,130077,69078,48571,8855,5166,830,174,156,182,211,240,
开发支出(万元),--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,0,0,--,0,
商誉(万元),3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,123,52,--,54,
长期待摊费用(万元),5478,4931,5823,6112,6797,5955,5989,5711,4906,4387,3259,3249,4270,10472,8229,6213,377,242,195,1811,
股权分置流通权(万元),--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,0,0,--,0,
递延所得税资产(万元),2642,2432,2147,2133,2128,2094,2118,1743,2383,1411,1409,1450,1136,1206,753,746,718,700,715,714,
其他非流动资产(万元),--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,1176,1048,1408,0,
非流动资产合计(万元),1333899,1162342,1054143,937220,735784,639698,563122,466910,348204,275976,214605,195764,139347,146226,139799,138007,129601,128560,128425,129351,
资产总计(万元),2283906,2157459,1887182,1845254,1575636,1438193,1307195,1217884,1066932,901751,833187,784192,665871,618026,533531,535483,580843,515071,481353,530725,
短期借款(万元),81000,77000,52000,52000,75100,64500,54500,43000,62400,52400,51600,43200,61000,61000,46000,46000,34000,21000,19500,17500,
向中央银行借款(万元),--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,0,0,--,0,
吸收存款及同业存放(万元),--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,0,0,--,0,
拆入资金(万元),--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,0,0,--,0,
交易性金融负债(万元),--,--,--,--,--,0,--,0,--,0,0,0,--,--,--,--,0,0,27192,56843,
衍生金融负债(万元),--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,0,0,--,0,
应付票据(万元),19930,25425,18039,20929,16796,30547,44457,49269,22415,19811,8290,7961,8434,6984,4445,4130,5816,6748,11521,12442,
应付账款(万元),402677,318575,275720,282519,247380,250303,229510,262578,222765,202141,183212,212775,129258,120615,84300,106025,99279,98669,91897,119388,
预收账款(万元),290708,272499,264058,257619,243126,207231,198382,182086,211186,227198,238306,178067,184920,142270,122531,110779,143864,127078,109690,105670,
卖出回购金融资产款(万元),--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,0,0,--,0,
应付手续费及佣金(万元),--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,0,0,--,0,
应付职工薪酬(万元),5553,6347,5188,5256,4323,4588,4180,5762,7615,5478,6348,9391,9885,9920,9353,10655,4309,4707,5146,8399,
应交税费(万元),23635,23444,15515,17261,15697,14595,17040,18101,14597,13507,11900,12890,12572,11577,10084,11677,9324,9385,8703,10638,
应付利息(万元),5611,5171,662,--,2017,1377,--,0,--,0,--,--,--,--,--,--,0,0,--,0,
应付股利(万元),2752,2752,2005,2005,2005,2005,1272,1272,1272,1272,26,26,2005,2005,2005,2114,2801,3294,2070,2088,
其他应交款(万元),--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,0,0,--,0,
应付保证金(万元),--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,0,0,--,0,
内部应付款(万元),--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,0,0,--,0,
其他应付款(万元),58653,51777,48676,46387,50846,47535,48457,41655,39310,29983,34727,31075,24009,31855,31554,22292,35594,31163,30160,23318,
预提费用(万元),--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,0,0,--,0,
预计流动负债(万元),--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,0,0,--,0,
应付分保账款(万元),--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,0,0,--,0,
保险合同准备金(万元),--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,0,0,--,0,
代理买卖证券款(万元),--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,0,0,--,0,
代理承销证券款(万元),--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,0,0,--,0,
国际票证结算(万元),--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,0,0,--,0,
国内票证结算(万元),--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,0,0,--,0,
递延收益(万元),--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,0,0,--,0,
应付短期债券(万元),--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,27731,27461,--,0,
一年内到期的非流动负债(万元),--,--,--,--,10000,13000,18000,18000,13000,10000,13000,13000,2000,15000,2000,2000,4000,4250,4500,4750,
其他流动负债(万元),--,--,--,--,--,0,--,0,23,23,--,23,123,123,123,246,0,0,--,249,
流动负债合计(万元),890519,782990,681864,683976,667289,635682,615798,621723,594582,561812,547410,508408,434206,401348,312394,315919,366717,333755,310379,361284,
长期借款(万元),1042160,1032160,876210,837210,611400,517600,424800,349500,246000,132000,81223,72359,32495,18000,26000,26000,22957,14957,6957,6957,
应付债券(万元),--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,0,0,--,0,
长期应付款(万元),--,--,--,--,--,0,--,0,--,0,23,--,641,572,639,--,0,0,--,0,
专项应付款(万元),--,--,328,--,--,0,--,0,--,0,--,--,--,--,--,--,249,249,249,0,
预计非流动负债(万元),--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,0,0,--,0,
长期递延收益(万元),--,--,--,--,--,0,--,0,--,--,--,--,--,--,--,--,0,--,--,--,
递延所得税负债(万元),16,16,16,16,16,16,16,16,26,26,--,26,34,34,20,20,211,233,211,214,
其他非流动负债(万元),4599,351,23,23,23,23,23,23,--,0,--,--,--,--,--,--,0,0,--,0,
非流动负债合计(万元),1046774,1032526,876576,837248,611438,517638,424838,349538,246026,132026,81246,72385,33170,18605,26660,26020,23417,15439,7417,7171,
负债合计(万元),1937293,1815516,1558440,1521224,1278727,1153320,1040636,971261,840608,693838,628656,580794,467376,419953,339053,341939,390134,349194,317796,368455,
实收资本(或股本)(万元),40813,40813,40813,40813,40813,40813,40813,40813,40813,40813,40813,40813,40813,40813,40813,40813,40813,40813,40813,40813,
资本公积(万元),86176,86176,86176,86176,86176,86176,86172,86172,86172,86172,86172,86172,86172,86172,86185,86185,86292,86292,86292,86292,
减:库存股(万元),--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,0,0,--,0,
专项储备(万元),3329,2322,3212,1767,4352,3456,3155,1599,2586,850,--,--,--,--,--,--,0,--,--,--,
盈余公积(万元),5158,5158,5158,5158,3891,3891,3891,3891,2536,2536,2971,2818,1711,1711,1711,1711,11239,11239,11239,1501,
一般风险准备(万元),--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,0,0,--,0,
未确定的投资损失(万元),--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,0,0,--,0,
未分配利润(万元),79649,75944,71047,67852,62088,59295,55507,52903,50639,48727,45714,44673,40648,40173,36651,35664,23671,22134,19905,28410,
拟分配现金股利(万元),--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,0,0,--,0,
外币报表折算差额(万元),-80,-4,3,2,-2,0,--,0,1,1,--,--,--,--,--,--,0,0,--,0,
归属于母公司股东权益合计(万元),215044,210409,206409,201768,197319,193631,189538,185378,182748,179099,175669,174475,169345,168870,165361,164374,162015,160478,158249,157017,
少数股东权益(万元),131569,131534,122333,122262,99590,91242,77021,61245,43576,28814,28862,28923,29150,29203,29117,29171,28693,5399,5307,5253,
所有者权益(或股东权益)合计(万元),346614,341943,328742,324030,296908,284873,266559,246623,226323,207913,204531,203398,198495,198073,194478,193544,190709,165878,163556,162269,
负债和所有者权益(或股东权益)总计(万元),2283906,2157459,1887182,1845254,1575636,1438193,1307195,1217884,1066932,901751,833187,784192,665871,618026,533531,535483,580843,515071,481353,530725,		
  
