报告日期,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,
货币资金(万元),30419,101102,84096,179961,67204,79429,54358,180099,44333,34904,79126,196384,59236,96720,141540,169267,70537,110019,46074,83180,30279,46792,44452,52797,57848,32415,15542,23685,34635,12341,24819,49535,25569,35971,33357,26246,24323,28953,19407,13973,13746,9597,7187,28375,11568,6241,6952,8283,9450,14604,9754,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,--,--,--,0,--,0,0,--,--,0,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,--,--,--,0,--,0,0,--,--,0,
交易性金融资产(万元),--,--,9,52,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,13,--,--,--,0,--,--,--,724,1018,929,243,1158,1970,1134,936,1940,2007,2346,--,0,--,0,0,--,0,0,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,--,--,--,0,--,0,0,--,--,0,
应收票据(万元),1160,--,--,--,--,--,12,16,12,--,--,--,5,5,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,0,0,--,0,--,--,--,0,--,0,0,--,0,0,
应收账款(万元),44114,39230,41373,60490,64113,56994,55091,51257,49230,39728,32277,33605,38666,33921,25578,39453,43865,31536,21704,32559,28200,30416,25052,34599,26269,26160,18609,21744,23555,25176,18570,26830,23581,22062,19244,21166,20788,19807,14255,15078,15535,14549,12612,21497,22590,22522,20835,25683,20568,17493,15821,
预付款项(万元),26427,27314,26593,23940,23659,21681,22269,30503,31014,28334,24914,19983,17809,16560,15490,17132,14842,13895,13889,13582,9103,9525,8818,9275,8735,6337,5693,6924,6569,5686,4135,4006,4113,2637,2835,3846,3872,1898,2250,5647,3357,3705,2912,2178,1881,2247,2079,3547,2320,1764,1810,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,--,--,--,0,--,0,0,--,--,0,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,--,--,--,0,--,0,0,--,--,0,
