报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,
营业总收入(万元),65858,42886,29702,11759,1956,
营业收入(万元),65858,42886,29702,11759,1956,
利息收入(万元),--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,
营业总成本(万元),55741,33012,24093,9514,2483,
营业成本(万元),46479,25030,18267,7363,1384,
利息支出(万元),--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,
研发费用(万元),2714,2273,1510,394,--,
退保金(万元),--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,
分保费用(万元),--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,
营业税金及附加(万元),590,524,47,58,10,
销售费用(万元),1817,1906,1034,445,181,
管理费用(万元),2078,2132,2516,792,862,
财务费用(万元),-53,140,52,120,32,
资产减值损失(万元),2116,1007,667,342,14,
公允价值变动收益(万元),--,--,--,--,--,
投资收益(万元),92,37,42,--,--,
对联营企业和合营企业的投资收益(万元),92,-26,42,--,--,
汇兑收益(万元),--,--,--,--,--,
期货损益(万元),--,--,--,--,--,
托管收益(万元),--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,
营业利润(万元),11155,10230,5651,2246,-527,
营业外收入(万元),13,15,95,5,12,
营业外支出(万元),44,3,4,0,0,
非流动资产处置损失(万元),--,--,--,--,--,
利润总额(万元),11123,10242,5742,2250,-516,
所得税费用(万元),1600,1547,954,110,--,
未确认投资损失(万元),--,--,--,--,--,
净利润(万元),9523,8695,4788,2140,-516,
归属于母公司所有者的净利润(万元),9533,8692,4750,2140,-516,
被合并方在合并前实现净利润(万元),--,--,-53,-50,--,
少数股东损益(万元),-9,3,38,--,--,
基本每股收益,1.59,1.45,0.79,--,--,
稀释每股收益,1.59,1.45,0.79,--,--,
