报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,
营业总收入(万元),124010,103118,89048,74201,65072,
营业收入(万元),124010,103118,89048,74201,65072,
利息收入(万元),--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,
营业总成本(万元),97787,79837,64333,60624,52581,
营业成本(万元),63137,52720,47005,45822,39786,
利息支出(万元),--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,
研发费用(万元),1125,851,953,--,--,
退保金(万元),--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,
分保费用(万元),--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,
营业税金及附加(万元),1621,1391,1272,738,543,
销售费用(万元),27552,20736,15447,11209,8799,
管理费用(万元),4489,3362,2435,3264,3315,
财务费用(万元),-482,675,-1302,-409,138,
资产减值损失(万元),345,102,-1477,--,--,
公允价值变动收益(万元),--,--,--,--,--,
投资收益(万元),11,--,58,--,--,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,
期货损益(万元),--,--,--,--,--,
托管收益(万元),--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,
营业利润(万元),27686,24071,24772,13577,12490,
营业外收入(万元),116,83,147,112,232,
营业外支出(万元),31,269,102,--,15,
非流动资产处置损失(万元),--,--,--,--,15,
利润总额(万元),27771,23884,24817,13689,12708,
所得税费用(万元),5338,4393,4182,2140,1884,
未确认投资损失(万元),--,--,--,--,--,
净利润(万元),22432,19491,20636,11548,10824,
归属于母公司所有者的净利润(万元),22384,19491,20658,11559,10824,
被合并方在合并前实现净利润(万元),--,--,4646,--,--,
少数股东损益(万元),48,--,-22,-11,--,
基本每股收益,1.49,1.3,1.38,0.77,0.72,
稀释每股收益,--,--,--,--,--,
