报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,
营业总收入(万元),94372,66263,71298,81232,75191,71064,64548,65495,56679,45117,36761,
营业收入(万元),94372,66263,71298,81232,75191,71064,64548,65495,56679,45117,36761,
利息收入(万元),--,--,--,--,--,--,--,--,0,0,0,
已赚保费(万元),--,--,--,--,--,--,--,--,0,0,0,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,0,0,0,
房地产销售收入(万元),--,--,--,--,--,--,--,--,0,0,0,
其他业务收入(万元),--,--,--,--,--,--,--,--,0,0,0,
营业总成本(万元),73923,55696,57714,68346,60480,56553,52499,56092,48375,37748,32096,
营业成本(万元),49728,48355,50985,57826,54341,51724,48812,52102,45137,34653,29525,
利息支出(万元),--,--,--,--,--,--,--,--,0,0,0,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,0,0,0,
房地产销售成本(万元),--,--,--,--,--,--,--,--,0,0,0,
研发费用(万元),5165,--,--,--,--,--,--,--,0,0,0,
退保金(万元),--,--,--,--,--,--,--,--,0,0,0,
赔付支出净额(万元),--,--,--,--,--,--,--,--,0,0,0,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,0,0,0,
保单红利支出(万元),--,--,--,--,--,--,--,--,0,0,0,
分保费用(万元),--,--,--,--,--,--,--,--,0,0,0,
其他业务成本(万元),--,--,--,--,--,--,--,--,0,0,0,
营业税金及附加(万元),1816,1141,972,708,414,302,269,203,39,132,65,
销售费用(万元),9384,735,758,2888,829,1296,1002,888,458,686,575,
管理费用(万元),6384,5832,4776,5841,4463,3758,3407,2743,2233,1731,1225,
财务费用(万元),971,-472,422,549,332,-535,-948,170,526,466,725,
资产减值损失(万元),474,105,-200,534,101,8,-43,-13,-18,80,-21,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,-1,1,-2,
投资收益(万元),-594,-962,-518,-196,947,473,-80,--,3,25,0,
对联营企业和合营企业的投资收益(万元),-993,-1572,-1455,-1054,-156,-8,-81,--,0,0,0,
汇兑收益(万元),--,--,--,--,--,--,--,--,0,0,0,
期货损益(万元),--,--,--,--,--,--,--,--,0,0,0,
托管收益(万元),--,--,--,--,--,--,--,--,0,0,0,
补贴收入(万元),--,--,--,--,--,--,--,--,0,0,0,
其他业务利润(万元),--,--,--,--,--,--,--,--,0,0,0,
营业利润(万元),22208,10743,13066,12691,15659,14984,11969,9402,8306,7394,4663,
营业外收入(万元),32,2,818,305,1165,941,1072,403,1185,1074,549,
营业外支出(万元),50,14,25,78,203,64,97,45,50,94,112,
非流动资产处置损失(万元),--,--,0,27,2,--,14,7,10,16,22,
利润总额(万元),22190,10731,13859,12918,16621,15860,12944,9760,9442,8375,5100,
所得税费用(万元),2886,2657,3820,3925,4301,3991,3304,2505,2336,1964,1170,
未确认投资损失(万元),--,--,--,--,--,--,--,--,0,0,0,
净利润(万元),19304,8074,10040,8993,12320,11870,9640,7254,7106,6411,3930,
归属于母公司所有者的净利润(万元),12971,7683,9746,9504,12231,11698,9582,7254,7106,6411,3930,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,0,0,0,
少数股东损益(万元),6333,391,293,-511,89,171,58,--,0,0,0,
基本每股收益,0.33,0.19,0.26,0.25,0.33,0.63,1.02,0.91,1.02,0.92,0.56,
稀释每股收益,0.33,0.19,0.26,0.25,0.33,0.63,1.02,0.91,1.02,0.92,0.56,
