报告日期,2018-12-31,2017-12-31,2016-12-31,
营业总收入(万元),459721,204191,77535,
营业收入(万元),--,--,--,
利息收入(万元),24221,28200,23031,
已赚保费(万元),--,--,--,
手续费及佣金收入(万元),24845,33205,39019,
房地产销售收入(万元),--,--,--,
其他业务收入(万元),401202,130473,13541,
营业总成本(万元),443133,177882,58132,
营业成本(万元),--,--,--,
利息支出(万元),--,--,--,
手续费及佣金支出(万元),--,--,--,
房地产销售成本(万元),--,--,--,
研发费用(万元),--,--,--,
退保金(万元),--,--,--,
赔付支出净额(万元),--,--,--,
提取保险合同准备金净额(万元),--,--,--,
保单红利支出(万元),--,--,--,
分保费用(万元),--,--,--,
其他业务成本(万元),398623,127861,12272,
营业税金及附加(万元),193,168,603,
销售费用(万元),43384,47359,43478,
管理费用(万元),--,--,--,
财务费用(万元),--,--,--,
资产减值损失(万元),-1001,1291,21,
公允价值变动收益(万元),-13159,14140,-174,
投资收益(万元),21679,-3586,2131,
对联营企业和合营企业的投资收益(万元),--,--,--,
汇兑收益(万元),97,183,-15,
期货损益(万元),--,--,--,
托管收益(万元),--,--,--,
补贴收入(万元),--,--,--,
其他业务利润(万元),--,--,--,
营业利润(万元),16588,26308,19403,
营业外收入(万元),8,13,565,
营业外支出(万元),238,235,156,
非流动资产处置损失(万元),--,--,--,
利润总额(万元),16358,26087,19813,
所得税费用(万元),3995,6640,3809,
未确认投资损失(万元),--,--,--,
净利润(万元),12364,19446,16003,
归属于母公司所有者的净利润(万元),12389,19568,16102,
被合并方在合并前实现净利润(万元),--,--,--,
少数股东损益(万元),-25,-122,-99,
基本每股收益,0.24,0.38,0.32,
稀释每股收益,0.24,0.38,0.32,
