报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,
营业总收入(万元),10523,19531,37521,24687,12194,8266,8200,7548,5252,3371,2230,
营业收入(万元),10523,19531,37521,24687,12194,8266,8200,7548,5252,3371,2230,
利息收入(万元),--,0,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,0,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,0,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),195198,19012,56300,29103,12231,7386,6925,5196,3147,2255,1897,
营业成本(万元),7857,11512,37948,19723,7649,4585,4756,3305,2067,1519,943,
利息支出(万元),--,0,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,0,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),129,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,0,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,0,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,0,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,0,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,0,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),60,66,83,35,16,13,1,--,0,1,0,
销售费用(万元),600,1069,2700,2230,1443,1119,707,361,150,191,603,
管理费用(万元),4483,4177,6649,4874,3080,2261,1678,1253,825,528,326,
财务费用(万元),2097,1736,1575,1259,-180,-563,-270,175,104,14,13,
资产减值损失(万元),179971,452,7345,982,224,-29,52,102,1,3,12,
公允价值变动收益(万元),--,0,--,13,--,0,--,--,--,--,--,
投资收益(万元),217,-58,20,-472,--,0,--,--,--,--,--,
对联营企业和合营企业的投资收益(万元),70,4,44,--,--,0,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,
营业利润(万元),-184263,1117,-18759,-4877,-37,880,1276,2353,2105,1115,333,
营业外收入(万元),24,73,725,487,602,478,910,648,314,112,265,
营业外支出(万元),10321,82,638,295,173,265,251,268,175,183,74,
非流动资产处置损失(万元),--,--,558,292,171,253,248,249,165,183,73,
利润总额(万元),-194560,1108,-18672,-4685,392,1093,1934,2732,2244,1044,524,
所得税费用(万元),88,467,-330,65,181,78,26,30,0,2,13,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,
净利润(万元),-194648,641,-18342,-4750,211,1016,1908,2703,2244,1042,511,
归属于母公司所有者的净利润(万元),-194574,744,-13963,-3566,179,962,1906,2703,2244,1042,511,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,
少数股东损益(万元),-74,-104,-4379,-1184,32,54,2,--,0,0,0,
基本每股收益,-7.09,0.04,-0.72,-0.2,0.02,0.11,0.23,0.4,0.33,0.19,0.14,
稀释每股收益,-7.09,0.04,-0.72,-0.2,0.02,0.11,0.23,0.4,0.33,0.19,0.14,
