报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,2004-12-31,
营业总收入(万元),347326,328296,293981,211948,167383,130080,100631,95789,80389,50243,44220,38653,30255,20112,13509,
营业收入(万元),347326,328296,293981,211948,167383,130080,100631,95789,80389,50243,44220,38653,30255,20029,13441,
利息收入(万元),--,--,--,0,0,0,0,--,--,0,0,0,0,0,0,
已赚保费(万元),--,--,--,--,0,0,0,--,--,0,0,0,0,0,0,
手续费及佣金收入(万元),--,--,--,--,0,0,0,--,--,0,0,0,0,0,0,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,0,0,0,0,83,68,
营业总成本(万元),326157,311213,275573,202870,156023,118941,84120,81131,65334,40614,36438,32098,24993,16648,11423,
营业成本(万元),244652,232117,203858,146486,114222,87372,59053,58598,49712,31472,28113,25447,20412,13423,9303,
利息支出(万元),--,--,--,0,0,0,0,--,--,0,0,0,0,0,0,
手续费及佣金支出(万元),--,--,--,--,0,0,0,--,--,0,0,0,0,0,0,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,
研发费用(万元),17954,--,--,--,--,--,--,--,--,0,0,0,0,0,0,
退保金(万元),--,--,--,--,0,0,0,--,--,0,0,0,0,0,0,
赔付支出净额(万元),--,--,--,--,0,0,0,--,--,0,0,0,0,0,0,
提取保险合同准备金净额(万元),--,--,--,--,0,0,0,--,--,0,0,0,0,0,0,
保单红利支出(万元),--,--,--,--,0,0,0,--,--,0,0,0,0,0,0,
分保费用(万元),--,--,--,--,0,0,0,--,--,0,0,0,0,0,0,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,
营业税金及附加(万元),2528,2402,1727,1248,1116,515,819,979,114,109,102,70,62,41,26,
销售费用(万元),21005,20372,18272,14807,11086,9225,7927,7237,5412,3457,3516,3596,2361,1490,1050,
管理费用(万元),32370,47604,45118,36442,25949,19794,16051,14312,8548,3985,3159,2473,1884,1505,888,
财务费用(万元),3551,5611,4606,2798,2900,1390,-163,-315,1002,1128,1116,451,127,189,157,
资产减值损失(万元),4097,3107,1992,1089,750,645,434,320,546,463,432,61,147,0,0,
公允价值变动收益(万元),--,--,--,0,0,0,0,--,--,0,0,0,0,0,0,
投资收益(万元),1355,236,3520,4784,1183,796,349,--,--,0,-55,53,-50,-157,0,
对联营企业和合营企业的投资收益(万元),1352,197,111,169,1183,796,349,--,--,0,-55,-136,-50,0,0,
汇兑收益(万元),--,--,--,0,0,0,0,--,--,0,0,0,0,0,0,
期货损益(万元),--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,
托管收益(万元),--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,
补贴收入(万元),--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,
营业利润(万元),27571,21933,21927,13862,12543,11935,16859,14658,15055,9629,7728,6607,5212,3463,2087,
营业外收入(万元),256,574,2557,1446,1430,866,410,380,539,314,174,207,41,0,0,
营业外支出(万元),223,823,228,160,98,135,61,40,182,121,170,46,20,2,10,
非流动资产处置损失(万元),--,--,173,146,11,17,36,21,8,9,3,8,15,0,0,
利润总额(万元),27604,21684,24256,15149,13875,12666,17208,14998,15413,9822,7731,6769,5233,3305,2077,
所得税费用(万元),3499,2517,1898,-422,1303,1218,2324,1941,3284,2051,1346,538,403,290,166,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,0,0,0,0,-1,0,
净利润(万元),24104,19167,22358,15571,12572,11449,14884,13057,12128,7771,6385,6231,4830,3016,1911,
归属于母公司所有者的净利润(万元),21472,16475,19261,14021,12572,11449,14884,13057,12128,7771,6385,6231,4830,3013,1910,
被合并方在合并前实现净利润(万元),--,--,--,--,--,0,0,--,--,0,0,0,0,0,0,
少数股东损益(万元),2632,2692,3097,1550,0,0,--,--,--,0,0,0,0,3,1,
基本每股收益,0.14,0.11,0.13,0.29,0.56,0.51,0.67,0.58,1.24,0.93,0.82,0.82,0.64,0,0,
稀释每股收益,0.14,0.11,0.13,0.29,0.56,0.51,0.67,0.58,1.24,0.93,0.82,0.82,0.64,0,0,
