报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,
营业总收入(万元),503697,520476,433348,363028,474878,463531,470828,478250,434363,382798,349039,311481,291958,
营业收入(万元),503697,520476,433348,363028,474878,463531,470828,478250,434363,382798,349039,311481,291958,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,
营业总成本(万元),420072,443991,368371,316406,474459,464489,469900,477624,433477,381767,348681,310183,291234,
营业成本(万元),306680,341391,290949,237973,402203,396458,404643,419105,391159,344417,319743,285808,268404,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,
研发费用(万元),3146,--,--,--,--,--,--,--,--,--,--,0,0,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,
营业税金及附加(万元),6419,5793,4118,1708,2069,1728,1854,1326,994,864,826,668,530,
销售费用(万元),3023,3834,3804,3874,40194,39724,36973,35401,25414,18370,15564,12091,9551,
管理费用(万元),17673,17836,16782,18793,21555,19376,20545,17682,14126,17334,10378,9658,10757,
财务费用(万元),75339,67228,52520,51229,8222,6918,5484,3982,1605,746,2125,1712,2071,
资产减值损失(万元),7794,7910,197,2829,217,284,400,128,178,37,45,246,-80,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,
投资收益(万元),1671,4241,3061,1763,20,66,8,2,50,--,10,153,940,
对联营企业和合营企业的投资收益(万元),--,--,--,--,-2,--,--,--,--,--,--,0,0,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,
营业利润(万元),89857,83742,68038,48385,439,-892,936,628,936,1031,368,1451,1664,
营业外收入(万元),3140,1933,5046,4608,363,4111,2613,1055,1973,1911,4779,1373,906,
营业外支出(万元),1265,646,227,313,191,324,400,449,427,135,2359,203,94,
非流动资产处置损失(万元),--,--,157,21,140,102,86,181,30,43,659,0,0,
利润总额(万元),91732,85029,72857,52680,611,2895,3149,1234,2482,2806,2788,2621,2476,
所得税费用(万元),6194,3966,4996,3363,1037,871,1245,916,619,682,659,360,702,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,
净利润(万元),85539,81063,67861,49317,-426,2024,1904,318,1863,2124,2129,2261,1774,
归属于母公司所有者的净利润(万元),86212,80467,65325,47275,388,3314,3041,1048,1741,1993,2155,2145,1876,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
少数股东损益(万元),-673,596,2536,2042,-814,-1290,-1138,-730,121,131,-26,117,-102,
基本每股收益,0.29,0.27,0.53,0.65,0.01,0.12,0.11,0.04,0.09,0.1,0.11,0.16,0.17,
稀释每股收益,0.29,0.27,0.53,0.65,0.01,0.12,0.11,0.04,0.09,0.1,0.11,0.16,0.17,
