报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,2004-12-31,2000-12-31,1999-12-31,1998-12-31,
营业总收入(万元),16485400,15670800,15378100,14513400,12471600,10455800,8943500,7694800,5576500,4080100,4015500,2783800,1783000,1354000,1106400,853700,686700,777200,
营业收入(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,
利息收入(万元),23379300,22076200,21347400,21566100,20563900,16333500,13881000,10662300,7246000,5613100,5886700,4149400,2949000,2251100,1779500,629000,512200,577700,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,
手续费及佣金收入(万元),5073900,5168700,4536000,3763900,2697200,1831800,1219400,948100,630800,471800,345300,236500,96500,60800,44900,17100,12500,10700,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,
其他业务收入(万元),-44200,-7200,12500,11900,18900,39900,34700,57700,27800,18500,14600,13500,9900,11100,9100,6700,28200,20100,
营业总成本(万元),11032700,10433900,9915200,9049700,7031200,5227300,4793100,3552300,2779600,2167900,2254000,1473500,1104100,809800,702300,708500,572800,577100,
营业成本(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,
利息支出(万元),12902100,12111700,10733600,11122800,11089800,7764700,6332400,4151700,2432500,2014700,2277600,1532400,1301700,985100,741200,437000,366600,415700,
手续费及佣金支出(万元),559100,482900,308000,196500,165900,150700,98400,64400,61200,49800,40800,28500,20600,19000,13100,7100,6900,5000,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,
退保金(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,46800,45000,43600,
营业税金及附加(万元),169900,166000,448700,1003300,882700,748800,664800,534300,368500,276100,285400,203400,139800,99100,79200,0,0,0,
销售费用(万元),5039500,4689200,4237700,4042700,3781200,3284500,2817900,2297300,1886200,1629900,1324200,971300,788100,600500,457800,217600,154300,112800,
管理费用(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,
财务费用(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,
资产减值损失(万元),--,5578700,5228800,4003700,2367300,1194000,1310400,720700,524900,261900,644400,298800,176200,110200,165300,0,0,0,
公允价值变动收益(万元),-282500,143400,-106800,-51900,106100,9200,-10500,87800,3000,-53700,65400,-81200,7800,8300,500,0,0,0,
投资收益(万元),1579900,698800,399400,312700,258500,19100,103900,25700,4300,15700,-700,12100,-8200,200,4000,178500,122100,150700,
对联营企业和合营企业的投资收益(万元),-64200,-28500,100,5300,20200,10900,-8100,5700,17200,--,0,0,0,0,0,0,0,0,
汇兑收益(万元),198300,166400,231200,230000,82700,137700,145800,129300,158300,79200,22600,14400,50300,26600,22700,22400,11700,18000,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,
营业利润(万元),5452700,5236900,5462900,5463700,5440400,5228500,4150400,4142500,2796900,1912200,1761500,1310300,678900,544200,404100,145200,113900,200100,
营业外收入(万元),26600,24400,38700,49100,32700,36600,25700,23000,81700,21400,21700,11700,12300,12100,8800,0,0,0,
营业外支出(万元),46700,33700,40800,14200,15700,10200,15200,6500,9100,7100,8600,8000,7300,4500,4500,0,0,0,
非流动资产处置损失(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,
利润总额(万元),5432600,5227600,5460800,5498600,5457400,5254900,4160900,4159000,2869500,1926500,1774600,1314000,683900,551800,408400,145200,113900,200100,
