报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,
营业总收入(万元),150298,128294,82075,81611,91981,82620,74241,94329,
营业收入(万元),150298,128294,82075,81611,91981,82620,74241,94329,
利息收入(万元),--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,
营业总成本(万元),134885,114564,70815,69392,81878,74148,67540,86240,
营业成本(万元),117300,100149,58742,58443,69865,63192,57642,74682,
利息支出(万元),--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,
研发费用(万元),4736,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,
营业税金及附加(万元),912,542,474,478,443,325,336,336,
销售费用(万元),6253,5229,4600,4429,4728,4159,3660,3551,
管理费用(万元),4591,7615,6436,6018,6468,5793,5092,5812,
财务费用(万元),420,-230,39,35,217,78,745,2032,
资产减值损失(万元),673,1258,522,-11,158,601,65,-173,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,
投资收益(万元),483,820,--,--,--,--,--,--,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,
营业利润(万元),17035,15295,11260,12218,10102,8472,6701,8089,
营业外收入(万元),24,597,852,542,351,387,644,724,
营业外支出(万元),52,123,46,19,36,137,4,209,
非流动资产处置损失(万元),--,--,7,6,21,121,0,131,
利润总额(万元),17007,15769,12066,12741,10417,8723,7341,8604,
所得税费用(万元),2391,2220,1747,1857,1561,1351,1138,1265,
未确认投资损失(万元),--,--,--,--,--,--,--,--,
净利润(万元),14616,13549,10319,10884,8857,7371,6203,7339,
归属于母公司所有者的净利润(万元),14616,13549,10319,10884,8857,7371,6203,7339,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,40,
少数股东损益(万元),--,--,--,--,--,--,--,--,
基本每股收益,0.72,0.67,0.68,0.72,0.59,0.49,0.41,0.49,
稀释每股收益,0.72,0.67,0.68,0.72,0.59,0.49,0.41,0.49,
