报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,
营业总收入(万元),385757,302296,255274,238054,226548,245468,210477,195592,145407,63539,48146,
营业收入(万元),385757,302296,255274,238054,226548,245468,210477,195592,145407,63539,48146,
利息收入(万元),--,--,--,--,--,--,--,--,0,0,0,
已赚保费(万元),--,--,--,--,--,--,--,--,0,0,0,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,0,0,0,
房地产销售收入(万元),--,--,--,--,--,--,--,--,0,0,0,
其他业务收入(万元),--,--,--,--,--,--,--,--,0,0,0,
营业总成本(万元),355934,301328,242893,229785,217453,238292,199035,156103,101962,57079,46284,
营业成本(万元),319106,266012,222735,213609,206127,224127,188469,147577,91956,52317,42374,
利息支出(万元),--,--,--,--,--,--,--,--,0,0,0,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,0,0,0,
房地产销售成本(万元),--,--,--,--,--,--,--,--,0,0,0,
研发费用(万元),12151,--,--,--,--,--,--,--,0,0,0,
退保金(万元),--,--,--,--,--,--,--,--,0,0,0,
赔付支出净额(万元),--,--,--,--,--,--,--,--,0,0,0,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,0,0,0,
保单红利支出(万元),--,--,--,--,--,--,--,--,0,0,0,
分保费用(万元),--,--,--,--,--,--,--,--,0,0,0,
其他业务成本(万元),--,--,--,--,--,--,--,--,0,0,0,
营业税金及附加(万元),1091,1051,824,11,4,--,68,351,68,143,165,
销售费用(万元),11157,9168,6689,4806,3575,3641,2637,1609,1605,1333,1164,
管理费用(万元),6136,13954,11885,11726,9755,10884,8848,8274,6744,2482,1576,
财务费用(万元),2751,2748,24,-2725,-2411,-477,-1264,-1616,1816,1145,931,
资产减值损失(万元),3542,8395,737,2358,403,117,276,-93,-227,-340,74,
公允价值变动收益(万元),--,--,--,--,--,--,0,--,0,0,0,
投资收益(万元),5713,3000,81,736,92,92,92,--,30,5,0,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,0,--,0,0,0,
汇兑收益(万元),--,--,--,--,--,--,--,--,0,0,0,
期货损益(万元),--,--,--,--,--,--,--,--,0,0,0,
托管收益(万元),--,--,--,--,--,--,--,--,0,0,0,
补贴收入(万元),--,--,--,--,--,--,--,--,0,0,0,
其他业务利润(万元),--,--,--,--,--,--,--,--,0,0,0,
营业利润(万元),36338,4765,12462,9005,9187,7268,11535,39489,43475,6465,1862,
营业外收入(万元),294,4840,2835,4623,2295,2991,1944,9886,847,582,282,
营业外支出(万元),29,63,29,4,--,15,25,13,25,62,44,
非流动资产处置损失(万元),--,--,8,--,--,--,0,--,14,0,0,
利润总额(万元),36603,9541,15268,13624,11482,10244,13454,49362,44297,6985,2099,
所得税费用(万元),4468,2076,1965,1573,1443,1240,1571,11071,6059,51,71,
未确认投资损失(万元),--,--,--,--,--,--,--,--,0,0,0,
净利润(万元),32135,7465,13302,12051,10038,9004,11883,38290,38238,6934,2028,
归属于母公司所有者的净利润(万元),32135,7465,13302,12051,10038,9004,11883,38290,38238,6934,2028,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,0,0,0,
少数股东损益(万元),--,--,--,--,--,--,--,--,0,0,0,
基本每股收益,0.28,0.07,0.19,0.17,0.21,0.22,0.29,2.1,2.5,0.46,0.23,
稀释每股收益,0.28,0.07,0.19,0.17,0.21,0.22,0.29,2.1,2.5,0.46,0.23,
