报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,
营业总收入(万元),50558,39823,37090,36596,
营业收入(万元),50558,39823,37090,36596,
利息收入(万元),--,--,--,--,
已赚保费(万元),--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,
房地产销售收入(万元),--,--,--,--,
其他业务收入(万元),--,--,--,--,
营业总成本(万元),46057,37931,34348,33831,
营业成本(万元),28854,22994,21095,21437,
利息支出(万元),--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,
房地产销售成本(万元),--,--,--,--,
研发费用(万元),4933,--,--,--,
退保金(万元),--,--,--,--,
赔付支出净额(万元),--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,
保单红利支出(万元),--,--,--,--,
分保费用(万元),--,--,--,--,
其他业务成本(万元),--,--,--,--,
营业税金及附加(万元),364,353,243,358,
销售费用(万元),6730,5741,5532,5421,
管理费用(万元),5150,8485,7182,6428,
财务费用(万元),24,3,-142,-161,
资产减值损失(万元),--,356,438,348,
公允价值变动收益(万元),--,--,--,--,
投资收益(万元),--,--,--,--,
对联营企业和合营企业的投资收益(万元),--,--,--,--,
汇兑收益(万元),--,--,--,--,
期货损益(万元),--,--,--,--,
托管收益(万元),--,--,--,--,
补贴收入(万元),--,--,--,--,
其他业务利润(万元),--,--,--,--,
营业利润(万元),7030,4607,2742,2765,
营业外收入(万元),313,266,2345,2786,
营业外支出(万元),150,86,81,80,
非流动资产处置损失(万元),--,--,--,--,
利润总额(万元),7194,4787,5006,5471,
所得税费用(万元),769,541,567,726,
未确认投资损失(万元),--,--,--,--,
净利润(万元),6425,4246,4439,4745,
归属于母公司所有者的净利润(万元),6423,4245,4440,4749,
被合并方在合并前实现净利润(万元),--,--,--,--,
少数股东损益(万元),2,0,-1,-4,
基本每股收益,0.35,0.23,--,--,
稀释每股收益,0.35,0.23,--,--,
