报告日期,2018-12-31,2017-12-31,2016-12-31,
营业总收入(万元),26124500,22486400,18960200,
营业收入(万元),--,--,--,
利息收入(万元),36016600,30528500,27819800,
已赚保费(万元),--,--,--,
手续费及佣金收入(万元),2914100,2359100,2101500,
房地产销售收入(万元),--,--,--,
其他业务收入(万元),434000,-11800,437500,
营业总成本(万元),20775800,17375300,14667400,
营业成本(万元),--,--,--,
利息支出(万元),12604400,11717000,12061200,
手续费及佣金支出(万元),1470700,1085400,951700,
房地产销售成本(万元),--,--,--,
研发费用(万元),--,--,--,
退保金(万元),--,--,--,
赔付支出净额(万元),--,--,--,
提取保险合同准备金净额(万元),--,--,--,
保单红利支出(万元),--,--,--,
分保费用(万元),--,--,--,
其他业务成本(万元),12122700,12033600,10111300,
营业税金及附加(万元),184300,166200,379400,
销售费用(万元),2464400,2046200,2017500,
管理费用(万元),--,--,--,
财务费用(万元),--,--,--,
资产减值损失(万元),--,2673700,1690200,
公允价值变动收益(万元),--,--,--,
投资收益(万元),378000,2225500,1547900,
对联营企业和合营企业的投资收益(万元),--,--,--,
汇兑收益(万元),--,--,--,
期货损益(万元),--,--,--,
托管收益(万元),--,--,--,
补贴收入(万元),--,--,--,
其他业务利润(万元),--,--,--,
营业利润(万元),5348700,5111100,4292800,
营业外收入(万元),--,--,--,
营业外支出(万元),--,--,--,
非流动资产处置损失(万元),--,--,--,
利润总额(万元),5348700,5111100,4292800,
所得税费用(万元),110300,340200,315200,
未确认投资损失(万元),--,--,--,
净利润(万元),5238400,4770900,3977600,
归属于母公司所有者的净利润(万元),5231100,4768300,3980100,
被合并方在合并前实现净利润(万元),--,--,--,
少数股东损益(万元),7300,2600,-2500,
基本每股收益,0.62,0.59,0.55,
稀释每股收益,0.62,0.59,0.55,
