报告日期,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,
营业总收入(万元),459593,362643,312474,256973,240769,192621,182505,171129,153738,
营业收入(万元),459593,362643,312474,256973,240769,192621,182505,171129,153738,
利息收入(万元),--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,
营业总成本(万元),360056,290509,258924,204496,185522,148870,141869,132813,108504,
营业成本(万元),291307,246021,220932,169189,150503,120908,112817,106232,82735,
利息支出(万元),--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),30777,8716,6226,8376,8834,5037,4697,4488,5331,
销售费用(万元),3607,4405,4158,4519,2765,1929,1857,2580,5239,
管理费用(万元),30060,22184,20427,20080,20061,15588,15706,15896,11136,
财务费用(万元),1631,9117,7145,2359,3002,5421,6903,3677,3978,
资产减值损失(万元),2675,65,36,-28,358,-13,-110,-60,85,
公允价值变动收益(万元),--,--,--,--,--,291,-677,387,--,
投资收益(万元),59053,20235,24824,12994,34933,16755,18398,40312,8036,
对联营企业和合营企业的投资收益(万元),164,--,--,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,
营业利润(万元),158590,92369,78374,65471,90179,60797,58357,79015,53269,
营业外收入(万元),21103,8424,2198,1457,903,1092,1071,915,1823,
营业外支出(万元),1031,381,238,201,781,73,146,184,206,
非流动资产处置损失(万元),809,377,21,10,578,64,--,--,--,
利润总额(万元),178662,100413,80334,66727,90302,61816,59282,79746,54886,
所得税费用(万元),47052,27333,19249,15984,21773,12019,10284,12769,8606,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,
净利润(万元),131611,73080,61085,50743,68530,49797,48998,66977,46280,
归属于母公司所有者的净利润(万元),117717,68432,54793,45648,63543,45498,44614,63699,42365,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,
少数股东损益(万元),13894,4648,6292,5095,4987,4299,4384,3278,3915,
基本每股收益,0.37,0.22,0.17,0.14,0.2,0.14,0.14,0.33,0.22,
稀释每股收益,0.37,0.22,0.17,0.14,0.2,0.14,0.14,0.33,0.22,
