报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,
营业总收入(万元),130301,124429,112829,101122,115740,117949,103652,
营业收入(万元),130301,124429,112829,101122,115740,117949,103652,
利息收入(万元),--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,
营业总成本(万元),117594,112368,101461,93689,107963,109550,94925,
营业成本(万元),110605,104008,94446,87505,101995,103401,90418,
利息支出(万元),--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,
研发费用(万元),1981,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,
营业税金及附加(万元),580,544,506,275,347,220,200,
销售费用(万元),2233,2204,2045,1930,1875,1726,1524,
管理费用(万元),2765,4883,4202,3754,3362,4007,2387,
财务费用(万元),-681,330,-105,-48,39,235,276,
资产减值损失(万元),111,400,367,274,345,-38,121,
公允价值变动收益(万元),--,--,--,--,--,--,--,
投资收益(万元),1692,--,22,--,--,32,--,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,
营业利润(万元),14788,12246,11389,7433,7777,8431,8727,
营业外收入(万元),70,170,155,181,271,129,86,
营业外支出(万元),120,16,67,89,18,19,65,
非流动资产处置损失(万元),--,--,2,67,1,2,--,
利润总额(万元),14739,12399,11478,7526,8030,8540,8748,
所得税费用(万元),3260,2799,2686,1874,1942,1979,2146,
未确认投资损失(万元),--,--,--,--,--,--,--,
净利润(万元),11479,9600,8791,5652,6088,6562,6602,
归属于母公司所有者的净利润(万元),11479,9600,8791,5652,6088,6562,6602,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,
少数股东损益(万元),--,--,--,--,--,--,--,
基本每股收益,0.55,0.58,0.56,0.36,0.39,0.42,0.42,
稀释每股收益,0.55,0.58,0.56,0.36,0.39,0.42,0.42,
