报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,
营业总收入(万元),192930,183228,148818,148976,139177,
营业收入(万元),192930,183228,148818,148976,139177,
利息收入(万元),--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,
营业总成本(万元),157333,149322,116843,111085,94802,
营业成本(万元),111633,107525,85131,84677,70653,
利息支出(万元),--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,
研发费用(万元),22785,--,--,--,--,
退保金(万元),--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,
分保费用(万元),--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,
营业税金及附加(万元),1953,950,999,685,622,
销售费用(万元),10521,9273,8269,7170,6415,
管理费用(万元),9023,24364,26842,20088,16135,
财务费用(万元),-1441,3641,-4013,-3407,314,
资产减值损失(万元),2860,3569,-384,1872,663,
公允价值变动收益(万元),--,--,--,--,--,
投资收益(万元),374,806,73,-21,544,
对联营企业和合营企业的投资收益(万元),--,-179,-249,-246,24,
汇兑收益(万元),--,--,--,--,--,
期货损益(万元),--,--,--,--,--,
托管收益(万元),--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,
营业利润(万元),38645,35596,32048,37870,44920,
营业外收入(万元),49,61,994,720,409,
营业外支出(万元),9,48,167,84,11,
非流动资产处置损失(万元),--,--,111,84,6,
利润总额(万元),38685,35609,32875,38506,45318,
所得税费用(万元),4162,4664,5099,6647,6561,
未确认投资损失(万元),--,--,--,--,--,
净利润(万元),34523,30945,27776,31859,38757,
归属于母公司所有者的净利润(万元),29617,23753,21266,24871,31970,
被合并方在合并前实现净利润(万元),--,--,--,--,--,
少数股东损益(万元),4906,7192,6509,6988,6787,
基本每股收益,0.8,0.64,1.76,2.13,2.74,
稀释每股收益,0.8,0.64,1.76,2.13,2.74,
