报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,
营业总收入(万元),56019,59165,38521,11093,4370,
营业收入(万元),56019,59165,38521,11093,4370,
利息收入(万元),--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,
营业总成本(万元),39059,39859,29123,10316,4225,
营业成本(万元),27036,26096,14597,4793,1561,
利息支出(万元),--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,
研发费用(万元),6770,4784,5902,--,--,
退保金(万元),--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,
分保费用(万元),--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,
营业税金及附加(万元),387,218,14,4,7,
销售费用(万元),2714,3782,3069,1023,431,
管理费用(万元),2778,2320,5278,4405,2205,
财务费用(万元),-1525,795,-265,-38,58,
资产减值损失(万元),898,1864,529,129,-37,
公允价值变动收益(万元),--,--,--,--,--,
投资收益(万元),-28,--,--,--,--,
对联营企业和合营企业的投资收益(万元),-39,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,
期货损益(万元),--,--,--,--,--,
托管收益(万元),--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,
营业利润(万元),17621,19339,9398,777,145,
营业外收入(万元),358,6,189,259,47,
营业外支出(万元),15,46,14,1,2,
非流动资产处置损失(万元),--,--,--,--,0,
利润总额(万元),17964,19298,9573,1035,190,
所得税费用(万元),1926,2354,1157,-90,207,
未确认投资损失(万元),--,--,--,--,--,
净利润(万元),16038,16945,8416,1125,-17,
归属于母公司所有者的净利润(万元),16233,16989,8416,1125,-17,
被合并方在合并前实现净利润(万元),--,--,--,--,--,
少数股东损益(万元),-196,-44,--,--,--,
基本每股收益,2.16,2.27,1.17,0.17,-0,
稀释每股收益,2.16,2.27,1.17,0.17,-0,
